Assembly	hydrophis_ornatus	hydrophis_ornatus_broken
# contigs (>= 0 bp)	548	-
# contigs (>= 1000 bp)	534	956
# contigs (>= 5000 bp)	370	792
# contigs (>= 10000 bp)	243	665
# contigs (>= 25000 bp)	161	543
# contigs (>= 50000 bp)	115	453
Total length (>= 0 bp)	1926185883	-
Total length (>= 1000 bp)	1926175669	1925327878
Total length (>= 5000 bp)	1925746926	1924896645
Total length (>= 10000 bp)	1924857190	1924006909
Total length (>= 25000 bp)	1923567264	1921934422
Total length (>= 50000 bp)	1921938533	1918792923
# contigs	548	977
Largest contig	440412367	50706196
Total length	1926185883	1925339083
GC (%)	40.43	40.43
N50	270037255	17311133
N90	29596013	3166728
auN	263600660.3	18867313.4
L50	3	37
L90	9	132
# N's per 100 kbp	43.96	0.00
