Statistic,Value
Number of species,13
Number of genes,307264
Number of genes in orthogroups,296373
Number of unassigned genes,10891
Percentage of genes in orthogroups,96.5
Percentage of unassigned genes,3.5
Number of orthogroups,28147
Number of species-specific orthogroups,732
Number of genes in species-specific orthogroups,2396
Percentage of genes in species-specific orthogroups,0.8
Mean orthogroup size,10.5
Median orthogroup size,13.0
G50 (assigned genes),13
G50 (all genes),13
O50 (assigned genes),8802
O50 (all genes),9221
Number of orthogroups with all species present,13056
Number of single-copy orthogroups,8654
