GO Term,Term,Definition,Annotated,Expected,Significant,P-value,Path (shortest),Path (longest),Terminal node,ontology
GO:0002098,tRNA wobble uridine modification,The process in which a uridine in position 34 of a tRNA is post-transcriptionally modified.,24,3.85,12,0.00011,8,12,FALSE,BP
GO:0051058,negative regulation of small GTPase mediated signal transduction,"Any process that stops, prevents, or reduces the frequency, rate or extent of small GTPase mediated signal transduction.",134,21.51,22,0.00028,5,8,FALSE,BP
GO:1902857,positive regulation of non-motile cilium assembly,NA,16,2.57,8,0.00166,6,10,TRUE,BP
GO:2000467,positive regulation of glycogen (starch) synthase activity,NA,13,2.09,7,0.00190,6,6,TRUE,BP
GO:0099151,regulation of postsynaptic density assembly,"Any process that modulates the frequency, rate or extent of postsynaptic density assembly, the aggregation, arrangement and bonding together of a set of components to form a postsynaptic density.",56,8.99,18,0.00210,6,10,TRUE,BP
GO:0042304,regulation of fatty acid biosynthetic process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of fatty acids, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils.",105,16.86,20,0.00218,5,9,FALSE,BP
GO:0098883,synapse pruning,A cellular process that results in the controlled breakdown of synapse. After it starts the process is continuous until the synapse has disappeared.,24,3.85,10,0.00247,6,6,FALSE,BP
GO:0051261,protein depolymerization,"The process in which protein polymers, compounds composed of a large number of component monomers, are broken down. Depolymerization occurs by the successive removal of monomers from an existing poly- or oligomeric protein.",211,33.88,39,0.00287,6,6,FALSE,BP
GO:0031580,membrane raft distribution,The process that establishes the spatial arrangement of membrane rafts within a cellular membrane.,19,3.05,5,0.00290,5,6,FALSE,BP
GO:0032469,endoplasmic reticulum calcium ion homeostasis,Any process involved in the maintenance of an internal steady state of calcium ions within the endoplasmic reticulum of a cell or between the endoplasmic reticulum and its surroundings.,29,4.66,11,0.00367,8,10,FALSE,BP
GO:0034316,negative regulation of Arp2/3 complex-mediated actin nucleation,"Any process that stops, prevents, or reduces the frequency, rate or extent of actin nucleation mediated by the Arp2/3 complex and interacting proteins.",11,1.77,6,0.00377,6,11,TRUE,BP
GO:0072249,metanephric glomerular visceral epithelial cell development,"The process whose specific outcome is the progression of a metanephric glomerular visceral epithelial cell over time, from its formation to the mature structure. A metanephric glomerular visceral epithelial cell is a specialized epithelial cell that contains 'feet' that interdigitate with the 'feet' of other glomerular epithelial cells in the metanephros.",11,1.77,6,0.00377,7,14,FALSE,BP
GO:0035822,gene conversion,A DNA recombination process that results in the unidirectional transfer of genetic material from a donor sequence to a highly homologous acceptor. The resulting acceptor sequence is identical to that of the donor.,13,2.09,4,0.00414,7,9,FALSE,BP
GO:0035194,post-transcriptional gene silencing by RNA,"A posttranscriptional gene silencing pathway in which regulatory RNAs elicit silencing of specific target genes, either by mRNA destabilization or inhibition of translation.",205,32.91,29,0.00419,6,8,FALSE,BP
