GO Term,Term,Definition,Annotated,Expected,Significant,P-value,Path (shortest),Path (longest),Terminal node,ontology
GO:0004549,tRNA-specific ribonuclease activity,Catalysis of the hydrolysis of phosphodiester bonds in tRNA molecules.,11,1.77,7,0.00050,5,6,FALSE,MF
GO:0000182,rDNA binding,Binding to a DNA sequence encoding a ribosomal RNA.,15,2.42,8,0.00098,7,7,FALSE,MF
GO:0016891,"endoribonuclease activity, producing 5'-phosphomonoesters",Catalysis of the hydrolysis of ester linkages within ribonucleic acids by creating internal breaks to yield 5'-phosphomonoesters.,33,5.31,13,0.00111,6,7,FALSE,MF
GO:0003899,DNA-directed 5'-3' RNA polymerase activity,"Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'.",63,10.14,19,0.00144,6,7,FALSE,MF
GO:0001046,core promoter sequence-specific DNA binding,"Binding to a sequence of DNA that is part of a core promoter region. The core promoter is composed of the transcription start site and binding sites for the RNA polymerase and the basal transcription machinery. The transcribed region might be described as a gene, cistron, or operon.",64,10.31,16,0.00254,6,8,FALSE,MF
GO:0005172,vascular endothelial growth factor receptor binding,Binding to a vascular endothelial growth factor receptor.,38,6.12,10,0.00334,5,5,FALSE,MF
GO:0070530,K63-linked polyubiquitin modification-dependent protein binding,Binding to a protein upon poly-ubiquitination formed by linkages between lysine residues at position 63 in the target protein.,30,4.83,11,0.00508,5,5,TRUE,MF
GO:0000049,tRNA binding,Binding to a transfer RNA.,67,10.79,19,0.00780,5,5,FALSE,MF
GO:0005092,GDP-dissociation inhibitor activity,"Prevents the dissociation of GDP from a GTPase, thereby preventing GTP from binding.",16,2.58,7,0.00826,5,5,FALSE,MF
GO:0004312,fatty acid synthase activity,Catalysis of the reaction: acetyl-CoA + n malonyl-CoA + 2n NADPH + 2n H+ = long-chain fatty acid + n+1 CoA + n CO2 + 2n NADP+.,17,2.74,7,0.01212,5,5,FALSE,MF
GO:0003729,mRNA binding,"Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns.",335,53.94,62,0.01434,5,5,FALSE,MF
GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,"Binding to a sequence-specific DNA binding RNA polymerase II transcription factor, any of the factors that interact selectively and non-covalently with a specific DNA sequence in order to modulate transcription.",363,58.45,64,0.01742,5,5,FALSE,MF
GO:0004520,endodeoxyribonuclease activity,Catalysis of the hydrolysis of ester linkages within deoxyribonucleic acid by creating internal breaks.,50,8.05,10,0.04288,5,6,FALSE,MF
GO:0005004,GPI-linked ephrin receptor activity,Combining with a GPI-anchored ephrin to initiate a change in cell activity.,13,2.09,5,0.04477,7,9,TRUE,MF
GO:0046966,nuclear thyroid hormone receptor binding,Binding to a nuclear thyroid hormone receptor.,40,6.44,11,0.04678,7,7,TRUE,MF
