TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0005654"	"nucleoplasm"	-8.994881555077603	5.493552846506711	1.1935686041353335	0.702896521477985	0.12736284	null
"GO:0005739"	"mitochondrion"	-1.5813886860909112	5.850670123785282	2.7162231428197097	0.6833581764841161	0.37244178	null
"GO:0005829"	"cytosol"	-9.340349161269312	5.640355204898737	1.6735941329659796	0.8556199690879193	0	null
"GO:0005856"	"cytoskeleton"	-1.5871490558490966	5.798928118601961	2.411145188711844	0.7575088747704088	0.23543973	null
"GO:0009897"	"external side of plasma membrane"	-2.8083757827214804	4.121789568859296	0.050705222454031626	0.9922561419872095	4.221E-05	null
"GO:0019814"	"immunoglobulin complex"	-2.9876213790094117	3.172310968521954	0.0056926534124124364	0.8430472501604779	-0	null
"GO:0031090"	"organelle membrane"	-2.1822919427077396	6.097599472519186	4.796175425665669	0.7176160356118169	0.33141923	null
"GO:0140513"	"nuclear protein-containing complex"	-4.02304430262082	5.761720409520058	2.213174163781393	0.49096367021945464	0.44612909	null
"GO:0140535"	"intracellular protein-containing complex"	-2.1802090561904377	5.841982305046335	2.6624264188153304	0.7567711813954763	0.24256547	null
"GO:1902494"	"catalytic complex"	-2.1947786753939895	6.116721615149748	5.012071030217034	0.7466262348898731	0.49103725	null
