# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0000003"	"reproduction"	0.6790172436207964	2	1	-0	null
"GO:0005975"	"carbohydrate metabolic process"	5.7321261516775	1	0.9703823854717772	0.09360669	null
"GO:0006066"	"alcohol metabolic process"	0.7564226165828264	1	0.9740840056834047	0.04963328	null
"GO:0006629"	"lipid metabolic process"	4.547647102369454	1	0.9713790980839755	0.08134046	null
"GO:0006790"	"sulfur compound metabolic process"	1.934309943199827	2	0.9721026120971652	0.03768959	null
"GO:0006996"	"organelle organization"	3.5258104170692315	10	0.9152356343145642	-0	null
"GO:0007006"	"mitochondrial membrane organization"	0.05836815871512	1	0.9332891847669087	0.44166712	"organelle organization"
"GO:0007030"	"Golgi organization"	0.05312602725582596	1	0.9345213104864072	0.43784891	"organelle organization"
"GO:0030198"	"extracellular matrix organization"	0.08963147283982549	1	0.9389023713707614	0.45994948	"organelle organization"
"GO:0034330"	"cell junction organization"	0.07374219676155944	1	0.9397942182061869	0.45144829	"organelle organization"
"GO:0043062"	"extracellular structure organization"	0.09182206550417221	1	0.9387901553510563	0.46102375	"organelle organization"
"GO:0044572"	"[4Fe-4S] cluster assembly"	0.0007013885465510747	1	0.9326427516017917	0.31329951	"organelle organization"
"GO:0050808"	"synapse organization"	0.04208663690939885	1	0.9422173141766016	0.42867561	"organelle organization"
"GO:0071824"	"protein-DNA complex subunit organization"	0.20097939769205936	1	0.9270241119717233	0.49882083	"organelle organization"
"GO:0007017"	"microtubule-based process"	0.8349349202841999	3	0.9954551715323765	0.00994807	null
"GO:0007049"	"cell cycle"	1.7909275092333148	3	0.9950559719674504	0.01097851	null
"GO:0007154"	"cell communication"	8.685360854268644	2	0.9939263962069378	0.01676947	null
