TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0000166"	"nucleotide binding"	6	6.855012122338831	19.582511292376353	0.8193490990507997	0.47379891	4.3108258811874425	-5.01790435208976	null
"GO:0005524"	"ATP binding"	2	6.696140148882402	13.583021415319921	0.8028262244731081	0.79487393	null	null	166
"GO:0017076"	"purine nucleotide binding"	4	6.796156210279546	17.100643953654064	0.8240047306570005	0.77208894	null	null	166
"GO:0030554"	"adenyl nucleotide binding"	2	6.745207090646936	15.20769299086263	0.8222304496357813	0.78405052	null	null	166
"GO:0032553"	"ribonucleotide binding"	4	6.771176212889734	16.144792338180885	0.8177354579274349	0.81319927	null	null	166
"GO:0032555"	"purine ribonucleotide binding"	4	6.759175415562438	15.70477301825877	0.815384138267114	0.75320628	null	null	166
"GO:0032559"	"adenyl ribonucleotide binding"	2	6.703491193605424	13.81489001184964	0.8181228968797193	0.8033416	null	null	166
"GO:0035639"	"purine ribonucleoside triphosphate binding"	4	6.751401212887682	15.426146797720723	0.8110832401414868	0.74935361	null	null	166
"GO:0000976"	"transcription cis-regulatory region binding"	3	5.14015279448004	0.37757738414117015	0.8536240309179018	0.38826209	1.1220020895311602	-6.467765098676544	null
"GO:0000977"	"RNA polymerase II transcription regulatory region sequence-specific DNA binding"	3	4.9967567692198465	0.2713992965465858	0.8576130100436451	0.96749996	null	null	976
"GO:0000978"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding"	3	4.860266117396789	0.19820584160770102	0.8603957503166416	0.9417373	null	null	976
"GO:0000987"	"cis-regulatory region sequence-specific DNA binding"	3	4.901163969446009	0.2177784189557486	0.8601558094674518	0.94931167	null	null	976
"GO:0008327"	"methyl-CpG binding"	1	3.0546130545568877	0.0030980343860488816	0.8883649739371378	0.50647025	null	null	976
"GO:0070888"	"E-box binding"	1	3.3283796034387376	0.005821460907235718	0.8910454492935276	0.72503118	null	null	976
"GO:1990837"	"sequence-specific double-stranded DNA binding"	3	5.210826638678256	0.4443040682742248	0.8559387580255784	0.90655981	null	null	976
"GO:0001067"	"transcription regulatory region nucleic acid binding"	3	5.140379181131105	0.37777425834752104	0.9010802816465396	0.26610895	1.6854851351355145	-7.551582432426014	null
