TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000018"	"regulation of DNA recombination"	NaN	4.072727689585266	0.03929770330486638	0.834505350986426	0.67547984	null
"GO:1905168"	"positive regulation of double-strand break repair via homologous recombination"	NaN	3.1936810295412816	0.005188945597944207	0.7568677298504642	0.79273234	18
"GO:2000779"	"regulation of double-strand break repair"	NaN	3.882979654037299	0.025386276445547667	0.8017676257304581	0.75038836	18
"GO:0000278"	"mitotic cell cycle"	NaN	5.055431850284524	0.37766282909624294	0.9853585975724316	0.5972745	null
"GO:0000381"	"regulation of alternative mRNA splicing, via spliceosome"	NaN	3.9566005882131767	0.03007660459333708	0.8382745617115412	0.22397988	null
"GO:0048025"	"negative regulation of mRNA splicing, via spliceosome"	NaN	2.90848501887865	0.0026892101145015138	0.8196773834254427	0.84283964	381
"GO:0048026"	"positive regulation of mRNA splicing, via spliceosome"	NaN	3.04688519083771	0.0036997414801485597	0.7892847849692611	0.85752137	381
"GO:0000398"	"mRNA splicing, via spliceosome"	NaN	5.180790863280736	0.5040390838961423	0.9214892162736159	0.29909706	null
"GO:0000387"	"spliceosomal snRNP assembly"	NaN	4.33978920494825	0.07268512776723128	0.8097888760647864	0.8376459	398
"GO:0000462"	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	NaN	4.06284511327705	0.03841348835992521	0.8355313570797873	0.65251946	null
"GO:0001558"	"regulation of cell growth"	NaN	4.278685022725684	0.06314491388760292	0.8435690984963239	0.64138001	null
"GO:0030308"	"negative regulation of cell growth"	NaN	3.788945727023748	0.020443315456346492	0.8162570857189756	0.83770719	1558
"GO:0001649"	"osteoblast differentiation"	NaN	3.6546577546495245	0.015005061133324888	0.887191204258255	0.66961681	null
"GO:0001938"	"positive regulation of endothelial cell proliferation"	NaN	3.5342800052050816	0.011371801979863634	0.8216299315002671	0.3762596	null
"GO:0003341"	"cilium movement"	NaN	4.240848658485361	0.05787618949763395	0.9752494683044487	0.00567725	null
"GO:0003356"	"regulation of cilium beat frequency"	NaN	2.8981764834976764	0.0026260519041485736	0.8811788049047516	0.09833978	null
"GO:0007026"	"negative regulation of microtubule depolymerization"	NaN	3.0056094453602804	0.003364005730377666	0.8220604656462831	0.80510476	3356
"GO:0070507"	"regulation of microtubule cytoskeleton organization"	NaN	4.233503760341135	0.056905547527999284	0.8321374707768686	0.79403949	3356
"GO:0006325"	"chromatin organization"	NaN	5.41513367325975	0.8645860379867383	0.8654032458329028	0.40501086	null
"GO:0006338"	"chromatin remodeling"	NaN	5.22266965844102	0.5550642696286493	0.865336015360957	0.47927166	null
"GO:0006353"	"DNA-templated transcription termination"	NaN	4.744691881289	0.18465466237399147	0.9320797520151509	0.18484164	null
"GO:0006355"	"regulation of DNA-templated transcription"	NaN	6.475223736257365	9.928869561442351	0.7786018084430345	0.66327447	null
"GO:0010468"	"regulation of gene expression"	NaN	6.5545506958384285	11.918642385681064	0.7917428644708542	0.81084517	6355
