TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0001094"	"TFIID-class transcription factor complex binding"	NaN	2.6541765418779604	0.0012304637896928478	0.8323888513354089	0.50214091	null
"GO:0001228"	"DNA-binding transcription activator activity, RNA polymerase II-specific"	NaN	4.497468723709967	0.08596293471191944	0.9219728264084021	0.41049296	null
"GO:0002039"	"p53 binding"	NaN	3.7834032811225633	0.01660305806892216	0.8396971235466372	0.31914838	null
"GO:0003674"	"molecular_function"	NaN	7.563143687918886	100	1	-0	null
"GO:0003677"	"DNA binding"	NaN	6.636573643495705	11.84213116765873	0.8543311239566578	0.50617313	null
"GO:0003682"	"chromatin binding"	NaN	4.7873329304951415	0.167564558880372	0.9518058332478032	-0	null
"GO:0003700"	"DNA-binding transcription factor activity"	NaN	6.220298246456202	4.541029350225432	0.9160559502723584	0.57322123	null
"GO:0000981"	"DNA-binding transcription factor activity, RNA polymerase II-specific"	NaN	5.530811634910523	0.9282536798523531	0.9190339546007165	0.73809775	3700
"GO:0003714"	"transcription corepressor activity"	NaN	4.560014288007842	0.09927928728037316	0.9228800205576029	0.00448174	null
"GO:0003713"	"transcription coactivator activity"	NaN	4.556724526395461	0.09853007155064905	0.914513912584689	0.82526568	3714
"GO:0003723"	"RNA binding"	NaN	6.2777329534134605	5.183093558779092	0.8664259654561739	0.19323138	null
"GO:0003724"	"RNA helicase activity"	NaN	5.054712616834395	0.31014523410202505	0.9595979961474778	0.51926903	null
"GO:0003729"	"mRNA binding"	NaN	5.031981758405118	0.29432967285850625	0.8809525702031488	0.41161134	null
"GO:0003735"	"structural constituent of ribosome"	NaN	5.919537259865355	2.271920138196943	0.9806675479533874	-0	null
"GO:0003924"	"GTPase activity"	NaN	5.675153938293339	1.2942236889107541	0.960419840921188	-0	null
"GO:0016887"	"ATP hydrolysis activity"	NaN	6.084167884907747	3.3191268541448693	0.9241345050883892	0.75491505	3924
"GO:0004386"	"helicase activity"	NaN	5.661684933078066	1.2547011919858198	0.9554929677780992	0.03939774	null
"GO:0004672"	"protein kinase activity"	NaN	6.130572404035669	3.693417532785571	0.9239782193896532	0.29107314	null
"GO:0004864"	"protein phosphatase inhibitor activity"	NaN	4.310523383951521	0.05589313405580334	0.9579457907377904	0.62488164	null
"GO:0004867"	"serine-type endopeptidase inhibitor activity"	NaN	4.763809705396578	0.15872982887037734	0.9563733816399026	0.77781296	4864
"GO:0005096"	"GTPase activator activity"	NaN	5.021813407240284	0.28751837219156207	0.9609108168896854	-0	null
"GO:0005198"	"structural molecule activity"	NaN	6.058463985602251	3.1283830918306608	1	-0	null
"GO:0005200"	"structural constituent of cytoskeleton"	NaN	4.659440781870318	0.12482098119041957	0.9710737735745081	0.64108447	null
"GO:0005506"	"iron ion binding"	NaN	5.735724220279919	1.4879205643202251	0.8717873739943729	0.51519727	null
"GO:0008270"	"zinc ion binding"	NaN	6.140564604482697	3.7793804674974902	0.8595626352025146	0.70346635	5506
"GO:0005509"	"calcium ion binding"	NaN	5.714028667522642	1.4154161691035683	0.8945814183160239	0.23249674	null
"GO:0005515"	"protein binding"	NaN	6.268106216084863	5.069467063710899	0.9329199136559219	0.05994491	null
"GO:0005516"	"calmodulin binding"	NaN	4.754997762422381	0.15554156047308434	0.8157231704222713	0.42584917	null
"GO:0005524"	"ATP binding"	NaN	6.696140148882402	13.583021415319921	0.8305494879961169	0.53307204	null
"GO:0005525"	"GTP binding"	NaN	5.854428720256191	1.9556198507824765	0.8646179381039109	0.34066453	null
"GO:0005539"	"glycosaminoglycan binding"	NaN	4.665918540181034	0.12669675487870688	0.9374863382332613	0.03794117	null
"GO:0008017"	"microtubule binding"	NaN	5.121930625217794	0.3620626029351319	0.8048301211298206	0.50105759	null
"GO:0008168"	"methyltransferase activity"	NaN	5.99635710236053	2.7115211004305637	0.9164913958887342	0.35201182	null
"GO:0008198"	"ferrous iron binding"	NaN	4.208441356438567	0.04418458750588162	0.9045630118873238	0.03510979	null
"GO:0008237"	"metallopeptidase activity"	NaN	5.694000275008918	1.3516234575179369	0.9218685147633334	0.51677044	null
"GO:0008327"	"methyl-CpG binding"	NaN	3.0546130545568877	0.0030980343860488816	0.8856858046997654	0.16979172	null
"GO:0008455"	"alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity"	NaN	3.1341771075767664	0.0037214693728265906	0.9513904141714654	0.02363294	null
"GO:0016274"	"protein-arginine N-methyltransferase activity"	NaN	4.2230544131791055	0.04569669078521527	0.8647397431118711	0.60522927	null
"GO:0008469"	"histone arginine N-methyltransferase activity"	NaN	2.960946195733831	0.0024964743110879335	0.8827522342979675	0.84065919	16274
"GO:0035243"	"protein-arginine omega-N symmetric methyltransferase activity"	NaN	3.507855871695831	0.008801917642269504	0.8754678295127662	0.90286574	16274
"GO:0044020"	"histone H4R3 methyltransferase activity"	NaN	2.640481436970422	0.0011921826940135148	0.8866793445407767	0.80800602	16274
"GO:0019904"	"protein domain specific binding"	NaN	4.597497734464096	0.10822886057740579	0.8200606790512324	0.40759553	null
"GO:0030145"	"manganese ion binding"	NaN	4.952918307262305	0.24534080784486836	0.8908619412641883	0.38328264	null
"GO:0030515"	"snoRNA binding"	NaN	4.172310968521955	0.04065725797542879	0.8962189320480705	0.27361776	null
"GO:0031491"	"nucleosome binding"	NaN	3.9439394644722165	0.02402959063071277	0.9249490711666265	0.03365752	null
"GO:0034511"	"U3 snoRNA binding"	NaN	3.4934580509951885	0.008514809424674507	0.9058186953932422	0.32672243	null
"GO:0035091"	"phosphatidylinositol binding"	NaN	5.019444484724864	0.28595431599666365	0.9495980693486049	0.04046271	null
"GO:0042393"	"histone binding"	NaN	4.4964314451842	0.0857578574136373	0.8227441793359189	0.39002194	null
"GO:0042802"	"identical protein binding"	NaN	5.09719828884705	0.34201971498302397	0.8056007887098541	0.46619731	null
"GO:0042803"	"protein homodimerization activity"	NaN	4.752417249326482	0.15462007981280326	0.8092205108050089	0.43759059	null
"GO:0046982"	"protein heterodimerization activity"	NaN	5.034921095748594	0.29632849292576285	0.8009756341353099	0.70125626	42803
"GO:0043021"	"ribonucleoprotein complex binding"	NaN	5.02370915485029	0.2887761796210259	0.9142631683652369	0.69541591	null
"GO:0045296"	"cadherin binding"	NaN	3.8489892062511672	0.019310078406246423	0.8382698829299974	0.32809757	null
"GO:0046872"	"metal ion binding"	NaN	6.82350155104178	18.212007051596572	0.8599439235217169	0.46402099	null
"GO:0050661"	"NADP binding"	NaN	5.364292029872777	0.6326251841047266	0.9002770037083472	0.06259063	null
"GO:0051117"	"ATPase binding"	NaN	3.6388884247050757	0.011902686392295482	0.8427570682812467	0.03212488	null
"GO:0051287"	"NAD binding"	NaN	5.538993248590611	0.9459067336884798	0.8965172301033699	0.32846153	null
"GO:0051537"	"2 iron, 2 sulfur cluster binding"	NaN	5.267516679420832	0.5062565529032712	0.9469957147720839	0.04447767	null
"GO:0060090"	"molecular adaptor activity"	NaN	4.8682858064167895	0.2018999673407567	1	0	null
"GO:0062153"	"C5-methylcytidine-containing RNA binding"	NaN	2.0492180226701815	0.00030351440145756913	0.9213551364602145	0.02595269	null
"GO:0070577"	"lysine-acetylated histone binding"	NaN	3.585009279902461	0.01051362949193111	0.8296502025599036	0.31113452	null
"GO:0035064"	"methylated histone binding"	NaN	3.7193312869837265	0.014325332876001844	0.8268729164630675	0.82728995	70577
"GO:0070888"	"E-box binding"	NaN	3.3283796034387376	0.005821460907235718	0.8832551013201403	0.6571912	null
"GO:0140030"	"modification-dependent protein binding"	NaN	4.325700342915986	0.05788101666715156	0.8271087989131103	0.35369471	null
"GO:0140463"	"chromatin-protein adaptor activity"	NaN	2.72916478969277	0.0014628847277459412	0.9907107515926408	-0	null
"GO:1990837"	"sequence-specific double-stranded DNA binding"	NaN	5.210826638678256	0.4443040682742248	0.8524728161506311	0.51168716	null
"GO:0000978"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding"	NaN	4.860266117396789	0.19820584160770102	0.8563009858447755	0.85636666	1990837
