# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0003674"	"molecular_function"	100	NaN	1	-0	null
"GO:0003682"	"chromatin binding"	0.167564558880372	NaN	0.9518058332478032	-0	null
"GO:0003714"	"transcription corepressor activity"	0.09927928728037316	NaN	0.9228800205576029	0.00448174	null
"GO:0001228"	"DNA-binding transcription activator activity, RNA polymerase II-specific"	0.08596293471191944	NaN	0.9219728264084021	0.41049296	"transcription corepressor activity"
"GO:0003700"	"DNA-binding transcription factor activity"	4.541029350225432	NaN	0.9160559502723584	0.57322123	"transcription corepressor activity"
"GO:0003735"	"structural constituent of ribosome"	2.271920138196943	NaN	0.9806675479533874	-0	null
"GO:0005200"	"structural constituent of cytoskeleton"	0.12482098119041957	NaN	0.9710737735745081	0.64108447	"structural constituent of ribosome"
"GO:0003924"	"GTPase activity"	1.2942236889107541	NaN	0.960419840921188	-0	null
"GO:0004386"	"helicase activity"	1.2547011919858198	NaN	0.9554929677780992	0.03939774	null
"GO:0003724"	"RNA helicase activity"	0.31014523410202505	NaN	0.9595979961474778	0.51926903	"helicase activity"
"GO:0005096"	"GTPase activator activity"	0.28751837219156207	NaN	0.9609108168896854	-0	null
"GO:0004864"	"protein phosphatase inhibitor activity"	0.05589313405580334	NaN	0.9579457907377904	0.62488164	"GTPase activator activity"
"GO:0005198"	"structural molecule activity"	3.1283830918306608	NaN	1	-0	null
"GO:0005515"	"protein binding"	5.069467063710899	NaN	0.9329199136559219	0.05994491	null
"GO:0005539"	"glycosaminoglycan binding"	0.12669675487870688	NaN	0.9374863382332613	0.03794117	null
"GO:0008198"	"ferrous iron binding"	0.04418458750588162	NaN	0.9045630118873238	0.03510979	null
"GO:0005506"	"iron ion binding"	1.4879205643202251	NaN	0.8717873739943729	0.51519727	"ferrous iron binding"
"GO:0005509"	"calcium ion binding"	1.4154161691035683	NaN	0.8945814183160239	0.23249674	"ferrous iron binding"
"GO:0030145"	"manganese ion binding"	0.24534080784486836	NaN	0.8908619412641883	0.38328264	"ferrous iron binding"
"GO:0046872"	"metal ion binding"	18.212007051596572	NaN	0.8599439235217169	0.46402099	"ferrous iron binding"
"GO:0008455"	"alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity"	0.0037214693728265906	NaN	0.9513904141714654	0.02363294	null
"GO:0004672"	"protein kinase activity"	3.693417532785571	NaN	0.9239782193896532	0.29107314	"alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity"
