Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	130	93
OG0000001	225	160
OG0000002	187	116
OG0000003	260	185
OG0000004	117	97
OG0000005	180	138
OG0000006	220	178
OG0000007	150	79
OG0000008	97	49
OG0000009	73	53
OG0000010	94	78
OG0000011	131	74
OG0000012	79	61
OG0000013	129	93
OG0000014	133	103
OG0000015	90	70
OG0000016	139	129
OG0000017	34	28
OG0000018	57	41
OG0000019	142	131
OG0000020	89	62
OG0000021	123	87
OG0000022	102	78
OG0000023	84	71
OG0000024	78	46
OG0000025	125	93
OG0000026	70	41
OG0000027	77	59
OG0000028	66	34
OG0000029	71	52
OG0000030	17	12
OG0000031	7	2
OG0000032	63	41
OG0000033	14	10
OG0000034	58	49
OG0000035	74	56
OG0000036	41	35
OG0000037	110	109
OG0000038	52	32
OG0000039	80	61
OG0000040	67	44
OG0000041	50	40
OG0000042	44	26
OG0000043	106	106
OG0000044	101	101
OG0000045	11	5
OG0000046	56	40
OG0000047	73	63
OG0000048	55	37
OG0000049	3	1
OG0000050	9	9
OG0000051	58	44
OG0000052	11	7
OG0000053	42	36
OG0000054	59	44
OG0000055	51	22
OG0000056	62	45
OG0000057	25	11
OG0000058	8	8
OG0000059	41	24
OG0000060	13	10
OG0000061	86	86
OG0000062	44	36
OG0000063	33	26
OG0000064	41	39
OG0000065	9	6
OG0000066	65	59
OG0000067	24	16
OG0000068	55	42
OG0000069	44	33
OG0000070	40	32
OG0000071	34	28
OG0000072	36	21
OG0000073	31	25
OG0000074	34	26
OG0000075	48	35
OG0000076	32	22
OG0000077	21	18
OG0000078	57	53
OG0000079	28	14
OG0000080	29	24
OG0000081	38	30
OG0000082	48	43
OG0000083	53	50
OG0000084	28	20
OG0000085	25	15
OG0000086	8	8
OG0000087	47	40
OG0000088	10	10
OG0000089	62	62
OG0000090	38	28
OG0000091	24	16
OG0000092	21	15
OG0000093	9	5
OG0000094	37	37
OG0000095	26	21
OG0000096	12	8
OG0000097	20	19
OG0000098	18	8
OG0000099	23	16
OG0000100	23	15
OG0000101	17	13
OG0000102	21	11
OG0000103	23	17
OG0000104	23	13
OG0000105	41	27
OG0000106	31	29
OG0000107	23	11
OG0000108	27	26
OG0000109	19	10
OG0000110	41	38
OG0000111	21	14
OG0000112	19	15
OG0000113	15	13
OG0000114	16	15
OG0000115	49	49
OG0000116	23	15
OG0000117	20	13
OG0000118	38	30
OG0000119	22	21
OG0000120	27	27
OG0000121	4	3
OG0000122	26	15
OG0000123	26	20
OG0000124	52	52
OG0000125	3	3
OG0000126	32	30
OG0000127	21	9
OG0000128	26	22
OG0000129	19	13
OG0000130	18	14
OG0000131	16	9
OG0000132	33	20
OG0000133	22	12
OG0000134	18	16
OG0000135	5	5
OG0000136	20	15
OG0000137	27	17
OG0000138	20	15
OG0000139	24	15
OG0000140	3	3
OG0000141	21	17
OG0000142	30	20
OG0000143	10	7
OG0000144	7	3
OG0000145	24	21
OG0000146	20	13
OG0000147	14	10
OG0000148	12	10
OG0000149	30	21
OG0000150	34	22
OG0000151	19	11
OG0000152	12	9
OG0000153	12	8
OG0000154	21	17
OG0000155	5	3
OG0000156	13	9
OG0000157	10	7
OG0000158	18	12
OG0000159	4	3
OG0000160	12	6
OG0000161	23	19
OG0000162	28	24
OG0000163	16	10
OG0000164	9	9
OG0000165	19	11
OG0000166	16	10
OG0000167	8	6
OG0000168	4	4
OG0000169	19	18
OG0000170	22	18
OG0000171	17	9
OG0000172	30	23
