	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
crotalus_tigris	0.0	17194.0	17334.0	17413.0	17187.0	17610.0	17190.0	17496.0	18370.0	17898.0	17689.0	18128.0	17573.0
hydrophis_curtus-AG	16936.0	0.0	19752.0	19894.0	29569.0	27023.0	29530.0	16473.0	16729.0	15950.0	16532.0	16467.0	16053.0
hydrophis_curtus	18087.0	20579.0	0.0	21350.0	20642.0	21429.0	20580.0	17701.0	18017.0	17217.0	17737.0	17908.0	17266.0
hydrophis_cyanocinctus	18243.0	20775.0	21463.0	0.0	20939.0	22219.0	20814.0	17791.0	18190.0	17328.0	17843.0	18001.0	17276.0
hydrophis_elegans	16991.0	29768.0	19918.0	20163.0	0.0	29131.0	29789.0	16565.0	16862.0	16045.0	16586.0	16539.0	16198.0
hydrophis_major	17924.0	27898.0	21214.0	21907.0	29792.0	0.0	28193.0	17417.0	17939.0	16736.0	17406.0	17288.0	16965.0
hydrophis_ornatus	16911.0	29586.0	19722.0	19931.0	29589.0	27536.0	0.0	16490.0	16745.0	15950.0	16588.0	16469.0	16020.0
notechis_scutatus	17777.0	16887.0	17115.0	17168.0	16916.0	17436.0	16919.0	0.0	17942.0	17329.0	18066.0	17887.0	17145.0
pantherophis_guttatus	18186.0	16940.0	17048.0	17200.0	17013.0	17368.0	16948.0	17489.0	0.0	17457.0	17599.0	17973.0	17472.0
protobothrops_mucrosquamatus	18777.0	17267.0	17458.0	17583.0	17328.0	17705.0	17287.0	17942.0	18498.0	0.0	18038.0	18819.0	17955.0
pseudonaja_textilis	17816.0	17023.0	17167.0	17199.0	17023.0	17525.0	17041.0	18005.0	17928.0	17289.0	0.0	17811.0	17212.0
python_bivittatus	17568.0	16716.0	16905.0	17006.0	16724.0	17083.0	16699.0	17254.0	17685.0	17233.0	17374.0	0.0	16950.0
thamnophis_elegans	17786.0	16655.0	16720.0	16874.0	16674.0	17105.0	16671.0	17170.0	17920.0	17299.0	17304.0	17633.0	0.0
