	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
crotalus_tigris	0.0	303.0	467.0	455.0	321.0	397.0	316.0	371.0	489.0	417.0	337.0	508.0	643.0
hydrophis_curtus-AG	257.0	0.0	78.0	113.0	219.0	230.0	185.0	69.0	208.0	222.0	79.0	236.0	220.0
hydrophis_curtus	420.0	72.0	0.0	282.0	77.0	161.0	66.0	257.0	463.0	625.0	266.0	504.0	497.0
hydrophis_cyanocinctus	413.0	101.0	273.0	0.0	133.0	177.0	102.0	262.0	446.0	606.0	256.0	560.0	433.0
hydrophis_elegans	296.0	218.0	73.0	213.0	0.0	322.0	186.0	94.0	233.0	253.0	108.0	268.0	256.0
hydrophis_major	427.0	334.0	164.0	304.0	479.0	0.0	347.0	158.0	459.0	397.0	134.0	346.0	366.0
hydrophis_ornatus	265.0	185.0	69.0	108.0	172.0	216.0	0.0	68.0	196.0	227.0	70.0	245.0	206.0
notechis_scutatus	362.0	73.0	243.0	268.0	94.0	127.0	85.0	0.0	436.0	598.0	326.0	478.0	298.0
pantherophis_guttatus	503.0	224.0	380.0	397.0	229.0	285.0	213.0	391.0	0.0	529.0	319.0	519.0	430.0
protobothrops_mucrosquamatus	386.0	288.0	673.0	648.0	322.0	457.0	316.0	586.0	493.0	0.0	474.0	663.0	595.0
pseudonaja_textilis	338.0	85.0	250.0	237.0	102.0	102.0	84.0	305.0	346.0	475.0	0.0	316.0	328.0
python_bivittatus	361.0	208.0	400.0	441.0	235.0	272.0	212.0	384.0	421.0	515.0	301.0	0.0	388.0
thamnophis_elegans	617.0	306.0	500.0	430.0	319.0	420.0	295.0	354.0	507.0	608.0	393.0	551.0	0.0
