	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
crotalus_tigris	0.0	1379.0	1288.0	1313.0	1369.0	1361.0	1347.0	1369.0	1564.0	1376.0	1460.0	1789.0	1285.0
hydrophis_curtus-AG	836.0	0.0	656.0	646.0	435.0	338.0	409.0	624.0	659.0	515.0	540.0	693.0	605.0
hydrophis_curtus	2667.0	2241.0	0.0	2153.0	2257.0	2342.0	2269.0	2273.0	2461.0	2105.0	2275.0	2682.0	2320.0
hydrophis_cyanocinctus	2764.0	2292.0	2277.0	0.0	2329.0	2366.0	2254.0	2295.0	2589.0	2183.0	2302.0	2611.0	2290.0
hydrophis_elegans	876.0	691.0	808.0	716.0	0.0	460.0	666.0	680.0	766.0	584.0	585.0	754.0	726.0
hydrophis_major	1497.0	1351.0	1513.0	1327.0	1182.0	0.0	1148.0	1184.0	1430.0	963.0	1079.0	1307.0	1205.0
hydrophis_ornatus	796.0	481.0	647.0	612.0	413.0	339.0	0.0	607.0	679.0	520.0	575.0	698.0	569.0
notechis_scutatus	1929.0	1477.0	1341.0	1291.0	1461.0	1559.0	1469.0	0.0	1832.0	1625.0	1511.0	2200.0	1744.0
pantherophis_guttatus	1252.0	1057.0	885.0	945.0	1122.0	1045.0	1060.0	1038.0	0.0	1074.0	1099.0	1542.0	1089.0
protobothrops_mucrosquamatus	3186.0	2917.0	2589.0	2709.0	2943.0	2858.0	2902.0	2841.0	3135.0	0.0	2956.0	3620.0	2943.0
pseudonaja_textilis	1743.0	1411.0	1280.0	1256.0	1401.0	1474.0	1395.0	1382.0	1684.0	1504.0	0.0	2040.0	1565.0
python_bivittatus	1252.0	1287.0	1164.0	1138.0	1266.0	1279.0	1259.0	1359.0	1371.0	1109.0	1405.0	0.0	1276.0
thamnophis_elegans	1682.0	1553.0	1340.0	1512.0	1561.0	1555.0	1563.0	1619.0	1732.0	1552.0	1572.0	1981.0	0.0
