	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
crotalus_tigris	0.0	15265.0	14459.0	14529.0	15244.0	15427.0	15283.0	14911.0	15804.0	14652.0	15148.0	15272.0	14941.0
hydrophis_curtus-AG	15265.0	0.0	18040.0	18156.0	28670.0	26069.0	28742.0	15119.0	15405.0	13867.0	15302.0	14934.0	14576.0
hydrophis_curtus	14459.0	18040.0	0.0	17955.0	18048.0	18512.0	18017.0	14557.0	14713.0	13272.0	14647.0	14188.0	13870.0
hydrophis_cyanocinctus	14529.0	18156.0	17955.0	0.0	18231.0	19256.0	18243.0	14650.0	14762.0	13288.0	14715.0	14307.0	13940.0
hydrophis_elegans	15244.0	28670.0	18048.0	18231.0	0.0	27964.0	28759.0	15127.0	15398.0	13850.0	15283.0	14920.0	14561.0
hydrophis_major	15427.0	26069.0	18512.0	19256.0	27964.0	0.0	26592.0	15376.0	15600.0	14036.0	15557.0	15030.0	14736.0
hydrophis_ornatus	15283.0	28742.0	18017.0	18243.0	28759.0	26592.0	0.0	15149.0	15413.0	13865.0	15341.0	14933.0	14593.0
notechis_scutatus	14911.0	15119.0	14557.0	14650.0	15127.0	15376.0	15149.0	0.0	15245.0	13800.0	15648.0	14590.0	14432.0
pantherophis_guttatus	15804.0	15405.0	14713.0	14762.0	15398.0	15600.0	15413.0	15245.0	0.0	14422.0	15440.0	15298.0	15239.0
protobothrops_mucrosquamatus	14652.0	13867.0	13272.0	13288.0	13850.0	14036.0	13865.0	13800.0	14422.0	0.0	13948.0	14055.0	13772.0
pseudonaja_textilis	15148.0	15302.0	14647.0	14715.0	15283.0	15557.0	15341.0	15648.0	15440.0	13948.0	0.0	14821.0	14658.0
python_bivittatus	15272.0	14934.0	14188.0	14307.0	14920.0	15030.0	14933.0	14590.0	15298.0	14055.0	14821.0	0.0	14518.0
thamnophis_elegans	14941.0	14576.0	13870.0	13940.0	14561.0	14736.0	14593.0	14432.0	15239.0	13772.0	14658.0	14518.0	0.0
