	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
Number of genes	19835	27698	26730	27689	28378	30425	27686	19829	20054	20607	19403	19896	19034
Number of genes in orthogroups	19642	27189	23953	24620	27794	29500	27168	19346	19784	20104	19232	19116	18925
Number of unassigned genes	193	509	2777	3069	584	925	518	483	270	503	171	780	109
Percentage of genes in orthogroups	99.0	98.2	89.6	88.9	97.9	97.0	98.1	97.6	98.7	97.6	99.1	96.1	99.4
Percentage of unassigned genes	1.0	1.8	10.4	11.1	2.1	3.0	1.9	2.4	1.3	2.4	0.9	3.9	0.6
Number of orthogroups containing species	16830	24018	20109	20418	24102	23754	24003	16692	17017	16415	16713	16771	16078
Percentage of orthogroups containing species	59.8	85.3	71.4	72.5	85.6	84.4	85.3	59.3	60.5	58.3	59.4	59.6	57.1
Number of species-specific orthogroups	20	10	83	121	18	71	11	79	96	77	97	28	24
Number of genes in species-specific orthogroups	74	26	192	315	52	724	31	172	223	185	217	85	117
Percentage of genes in species-specific orthogroups	0.4	0.1	0.7	1.1	0.2	2.4	0.1	0.9	1.1	0.9	1.1	0.4	0.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	11319	4131	8040	7731	4047	4395	4146	11457	11132	11734	11436	11378	12071
'1	15600	22788	17866	18124	22789	22103	22737	15154	15755	14247	15259	15448	14816
'2	893	832	1673	1650	847	1076	867	1180	876	1734	1114	1048	920
'3	139	192	305	341	218	227	196	189	184	240	168	153	130
'4	66	78	104	118	76	81	70	88	81	75	82	45	55
'5	25	36	46	54	51	62	43	24	33	22	23	18	36
'6	21	22	34	30	29	43	23	11	16	15	17	11	22
'7	12	12	25	23	21	16	13	8	13	18	8	9	17
'8	14	12	12	21	12	25	10	4	9	7	8	11	14
'9	8	6	5	15	8	12	7	7	10	11	5	7	11
'10	9	6	6	3	7	12	3	4	3	10	6	3	8
11-15	13	14	18	22	20	46	16	7	17	13	10	8	28
16-20	8	4	8	6	7	7	2	5	3	10	5	2	6
21-50	21	8	6	9	7	24	8	9	15	12	7	6	14
51-100	1	5	1	2	6	13	7	2	2	1	1	1	1
101-150	0	2	0	0	3	6	0	0	0	0	0	1	0
151-200	0	1	0	0	1	0	1	0	0	0	0	0	0
201-500	0	0	0	0	0	1	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	40.2	14.7	28.6	27.5	14.4	15.6	14.7	40.7	39.5	41.7	40.6	40.4	42.9
'1	55.4	81.0	63.5	64.4	81.0	78.5	80.8	53.8	56.0	50.6	54.2	54.9	52.6
'2	3.2	3.0	5.9	5.9	3.0	3.8	3.1	4.2	3.1	6.2	4.0	3.7	3.3
'3	0.5	0.7	1.1	1.2	0.8	0.8	0.7	0.7	0.7	0.9	0.6	0.5	0.5
'4	0.2	0.3	0.4	0.4	0.3	0.3	0.2	0.3	0.3	0.3	0.3	0.2	0.2
'5	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.1	0.1
'6	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.0	0.1	0.1	0.1	0.0	0.1
'7	0.0	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1
'8	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'9	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.0	0.1	0.1	0.1	0.2	0.1	0.0	0.1	0.0	0.0	0.0	0.1
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	15600	22788	17866	18124	22789	22103	22737	15154	15755	14247	15259	15448	14816
'2	1786	1664	3346	3300	1694	2152	1734	2360	1752	3468	2228	2096	1840
'3	417	576	915	1023	654	681	588	567	552	720	504	459	390
'4	264	312	416	472	304	324	280	352	324	300	328	180	220
'5	125	180	230	270	255	310	215	120	165	110	115	90	180
'6	126	132	204	180	174	258	138	66	96	90	102	66	132
'7	84	84	175	161	147	112	91	56	91	126	56	63	119
'8	112	96	96	168	96	200	80	32	72	56	64	88	112
'9	72	54	45	135	72	108	63	63	90	99	45	63	99
