	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
crotalus_tigris	16830	15743	15770	15846	15744	16024	15736	15811	16250	15711	15945	15968	15595
hydrophis_curtus-AG	15743	24016	18409	18557	23466	22823	23444	15525	15743	15143	15641	15490	15115
hydrophis_curtus	15770	18409	20110	18601	18423	18818	18402	15623	15796	15231	15686	15577	15164
hydrophis_cyanocinctus	15846	18557	18601	20418	18585	18999	18547	15685	15889	15295	15755	15663	15225
hydrophis_elegans	15744	23466	18423	18585	24100	22925	23446	15535	15751	15147	15646	15490	15122
hydrophis_major	16024	22823	18818	18999	22925	23751	22814	15813	16028	15419	15937	15772	15385
hydrophis_ornatus	15736	23444	18402	18547	23446	22814	24001	15528	15743	15136	15646	15484	15112
notechis_scutatus	15811	15525	15623	15685	15535	15813	15528	16693	15910	15433	16048	15708	15342
pantherophis_guttatus	16250	15743	15796	15889	15751	16028	15743	15910	17013	15638	16027	15945	15649
protobothrops_mucrosquamatus	15711	15143	15231	15295	15147	15419	15136	15433	15638	16413	15525	15600	15219
pseudonaja_textilis	15945	15641	15686	15755	15646	15937	15646	16048	16027	15525	16717	15827	15464
python_bivittatus	15968	15490	15577	15663	15490	15772	15484	15708	15945	15600	15827	16771	15395
thamnophis_elegans	15595	15115	15164	15225	15122	15385	15112	15342	15649	15219	15464	15395	16077
