	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
crotalus_tigris	0.0	17201.0	17359.0	17421.0	17195.0	17634.0	17172.0	17473.0	18377.0	17914.0	17695.0	18118.0	17560.0
hydrophis_curtus-AG	16900.0	0.0	19677.0	19866.0	29548.0	26972.0	29497.0	16511.0	16759.0	15966.0	16568.0	16443.0	16119.0
hydrophis_curtus	18086.0	20538.0	0.0	21341.0	20665.0	21426.0	20568.0	17708.0	18064.0	17199.0	17780.0	17855.0	17277.0
hydrophis_cyanocinctus	18238.0	20756.0	21439.0	0.0	20934.0	22197.0	20814.0	17795.0	18217.0	17290.0	17850.0	17986.0	17292.0
hydrophis_elegans	17012.0	29707.0	19818.0	20097.0	0.0	29049.0	29755.0	16618.0	16916.0	16066.0	16687.0	16502.0	16269.0
hydrophis_major	17880.0	27892.0	21086.0	21840.0	29774.0	0.0	28169.0	17494.0	18004.0	16765.0	17477.0	17249.0	17058.0
hydrophis_ornatus	16851.0	29565.0	19647.0	19913.0	29620.0	27492.0	0.0	16525.0	16776.0	15950.0	16602.0	16442.0	16078.0
notechis_scutatus	17761.0	16898.0	17140.0	17158.0	16941.0	17462.0	16944.0	0.0	17994.0	17278.0	18097.0	17835.0	17188.0
pantherophis_guttatus	18160.0	16932.0	17052.0	17262.0	16979.0	17393.0	16949.0	17468.0	0.0	17423.0	17581.0	17959.0	17470.0
protobothrops_mucrosquamatus	18776.0	17259.0	17458.0	17577.0	17323.0	17717.0	17256.0	17918.0	18488.0	0.0	18021.0	18771.0	17925.0
pseudonaja_textilis	17787.0	17013.0	17178.0	17214.0	17019.0	17539.0	17040.0	18027.0	17958.0	17261.0	0.0	17757.0	17256.0
python_bivittatus	17572.0	16689.0	16877.0	17016.0	16703.0	17090.0	16647.0	17271.0	17680.0	17206.0	17347.0	0.0	16944.0
thamnophis_elegans	17779.0	16690.0	16762.0	16909.0	16701.0	17162.0	16685.0	17168.0	17928.0	17240.0	17337.0	17618.0	0.0
