	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
crotalus_tigris	0.0	1399.0	1328.0	1332.0	1395.0	1410.0	1347.0	1367.0	1573.0	1382.0	1480.0	1818.0	1279.0
hydrophis_curtus-AG	832.0	0.0	558.0	591.0	473.0	286.0	391.0	654.0	694.0	546.0	563.0	742.0	671.0
hydrophis_curtus	2687.0	2197.0	0.0	2161.0	2300.0	2325.0	2250.0	2260.0	2474.0	2090.0	2314.0	2684.0	2330.0
hydrophis_cyanocinctus	2785.0	2252.0	2252.0	0.0	2320.0	2317.0	2248.0	2286.0	2593.0	2204.0	2316.0	2628.0	2295.0
hydrophis_elegans	936.0	662.0	678.0	654.0	0.0	414.0	630.0	743.0	815.0	619.0	678.0	794.0	794.0
hydrophis_major	1500.0	1375.0	1331.0	1254.0	1266.0	0.0	1178.0	1271.0	1489.0	1023.0	1123.0	1356.0	1292.0
hydrophis_ornatus	781.0	479.0	540.0	563.0	479.0	328.0	0.0	638.0	710.0	544.0	575.0	744.0	627.0
notechis_scutatus	1969.0	1482.0	1355.0	1265.0	1485.0	1582.0	1492.0	0.0	1861.0	1626.0	1533.0	2226.0	1781.0
pantherophis_guttatus	1285.0	1059.0	888.0	1012.0	1096.0	1071.0	1069.0	1008.0	0.0	1077.0	1085.0	1577.0	1077.0
protobothrops_mucrosquamatus	3168.0	2932.0	2613.0	2737.0	2970.0	2906.0	2911.0	2842.0	3128.0	0.0	2957.0	3609.0	2943.0
pseudonaja_textilis	1736.0	1393.0	1282.0	1257.0	1392.0	1476.0	1384.0	1403.0	1702.0	1495.0	0.0	2035.0	1587.0
python_bivittatus	1241.0	1301.0	1157.0	1180.0	1291.0	1305.0	1238.0	1384.0	1363.0	1091.0	1417.0	0.0	1282.0
thamnophis_elegans	1710.0	1578.0	1370.0	1525.0	1585.0	1596.0	1568.0	1604.0	1732.0	1520.0	1601.0	2002.0	0.0
