	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
crotalus_tigris	0.0	15273.0	14463.0	14532.0	15247.0	15434.0	15289.0	14900.0	15801.0	14660.0	15158.0	15271.0	14952.0
hydrophis_curtus-AG	15273.0	0.0	18062.0	18179.0	28615.0	26079.0	28728.0	15114.0	15400.0	13859.0	15296.0	14933.0	14575.0
hydrophis_curtus	14463.0	18062.0	0.0	17946.0	18058.0	18549.0	18047.0	14556.0	14710.0	13271.0	14641.0	14188.0	13863.0
hydrophis_cyanocinctus	14532.0	18179.0	17946.0	0.0	18265.0	19304.0	18263.0	14657.0	14760.0	13279.0	14708.0	14309.0	13941.0
hydrophis_elegans	15247.0	28615.0	18058.0	18265.0	0.0	27943.0	28727.0	15120.0	15399.0	13846.0	15271.0	14920.0	14559.0
hydrophis_major	15434.0	26079.0	18549.0	19304.0	27943.0	0.0	26562.0	15369.0	15596.0	14029.0	15550.0	15031.0	14737.0
hydrophis_ornatus	15289.0	28728.0	18047.0	18263.0	28727.0	26562.0	0.0	15141.0	15412.0	13858.0	15331.0	14934.0	14594.0
notechis_scutatus	14900.0	15114.0	14556.0	14657.0	15120.0	15369.0	15141.0	0.0	15247.0	13785.0	15645.0	14591.0	14432.0
pantherophis_guttatus	15801.0	15400.0	14710.0	14760.0	15399.0	15596.0	15412.0	15247.0	0.0	14425.0	15437.0	15304.0	15239.0
protobothrops_mucrosquamatus	14660.0	13859.0	13271.0	13279.0	13846.0	14029.0	13858.0	13785.0	14425.0	0.0	13955.0	14054.0	13778.0
pseudonaja_textilis	15158.0	15296.0	14641.0	14708.0	15271.0	15550.0	15331.0	15645.0	15437.0	13955.0	0.0	14828.0	14659.0
python_bivittatus	15271.0	14933.0	14188.0	14309.0	14920.0	15031.0	14934.0	14591.0	15304.0	14054.0	14828.0	0.0	14518.0
thamnophis_elegans	14952.0	14575.0	13863.0	13941.0	14559.0	14737.0	14594.0	14432.0	15239.0	13778.0	14659.0	14518.0	0.0
