Number of species	13
Number of genes	307264
Number of genes in orthogroups	296373
Number of unassigned genes	10891
Percentage of genes in orthogroups	96.5
Percentage of unassigned genes	3.5
Number of orthogroups	28147
Number of species-specific orthogroups	732
Number of genes in species-specific orthogroups	2396
Percentage of genes in species-specific orthogroups	0.8
Mean orthogroup size	10.5
Median orthogroup size	13.0
G50 (assigned genes)	13
G50 (all genes)	13
O50 (assigned genes)	8802
O50 (all genes)	9221
Number of orthogroups with all species present	13056
Number of single-copy orthogroups	8654
Date	2023-03-16
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	13771	48.9	75722	25.5
'1	13830	49.1	191038	64.5
'2	331	1.2	9849	3.3
'3	85	0.3	3707	1.3
'4	35	0.1	1984	0.7
'5	25	0.1	1739	0.6
'6	12	0.0	1011	0.3
'7	10	0.0	968	0.3
'8	9	0.0	980	0.3
'9	6	0.0	741	0.3
'10	5	0.0	684	0.2
11-15	11	0.0	1966	0.7
16-20	5	0.0	1187	0.4
21-50	12	0.0	4797	1.6
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	732
2	2124
3	1580
4	3074
5	1793
6	1943
7	403
8	284
9	333
10	385
11	677
12	1763
13	13056
