file,null,alt,df,lrt,pval,note
OG0007017,bsA1,bsA,1,0.0,1.0,
OG0007017,M0,bsA,3,109.98439800000051,0.0,
OG0007017,M0,bsA1,2,109.98439800000051,0.0,
OG0005250,bsA1,bsA,1,3.521447999999964,0.060579499764255695,
OG0005250,M0,bsA,3,20.403314000000137,0.00014001388174622598,
OG0005250,M0,bsA1,2,16.881866000000173,0.00021584866949664328,
OG0005132,bsA1,bsA,1,2.400041999999303,0.12133199278748485,
OG0005132,M0,bsA,3,25.59739399999853,1.1579842882469826e-05,
OG0005132,M0,bsA1,2,23.197351999999228,9.17823167390086e-06,
OG0008345,bsA1,bsA,1,16.121264000000338,5.941319177238391e-05,
OG0008345,M0,bsA,3,28.926274000000376,2.32075157513556e-06,
OG0008345,M0,bsA1,2,12.805010000000038,0.0016574002810110233,
OG0005398,bsA1,bsA,1,0.0,1.0,
OG0005398,M0,bsA,3,41.097437999999784,6.2353150420690895e-09,
OG0005398,M0,bsA1,2,41.097437999999784,1.1907065333716105e-09,
OG0009960,bsA1,bsA,1,0.011099999999714782,0.9160929020922852,
OG0009960,M0,bsA,3,24.53989399999955,1.9267717146109753e-05,
OG0009960,M0,bsA1,2,24.528793999999834,4.716719600006414e-06,
OG0005276,bsA1,bsA,1,0.9399119999999357,0.3323004740314517,
OG0005276,M0,bsA,3,7.439129999999977,0.05914326329532149,
OG0005276,M0,bsA1,2,6.499218000000042,0.03878937151128958,
OG0005488,bsA1,bsA,1,27.458581999999296,1.6049508222426567e-07,
OG0005488,M0,bsA,3,146.97492000000057,0.0,
OG0005488,M0,bsA1,2,119.51633800000127,0.0,
OG0011994,bsA1,bsA,1,15.269646000000648,9.320225331921339e-05,
OG0011994,M0,bsA,3,100.12464200000068,0.0,
OG0011994,M0,bsA1,2,84.85499600000003,0.0,
OG0011428,bsA1,bsA,1,4.795614000000569,0.02853228515750872,
OG0011428,M0,bsA,3,132.25877200000104,0.0,
OG0011428,M0,bsA1,2,127.46315800000048,0.0,
OG0011737,bsA1,bsA,1,1.4000000192027073e-05,0.9970145962847485,
OG0011737,M0,bsA,3,172.59676000000036,0.0,
OG0011737,M0,bsA1,2,172.59674600000017,0.0,
OG0013112,bsA1,bsA,1,1.5238639999997758,0.2170356900505196,
OG0013112,M0,bsA,3,22.44418399999995,5.27224964317341e-05,
OG0013112,M0,bsA1,2,20.920320000000174,2.8655647895781122e-05,
OG0012824,bsA1,bsA,1,1.99999976757681e-06,0.998871621274596,
OG0012824,M0,bsA,3,16.34889000000021,0.0009616952960785907,
OG0012824,M0,bsA1,2,16.348888000000443,0.000281763074924557,
