file,null,alt,df,lrt,pval,note
OG0007017,bsA1,bsA,1,2.491841999999451,0.11443771892027355,
OG0008345,bsA1,bsA,1,0.0,1.0,
OG0005398,bsA1,bsA,1,104.22648000000117,0.0,
OG0009960,bsA1,bsA,1,0.0,1.0,
OG0005488,bsA1,bsA,1,,,lnl1 < lnl0
OG0011994,bsA1,bsA,1,18.169128,2.0212896150728632e-05,
OG0011428,bsA1,bsA,1,66.76370399999996,3.3306690738754696e-16,
OG0011737,bsA1,bsA,1,0.0,1.0,
OG0013112,bsA1,bsA,1,0.0,1.0,
OG0012824,bsA1,bsA,1,,,lnl1 < lnl0
OG0007678,bsA1,bsA,1,0.0,1.0,
OG0014260,bsA1,bsA,1,0.0,1.0,
OG0008417,bsA1,bsA,1,2.0000006770715117e-06,0.9988716210180326,
OG0009781,bsA1,bsA,1,190.5260600000006,0.0,
OG0012396,bsA1,bsA,1,0.0,1.0,
OG0011341,bsA1,bsA,1,0.0,1.0,
OG0008490,bsA1,bsA,1,0.0,1.0,
OG0006116,bsA1,bsA,1,3.2766259999989416,0.07027325792404393,
OG0007514,bsA1,bsA,1,,,lnl1 < lnl0
OG0006834,bsA1,bsA,1,0.0,1.0,
OG0013805,bsA1,bsA,1,7.54863000000114,0.006005571642852536,
OG0005438,bsA1,bsA,1,42.68865799999912,6.418332532120985e-11,
OG0009606,bsA1,bsA,1,0.40997999999945023,0.5219796567391748,
OG0012310,bsA1,bsA,1,96.32625200000075,0.0,
OG0009440,bsA1,bsA,1,145.5108160000018,0.0,
OG0013931,bsA1,bsA,1,0.7131540000000314,0.39839874459364055,
OG0010354,bsA1,bsA,1,29.617726000000403,5.262151447915642e-08,
OG0007816,bsA1,bsA,1,83.00433599999997,0.0,
OG0009995,bsA1,bsA,1,0.0,1.0,
OG0008511,bsA1,bsA,1,,,lnl1 < lnl0
OG0007586,bsA1,bsA,1,0.0,1.0,
OG0010664,bsA1,bsA,1,0.6232580000005328,0.4298391632023123,
OG0005342,bsA1,bsA,1,20.180060000000594,7.04838380827244e-06,
OG0010015,bsA1,bsA,1,0.0,1.0,
OG0006994,bsA1,bsA,1,0.019960000000537548,0.8876488561723036,
OG0011051,bsA1,bsA,1,46.710643999999775,8.22808488010196e-12,
OG0009117,bsA1,bsA,1,5.694772000000739,0.017015522955133533,
OG0010150,bsA1,bsA,1,2.876249999999345,0.08989514859137515,
OG0011114,bsA1,bsA,1,61.52007799999956,4.3298697960381105e-15,
OG0009850,bsA1,bsA,1,50.50191799999993,1.1904921493055554e-12,
OG0012533,bsA1,bsA,1,9.999999747378752e-06,0.997476871715064,
OG0011712,bsA1,bsA,1,0.0,1.0,
OG0011311,bsA1,bsA,1,0.00010400000019217259,0.9918632831388962,
OG0013476,bsA1,bsA,1,177.61695800000007,0.0,
OG0012406,bsA1,bsA,1,5.003263999999945,0.025299564229109506,
OG0008053,bsA1,bsA,1,65.3465240000005,6.661338147750939e-16,
OG0006595,bsA1,bsA,1,15.863499999999476,6.807913354411887e-05,
OG0012034,bsA1,bsA,1,0.0,1.0,
OG0007210,bsA1,bsA,1,6.262294000000111,0.012333440039611565,
OG0012279,bsA1,bsA,1,62.89872200000082,2.220446049250313e-15,
OG0010053,bsA1,bsA,1,,,lnl1 < lnl0
OG0012736,bsA1,bsA,1,62.36001000000033,2.886579864025407e-15,
OG0007728,bsA1,bsA,1,1.205641999999898,0.27219693330249106,
OG0012696,bsA1,bsA,1,39.99660599999879,2.5440449746838567e-10,
OG0014193,bsA1,bsA,1,54.360279999998966,1.6686652060116103e-13,
OG0007078,bsA1,bsA,1,3.0527839999995194,0.08059887257100862,
OG0007282,bsA1,bsA,1,0.0,1.0,
OG0006216,bsA1,bsA,1,18.170317999999497,2.0200269805314974e-05,
OG0009480,bsA1,bsA,1,0.0,1.0,
OG0007776,bsA1,bsA,1,0.0,1.0,
OG0006052,bsA1,bsA,1,,,lnl1 < lnl0
OG0011308,bsA1,bsA,1,32.229785999999876,1.3697471934470684e-08,
OG0005771,bsA1,bsA,1,9.809576000000561,0.001736055261920666,
OG0011514,bsA1,bsA,1,0.0,1.0,
OG0007624,bsA1,bsA,1,4.600000102072954e-05,0.9945885250481612,
OG0008894,bsA1,bsA,1,124.75661599999967,0.0,
OG0013278,bsA1,bsA,1,320.9221840000009,0.0,
OG0008765,bsA1,bsA,1,11.276937999999973,0.0007847588729342769,
OG0013895,bsA1,bsA,1,15.294616000000133,9.197829312856953e-05,
OG0011736,bsA1,bsA,1,6.461543999997957,0.011023382030437956,
OG0007689,bsA1,bsA,1,14.847143999999389,0.00011658447029527785,
OG0007439,bsA1,bsA,1,0.0,1.0,
OG0012623,bsA1,bsA,1,0.2057199999999284,0.6501429092142246,
OG0009660,bsA1,bsA,1,,,lnl1 < lnl0
OG0011879,bsA1,bsA,1,0.0,1.0,
OG0006395,bsA1,bsA,1,1.8922240000028978,0.16895128964994544,
OG0007857,bsA1,bsA,1,0.0,1.0,
OG0006810,bsA1,bsA,1,0.0,1.0,
OG0007488,bsA1,bsA,1,0.014283999999861408,0.9048668108252281,
OG0007772,bsA1,bsA,1,216.83415199999945,0.0,
OG0013580,bsA1,bsA,1,13.716201999999612,0.0002126123782962841,
OG0007733,bsA1,bsA,1,29.967452000000776,4.393596042540082e-08,
OG0011903,bsA1,bsA,1,36.763136000001396,1.3338880000546283e-09,
OG0009567,bsA1,bsA,1,0.0,1.0,
OG0011525,bsA1,bsA,1,11.617959999999584,0.0006531800346512018,
OG0007924,bsA1,bsA,1,7.636349999999766,0.005720355494873153,
OG0013145,bsA1,bsA,1,26.603337999999894,2.4981177404459487e-07,
OG0014033,bsA1,bsA,1,3.672489999999925,0.055317484838868336,
OG0007134,bsA1,bsA,1,0.08478799999966213,0.7709107588213675,
OG0008361,bsA1,bsA,1,64.90938400000005,7.771561172376096e-16,
OG0005994,bsA1,bsA,1,279.85459600000104,0.0,
OG0007713,bsA1,bsA,1,123.1626240000005,0.0,
OG0012548,bsA1,bsA,1,,,lnl1 < lnl0
OG0010481,bsA1,bsA,1,2.3790140000000974,0.12297514306879143,
OG0013882,bsA1,bsA,1,324.08393799999976,0.0,
OG0011253,bsA1,bsA,1,771.177787999999,0.0,
OG0010439,bsA1,bsA,1,44.271176000000196,2.858946412942487e-11,
OG0013527,bsA1,bsA,1,69.74411800000007,1.1102230246251565e-16,
OG0012702,bsA1,bsA,1,0.0,1.0,
OG0005669,bsA1,bsA,1,0.0,1.0,
OG0008663,bsA1,bsA,1,3.6677019999997356,0.055476623045021434,
OG0009996,bsA1,bsA,1,18.047598000000107,2.154502952378401e-05,
OG0010995,bsA1,bsA,1,0.0,1.0,
OG0007254,bsA1,bsA,1,27.770485999999437,1.365940921482789e-07,
OG0006763,bsA1,bsA,1,0.019303999999465304,0.8894984823100373,
OG0006000,bsA1,bsA,1,0.0,1.0,
OG0014215,bsA1,bsA,1,106.87562799999978,0.0,
OG0008523,bsA1,bsA,1,9.864251999999397,0.0016852117756775975,
OG0008544,bsA1,bsA,1,57.34817199999998,3.652633751016765e-14,
OG0006452,bsA1,bsA,1,206.86629600000015,0.0,
OG0012872,bsA1,bsA,1,13.0067939999999,0.00031036285582775047,
OG0006680,bsA1,bsA,1,1.6761500000011438,0.19543681340627983,
OG0013614,bsA1,bsA,1,106.80471799999941,0.0,
OG0005904,bsA1,bsA,1,0.0,1.0,
OG0007724,bsA1,bsA,1,0.8302960000000894,0.36218695148993574,
OG0010883,bsA1,bsA,1,0.0,1.0,
OG0012633,bsA1,bsA,1,60.1964780000003,8.548717289613705e-15,
OG0010338,bsA1,bsA,1,0.0,1.0,
OG0012221,bsA1,bsA,1,35.178875999999946,3.0076838797299388e-09,
OG0009532,bsA1,bsA,1,103.44272999999976,0.0,
OG0009241,bsA1,bsA,1,19.12684999999965,1.2231203608936703e-05,
OG0010385,bsA1,bsA,1,0.0,1.0,
OG0007558,bsA1,bsA,1,,,lnl1 < lnl0
OG0009482,bsA1,bsA,1,78.9694899999995,0.0,
OG0012267,bsA1,bsA,1,,,lnl1 < lnl0
OG0011677,bsA1,bsA,1,0.0,1.0,
OG0006202,bsA1,bsA,1,0.0,1.0,
OG0008308,bsA1,bsA,1,,,lnl1 < lnl0
OG0013638,bsA1,bsA,1,6.017672000000857,0.014163317533289699,
OG0011182,bsA1,bsA,1,0.043360000000120635,0.8350488845813199,
OG0013524,bsA1,bsA,1,4.791653999999653,0.0285979523620008,
OG0005300,bsA1,bsA,1,40.27544200000011,2.2056412252169366e-10,
OG0013661,bsA1,bsA,1,0.0,1.0,
OG0009795,bsA1,bsA,1,49.85162000000014,1.6582291095801338e-12,
OG0008672,bsA1,bsA,1,2.174852000000101,0.1402830109586395,
OG0011424,bsA1,bsA,1,0.08966999999938707,0.7645971021478273,
OG0006228,bsA1,bsA,1,56.81043000000045,4.796163466380676e-14,
OG0013620,bsA1,bsA,1,154.62348999999995,0.0,
OG0006405,bsA1,bsA,1,38.012674000000516,7.028656545671197e-10,
OG0010624,bsA1,bsA,1,30.578285999999935,3.206625309726263e-08,
OG0007596,bsA1,bsA,1,,,lnl1 < lnl0
OG0010857,bsA1,bsA,1,0.0,1.0,
OG0013802,bsA1,bsA,1,127.36038999999982,0.0,
OG0007634,bsA1,bsA,1,13.541310000000522,0.0002333694479350612,
OG0010262,bsA1,bsA,1,65.1641660000023,6.661338147750939e-16,
OG0007848,bsA1,bsA,1,162.14679999999998,0.0,
OG0005569,bsA1,bsA,1,0.0,1.0,
OG0010020,bsA1,bsA,1,173.93775000000096,0.0,
OG0006344,bsA1,bsA,1,0.0,1.0,
OG0012337,bsA1,bsA,1,338.5855940000001,0.0,
OG0011664,bsA1,bsA,1,4.007328000000598,0.045302893263583055,
OG0011210,bsA1,bsA,1,111.35599800000273,0.0,
OG0008718,bsA1,bsA,1,25.919636000000537,3.5593010161427685e-07,
OG0007609,bsA1,bsA,1,274.2912180000021,0.0,
OG0011641,bsA1,bsA,1,0.0,1.0,
OG0013762,bsA1,bsA,1,40.336567999998806,2.1377011272250002e-10,
OG0012863,bsA1,bsA,1,,,lnl1 < lnl0
OG0008516,bsA1,bsA,1,0.0,1.0,
OG0013771,bsA1,bsA,1,0.11767599999984668,0.7315688524529593,
OG0007002,bsA1,bsA,1,3.6997819999996864,0.05441957768664729,
OG0007431,bsA1,bsA,1,,,lnl1 < lnl0
OG0009016,bsA1,bsA,1,,,lnl1 < lnl0
OG0010715,bsA1,bsA,1,,,lnl1 < lnl0
OG0011645,bsA1,bsA,1,26.627578000000085,2.4669715237291e-07,
OG0014309,bsA1,bsA,1,373.28403400000025,0.0,
OG0013032,bsA1,bsA,1,,,lnl1 < lnl0
OG0012530,bsA1,bsA,1,86.67038599999978,0.0,
OG0011064,bsA1,bsA,1,0.0,1.0,
OG0014240,bsA1,bsA,1,0.0,1.0,
OG0007168,bsA1,bsA,1,254.08825999999954,0.0,
OG0010166,bsA1,bsA,1,7.999999979801942e-06,0.9977432446776654,
OG0007535,bsA1,bsA,1,0.008137999999689782,0.928119651234932,
OG0008016,bsA1,bsA,1,0.0,1.0,
OG0011932,bsA1,bsA,1,1.192710000000261,0.2747835979922816,
OG0008320,bsA1,bsA,1,0.0,1.0,
OG0011626,bsA1,bsA,1,125.17517199999929,0.0,
OG0012342,bsA1,bsA,1,0.0,1.0,
OG0010537,bsA1,bsA,1,16.120821999997133,5.942705919537161e-05,
OG0009231,bsA1,bsA,1,0.39772400000003927,0.52826702497924,
OG0010310,bsA1,bsA,1,0.0,1.0,
OG0012024,bsA1,bsA,1,0.0,1.0,
OG0009018,bsA1,bsA,1,74.70593800000006,0.0,
OG0010095,bsA1,bsA,1,0.0334660000007716,0.8548473350708943,
OG0010894,bsA1,bsA,1,10.258046000000832,0.0013608974652300487,
OG0010422,bsA1,bsA,1,0.0,1.0,
OG0007220,bsA1,bsA,1,1.632288000000699,0.20138687787117493,
OG0005856,bsA1,bsA,1,0.0,1.0,
OG0009253,bsA1,bsA,1,28.0075080000006,1.2084567724279793e-07,
OG0013570,bsA1,bsA,1,89.14375199999995,0.0,
OG0011723,bsA1,bsA,1,0.0,1.0,
OG0008437,bsA1,bsA,1,,,lnl1 < lnl0
OG0010830,bsA1,bsA,1,0.8930220000002009,0.3446596863936977,
OG0013453,bsA1,bsA,1,0.0,1.0,
OG0012152,bsA1,bsA,1,0.0,1.0,
OG0012477,bsA1,bsA,1,0.6440539999994144,0.4222465863214444,
OG0013466,bsA1,bsA,1,62.250779999998485,2.9976021664879227e-15,
OG0013674,bsA1,bsA,1,0.0,1.0,
OG0007148,bsA1,bsA,1,0.0,1.0,
OG0008602,bsA1,bsA,1,0.0,1.0,
OG0005926,bsA1,bsA,1,0.0,1.0,
OG0011786,bsA1,bsA,1,0.0,1.0,
OG0011461,bsA1,bsA,1,0.0,1.0,
OG0012015,bsA1,bsA,1,3.9001939999998285,0.04828053224127937,
OG0010271,bsA1,bsA,1,0.4520040000006702,0.5013848198865201,
OG0007003,bsA1,bsA,1,63.47507600000063,1.6653345369377348e-15,
OG0011537,bsA1,bsA,1,0.0,1.0,
OG0012622,bsA1,bsA,1,67.71082999999999,2.220446049250313e-16,
OG0014031,bsA1,bsA,1,,,lnl1 < lnl0
OG0010289,bsA1,bsA,1,295.3849439999999,0.0,
OG0013918,bsA1,bsA,1,21.25167000000056,4.027593133559826e-06,
OG0011003,bsA1,bsA,1,0.0,1.0,
OG0009463,bsA1,bsA,1,0.0,1.0,
OG0005493,bsA1,bsA,1,0.35634600000003047,0.550542610318884,
OG0007074,bsA1,bsA,1,11.442565999997896,0.0007178059684758153,
OG0013857,bsA1,bsA,1,0.31563199999982317,0.5742445539529357,
OG0006369,bsA1,bsA,1,4.783980000000156,0.028725655700283848,
OG0011391,bsA1,bsA,1,76.21974399999999,0.0,
OG0007800,bsA1,bsA,1,1.06468600000062,0.30214884503093997,
OG0009285,bsA1,bsA,1,,,lnl1 < lnl0
OG0010550,bsA1,bsA,1,33.412272000001394,7.455205119910602e-09,
OG0009988,bsA1,bsA,1,31.19990400000006,2.3277758831596884e-08,
OG0010538,bsA1,bsA,1,0.0,1.0,
OG0012330,bsA1,bsA,1,21.109981999999945,4.336632468571189e-06,
OG0006701,bsA1,bsA,1,69.40017199999966,1.1102230246251565e-16,
OG0006826,bsA1,bsA,1,1314.5908540000019,0.0,
OG0012706,bsA1,bsA,1,68.69402599999921,1.1102230246251565e-16,
OG0005527,bsA1,bsA,1,217.04305600000043,0.0,
OG0013280,bsA1,bsA,1,0.0,1.0,
OG0008261,bsA1,bsA,1,327.46223199999986,0.0,
OG0007142,bsA1,bsA,1,0.0,1.0,
OG0010940,bsA1,bsA,1,49.961677999999665,1.5677459330731836e-12,
OG0005722,bsA1,bsA,1,,,lnl1 < lnl0
OG0013756,bsA1,bsA,1,6.074499999998807,0.013714711587745176,
OG0010678,bsA1,bsA,1,0.0,1.0,
OG0009768,bsA1,bsA,1,106.54412799999955,0.0,
OG0014060,bsA1,bsA,1,1.99999976757681e-06,0.998871621274596,
OG0005370,bsA1,bsA,1,1.198142000000189,0.2736933490906803,
OG0006968,bsA1,bsA,1,131.95542399999977,0.0,
OG0009027,bsA1,bsA,1,0.0,1.0,
OG0008756,bsA1,bsA,1,15.106340000000273,0.00010162142436231925,
OG0010885,bsA1,bsA,1,0.0,1.0,
OG0011848,bsA1,bsA,1,1.999998858082108e-06,0.9988716215311596,
OG0009102,bsA1,bsA,1,0.07217999999920721,0.7881887513168891,
OG0010891,bsA1,bsA,1,0.0,1.0,
OG0005822,bsA1,bsA,1,0.0014400000000023283,0.9697296747880758,
OG0007697,bsA1,bsA,1,,,lnl1 < lnl0
