Orthogroup,Gene,Branch-Site (null/alt),LRT (BS),P-value (BS),Adj. P-value (BS),Site (null/alt),LRT (S),P-value (S),Adj. P-value (S),Signal
OG0007017,CHRNA6,bsA1/bsA,2.492,0.114,0.225,M1/M2,9.371,0.009,0.05,no_PS
OG0008345,,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0005398,MGAT2,bsA1/bsA,104.226,0,0,M1/M2,1.991,0.369,0.998,PS_fg
OG0009960,HUS1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0005488,RO60 TROVE2,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0011994,NME3,bsA1/bsA,18.169,0,0,M1/M2,0,1,1,PS_fg
OG0011428,RABAC1,bsA1/bsA,66.764,0,0,M1/M2,0.167,0.92,1,PS_fg
OG0011737,BMP15,bsA1/bsA,0,1,1,M1/M2,9.915,0.007,0.04,no_PS
OG0013112,USB1,bsA1/bsA,0,1,1,M1/M2,101.912,0,0,PS_bg
OG0012824,CUL5,bsA1/bsA,,,,M1/M2,0.544,0.762,1,poor_fit
OG0007678,ACOD1,bsA1/bsA,0,1,1,M1/M2,13.224,0.001,0.009,PS_bg
OG0014260,,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0008417,,bsA1/bsA,0,0.999,1,M1/M2,14.81,0.001,0.004,PS_bg
OG0009781,COPZ2,bsA1/bsA,190.526,0,0,M1/M2,3.982,0.137,0.47,PS_fg
OG0012396,HACD2,bsA1/bsA,0,1,1,M1/M2,4.659,0.097,0.361,no_PS
OG0011341,ACBD7,bsA1/bsA,0,1,1,M1/M2,0.405,0.817,1,no_PS
OG0008490,MON1A,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0006116,CAPN11,bsA1/bsA,3.277,0.07,0.144,M1/M2,13.17,0.001,0.009,PS_bg
OG0007514,CTR9,bsA1/bsA,,,,M1/M2,0.495,0.781,1,poor_fit
OG0006834,SMURF2,bsA1/bsA,0,1,1,M1/M2,62.564,0,0,PS_bg
OG0013805,GPAT2,bsA1/bsA,7.549,0.006,0.014,M1/M2,0,1,1,no_PS
OG0005438,OBSL1,bsA1/bsA,42.689,0,0,M1/M2,1.671,0.434,1,PS_fg
OG0009606,VPS37C,bsA1/bsA,0.41,0.522,0.894,M1/M2,3.923,0.141,0.481,no_PS
OG0012310,HDAC9,bsA1/bsA,96.326,0,0,M1/M2,13.569,0.001,0.008,PS_fg_bg
OG0009440,PPFIA2,bsA1/bsA,145.511,0,0,M1/M2,74.474,0,0,PS_fg_bg
OG0013931,AGK,bsA1/bsA,0.713,0.398,0.695,M1/M2,4.134,0.127,0.444,no_PS
OG0010354,ZFYVE16,bsA1/bsA,29.618,0,0,M1/M2,5.905,0.052,0.217,PS_fg
OG0007816,,bsA1/bsA,83.004,0,0,M1/M2,3.471,0.176,0.571,PS_fg
OG0009995,SYNC,bsA1/bsA,0,1,1,M1/M2,1.293,0.524,1,no_PS
OG0008511,CDC23,bsA1/bsA,,,,M1/M2,4.639,0.098,0.363,poor_fit
OG0007586,SH3BP1,bsA1/bsA,0,1,1,M1/M2,43.278,0,0,PS_bg
OG0010664,TEX52,bsA1/bsA,0.623,0.43,0.745,M1/M2,0,1,1,no_PS
OG0005342,PPP4R1,bsA1/bsA,20.18,0,0,M1/M2,0,1,1,PS_fg
OG0010015,MARCKSL1,bsA1/bsA,0,1,1,M1/M2,2.666,0.264,0.781,no_PS
OG0006994,FZR1,bsA1/bsA,0.02,0.888,1,M1/M2,0.002,0.999,1,no_PS
