Orthogroup,Gene,Model,Tree length,Lnl,Df,Kappa,Site class model,Proportion 0,Omega 0,Proportion 1,Omega 1
OG0007017,GLB1L2,M1,1.04247,-5183.190466,15,2.54089,NearlyNeutral,0.87623,0.05189,0.12377,1
OG0005250,RGS16,M1,0.67992,-1324.347433,15,3.85181,NearlyNeutral,0.86043,0.05971,0.13957,1
OG0005132,NCDN,M1,0.66751,-4994.111934,15,3.14654,NearlyNeutral,0.953,0.04981,0.047,1
OG0008345,HEMGN,M1,0.72029,-1303.031317,15,3.86681,NearlyNeutral,0.59549,0.19958,0.40451,1
OG0005398,KANSL2,M1,0.49267,-3356.643303,15,4.15518,NearlyNeutral,0.78051,0.021329999999999998,0.21949,1
OG0009960,SEC14L1,M1,0.3457,-4144.081112,15,3.78316,NearlyNeutral,0.95714,0.04098,0.04286,1
OG0005276,SMIM30,M1,0.51753,-403.341696,15,11.24072,NearlyNeutral,0.60753,0,0.39247,1
OG0005488,ZBTB33,M1,1.41079,-6076.617108,15,2.80535,NearlyNeutral,0.89961,0.05359,0.10039,1
OG0011994,PUM1,M1,0.35903,-6875.557374,15,3.44451,NearlyNeutral,0.97331,0.00337,0.02669,1
OG0011428,PLA2G4F,M1,0.61797,-5932.145816,15,2.6212,NearlyNeutral,0.79624,0.05647,0.20376,1
OG0011737,,M1,1.25806,-3684.997471,15,2.61827,NearlyNeutral,0.80008,0.03788,0.19992,1
OG0013112,,M1,0.35584,-1010.5993,15,2.24813,NearlyNeutral,0.70353,0.07676,0.29647,1
OG0012824,FHL3,M1,0.84278,-1938.022209,15,4.54835,NearlyNeutral,0.93005,0.03692,0.06995,1
OG0007678,DNAJC12,M1,0.68074,-1349.676919,15,2.64235,NearlyNeutral,0.88652,0.06733,0.11348,1
OG0008417,TMEM241,M1,0.70964,-2256.709648,15,2.00662,NearlyNeutral,0.54664,0,0.45336,1
OG0009781,WNT2B,M1,0.39193,-2230.579384,15,4.31751,NearlyNeutral,0.94342,0.02237,0.05658,1
OG0012396,ZCCHC8,M1,1.1602,-5858.157101,15,2.81767,NearlyNeutral,0.75478,0.06384,0.24522,1
OG0011341,PPARG,M1,0.29852,-2701.5776300000002,15,3.95386,NearlyNeutral,0.9227,0,0.0773,1
OG0006116,NOA1,M1,0.85922,-5821.946246,15,2.40979,NearlyNeutral,0.54427,0,0.45573,1
OG0007514,PLEKHA8,M1,0.51504,-3237.89673,15,2.97773,NearlyNeutral,0.72188,0.03059,0.27812,1
OG0006834,SLC25A39,M1,0.60481,-2532.483958,15,3.03422,NearlyNeutral,0.76946,0,0.23054,1
OG0013805,MOB4,M1,0.45596,-1464.678661,15,4.05604,NearlyNeutral,0.87031,0,0.12969,1
OG0005438,TUBD1,M1,0.94719,-3544.430816,15,3.24309,NearlyNeutral,0.9287,0.06469,0.0713,1
OG0009606,MPP3,M1,0.46417,-3365.223217,15,3.33234,NearlyNeutral,0.93648,0.024140000000000002,0.06352,1
OG0012310,CUNH19ORF25 C1H19ORF25,M1,0.6101,-821.947321,15,2.29384,NearlyNeutral,0.85395,0,0.14605,1
OG0009440,SLC3A2,M1,1.67901,-5574.980445,15,2.16993,NearlyNeutral,0.81268,0.06833,0.18732,1
OG0013931,UBE3C,M1,0.34314,-6115.916436,15,3.51705,NearlyNeutral,0.88256,0,0.11744,1
OG0010354,FGF2,M1,0.75447,-1576.225102,15,2.20058,NearlyNeutral,0.73425,0,0.26575,1
OG0007816,INTS14,M1,0.82502,-3628.58478,15,3.34075,NearlyNeutral,0.99594,0.01845,0.00406,1
OG0009995,SOX2,M1,0.55801,-1837.283415,15,1.99909,NearlyNeutral,0.95558,0.01379,0.04442,1
OG0007586,SRI,M1,0.40537,-1156.199537,15,2.9968,NearlyNeutral,0.91763,0.03813,0.08237,1
OG0010664,MALL,M1,0.77474,-1209.875911,15,2.97924,NearlyNeutral,0.72165,0.01967,0.27835,1
OG0005342,WDR53,M1,0.55292,-2327.968158,15,4.98571,NearlyNeutral,0.71508,0.07185,0.28492,1
OG0010015,GYPC,M1,0.35668,-550.200918,15,2.91317,NearlyNeutral,0.73601,0,0.26399,1
OG0006994,CLCN3,M1,0.36868,-5020.769929,15,3.88662,NearlyNeutral,0.92151,0,0.07849,1
OG0011051,FILIP1,M1,0.49418,-7815.890826,15,2.55788,NearlyNeutral,0.90361,0.06967,0.09639,1
OG0009117,MED31,M1,0.41691,-783.533423,15,2.54687,NearlyNeutral,0.96793,0.0055,0.03207,1
OG0010150,IRF4,M1,0.68195,-3359.589903,15,2.45695,NearlyNeutral,0.84831,0.04295,0.15169,1
OG0009850,GSK3A,M1,0.44979,-2773.188624,15,2.91445,NearlyNeutral,0.93506,0,0.06494,1
OG0012533,COPS7B,M1,0.85271,-1825.382606,15,4.12924,NearlyNeutral,0.8815,0.02895,0.1185,1
