# BUSCO version is: 5.3.2 
# The lineage dataset is: tetrapoda_odb10 (Creation date: 2021-02-19, number of genomes: 38, number of BUSCOs: 5310)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
66at32523	Complete	HiC_scaffold_1	195554898	195864239	-	54421.0	29066	https://www.orthodb.org/v10?query=66at32523	titin
136at32523	Complete	HiC_scaffold_2	308536565	308820250	-	8394.3	5374	https://www.orthodb.org/v10?query=136at32523	G-protein coupled receptor 98
223at32523	Complete	HiC_scaffold_1	294139493	294267470	-	6754.8	4232	https://www.orthodb.org/v10?query=223at32523	midasin
419at32523	Complete	HiC_scaffold_10	298103	588220	+	6341.1	4231	https://www.orthodb.org/v10?query=419at32523	hydrocephalus-inducing protein homolog
608at32523	Complete	HiC_scaffold_6	128818062	128956499	+	7445.0	3741	https://www.orthodb.org/v10?query=608at32523	E3 ubiquitin-protein ligase MYCBP2 isoform X1
663at32523	Complete	HiC_scaffold_7	48020491	48152628	-	7793.5	4089	https://www.orthodb.org/v10?query=663at32523	uncharacterized protein KIAA1109 homolog
675at32523	Complete	HiC_scaffold_6	24316047	24343344	-	7672.8	3901	https://www.orthodb.org/v10?query=675at32523	sacsin
738at32523	Complete	HiC_scaffold_6	99582240	99701449	+	8165.9	4138	https://www.orthodb.org/v10?query=738at32523	E3 ubiquitin-protein ligase HERC2
771at32523	Complete	HiC_scaffold_17	1351432	1425699	-	6696.3	3726	https://www.orthodb.org/v10?query=771at32523	Vacuolar protein sorting 13 homolog D
953at32523	Complete	HiC_scaffold_12	587365	629404	+	7840.4	4120	https://www.orthodb.org/v10?query=953at32523	probable E3 ubiquitin-protein ligase HERC1
1000at32523	Complete	HiC_scaffold_14	11899264	11963926	-	7301.5	3901	https://www.orthodb.org/v10?query=1000at32523	dynein heavy chain 10, axonemal
1093at32523	Complete	HiC_scaffold_14	13241477	13287575	-	7251.2	3722	https://www.orthodb.org/v10?query=1093at32523	probable E3 ubiquitin-protein ligase HECTD4
1174at32523	Missing
1240at32523	Complete	HiC_scaffold_13	14256520	14363143	+	7288.5	3441	https://www.orthodb.org/v10?query=1240at32523	transformation/transcription domain-associated protein
1247at32523	Complete	HiC_scaffold_4	188958839	189379192	+	6214.9	2997	https://www.orthodb.org/v10?query=1247at32523	reelin
1469at32523	Complete	HiC_scaffold_1	401945232	402089097	-	5654.4	2852	https://www.orthodb.org/v10?query=1469at32523	ubiquitin carboxyl-terminal hydrolase 34
1528at32523	Complete	HiC_scaffold_13	12271744	12329226	+	6455.8	3128	https://www.orthodb.org/v10?query=1528at32523	serine/threonine-protein kinase SMG1
1696at32523	Complete	HiC_scaffold_1	252761318	252819070	+	5276.2	4044	https://www.orthodb.org/v10?query=1696at32523	apolipoprotein B-100
1855at32523	Complete	HiC_scaffold_1	348982873	349067134	-	5502.1	3132	https://www.orthodb.org/v10?query=1855at32523	lysosomal-trafficking regulator
1959at32523	Complete	HiC_scaffold_8	267350	304677	+	4865.4	2902	https://www.orthodb.org/v10?query=1959at32523	Histone-lysine N-methyltransferase
1978at32523	Complete	HiC_scaffold_3	196779766	196858416	+	5581.6	3390	https://www.orthodb.org/v10?query=1978at32523	DNA-dependent protein kinase catalytic subunit
2109at32523	Complete	HiC_scaffold_4	164837757	164965109	-	2460.5	1967	https://www.orthodb.org/v10?query=2109at32523	cilia- and flagella-associated protein 54
2312at32523	Missing
2516at32523	Complete	HiC_scaffold_3	73218680	73295117	-	4809.2	2841	https://www.orthodb.org/v10?query=2516at32523	protein SZT2
2599at32523	Complete	HiC_scaffold_1	426958409	427164615	+	4499.0	2290	https://www.orthodb.org/v10?query=2599at32523	neurofibromin
2694at32523	Complete	HiC_scaffold_2	103008322	103075746	-	2491.4	1847	https://www.orthodb.org/v10?query=2694at32523	Nuclear receptor binding SET domain protein 1
2762at32523	Complete	HiC_scaffold_3	136471229	136518920	+	3082.7	2166	https://www.orthodb.org/v10?query=2762at32523	helicase with zinc finger domain 2
2833at32523	Complete	HiC_scaffold_6	107322485	107364154	+	4237.3	2540	https://www.orthodb.org/v10?query=2833at32523	E3 SUMO-protein ligase RanBP2
3059at32523	Complete	HiC_scaffold_1	223493310	223591578	-	3801.2	2112	https://www.orthodb.org/v10?query=3059at32523	fibronectin
3129at32523	Complete	HiC_scaffold_7	67294331	67398820	-	4293.0	2556	https://www.orthodb.org/v10?query=3129at32523	huntingtin
3264at32523	Complete	HiC_scaffold_3	230419044	230464902	-	4452.1	2474	https://www.orthodb.org/v10?query=3264at32523	desmoplakin isoform X1
3280at32523	Complete	HiC_scaffold_14	10178260	10235296	-	4224.2	2325	https://www.orthodb.org/v10?query=3280at32523	translational activator GCN1
3318at32523	Complete	HiC_scaffold_2	334324035	334415824	-	4153.4	2313	https://www.orthodb.org/v10?query=3318at32523	nipped-B-like protein
3344at32523	Complete	HiC_scaffold_1	439151525	439167723	+	4837.1	2197	https://www.orthodb.org/v10?query=3344at32523	pre-mRNA-processing-splicing factor 8
3357at32523	Complete	HiC_scaffold_17	5867890	5931267	+	4324.2	2235	https://www.orthodb.org/v10?query=3357at32523	serine/threonine-protein kinase mTOR
3491at32523	Complete	HiC_scaffold_3	191434591	191580800	-	4699.1	2469	https://www.orthodb.org/v10?query=3491at32523	chromodomain-helicase-DNA-binding protein 7
3576at32523	Complete	HiC_scaffold_1	144973042	145054296	-	3420.7	2351	https://www.orthodb.org/v10?query=3576at32523	SPEG complex locus
3627at32523	Complete	HiC_scaffold_12	20877393	20919807	+	2784.3	1886	https://www.orthodb.org/v10?query=3627at32523	spatacsin
3704at32523	Complete	HiC_scaffold_2	347911139	348011891	+	3595.7	2049	https://www.orthodb.org/v10?query=3704at32523	ectopic P granules protein 5 homolog
3725at32523	Complete	HiC_scaffold_1	86410537	86463560	-	2862.6	2033	https://www.orthodb.org/v10?query=3725at32523	Zinc finger FYVE-type containing 26
3766at32523	Complete	HiC_scaffold_16	4425435	4458912	+	3200.2	1807	https://www.orthodb.org/v10?query=3766at32523	ATP-binding cassette sub-family A member 2
3768at32523	Complete	HiC_scaffold_3	61539553	61619623	+	4487.0	2184	https://www.orthodb.org/v10?query=3768at32523	ubiquitin carboxyl-terminal hydrolase 24
3982at32523	Complete	HiC_scaffold_10	20154370	20192395	+	4386.0	2316	https://www.orthodb.org/v10?query=3982at32523	chromodomain-helicase-DNA-binding protein 9
4025at32523	Complete	HiC_scaffold_8	4219178	4286003	+	3179.5	1773	https://www.orthodb.org/v10?query=4025at32523	sortilin-related receptor
4058at32523	Complete	HiC_scaffold_6	21335076	21401152	+	4244.6	2693	https://www.orthodb.org/v10?query=4058at32523	serine-protein kinase ATM
4126at32523	Complete	HiC_scaffold_4	187227423	187333391	+	3221.7	2062	https://www.orthodb.org/v10?query=4126at32523	leucine-rich repeat serine/threonine-protein kinase 2
4177at32523	Complete	HiC_scaffold_17	6337198	6384858	-	3807.5	2655	https://www.orthodb.org/v10?query=4177at32523	Spen family transcriptional repressor
4188at32523	Complete	HiC_scaffold_3	173413896	173493517	+	5630.4	2523	https://www.orthodb.org/v10?query=4188at32523	Ubiquitin protein ligase E3 component n-recognin 5
4202at32523	Complete	HiC_scaffold_1	67971046	68034328	+	4925.7	2264	https://www.orthodb.org/v10?query=4202at32523	HECT domain E3 ubiquitin protein ligase 1
4307at32523	Complete	HiC_scaffold_14	11842041	11882612	-	3533.0	1906	https://www.orthodb.org/v10?query=4307at32523	DNA polymerase epsilon catalytic subunit A
4408at32523	Complete	HiC_scaffold_5	110533037	110655699	-	4119.4	2031	https://www.orthodb.org/v10?query=4408at32523	dnaJ homolog subfamily C member 13
4413at32523	Complete	HiC_scaffold_2	313079406	313176221	-	2023.5	2782	https://www.orthodb.org/v10?query=4413at32523	Versican
4513at32523	Complete	HiC_scaffold_1	290622284	290671882	+	4162.2	2055	https://www.orthodb.org/v10?query=4513at32523	Dopey family member 1
4841at32523	Complete	HiC_scaffold_2	347215097	347469330	+	2986.1	1897	https://www.orthodb.org/v10?query=4841at32523	lipoxygenase homology domain-containing protein 1
4862at32523	Complete	HiC_scaffold_4	177001460	177085423	+	3181.2	1864	https://www.orthodb.org/v10?query=4862at32523	Protein tyrosine phosphatase, receptor type B
4898at32523	Complete	HiC_scaffold_1	417178271	417253722	+	4032.2	2303	https://www.orthodb.org/v10?query=4898at32523	zinc finger ZZ-type and EF-hand domain containing 1 
4917at32523	Complete	HiC_scaffold_4	83744741	83802287	-	3909.4	2190	https://www.orthodb.org/v10?query=4917at32523	serine/threonine-protein kinase ATR
5204at32523	Missing
5220at32523	Complete	HiC_scaffold_6	64368183	64425161	-	2373.2	1779	https://www.orthodb.org/v10?query=5220at32523	nucleolar pre-ribosomal-associated protein 1
5343at32523	Complete	HiC_scaffold_4	190940342	191165732	-	3507.7	2423	https://www.orthodb.org/v10?query=5343at32523	von Willebrand factor
5527at32523	Complete	HiC_scaffold_15	9018823	9077334	+	3785.1	2325	https://www.orthodb.org/v10?query=5527at32523	ASH1 like histone lysine methyltransferase
5875at32523	Complete	HiC_scaffold_1	325209751	325282183	+	3579.5	1869	https://www.orthodb.org/v10?query=5875at32523	ARFGEF family member 3
6055at32523	Complete	HiC_scaffold_16	9569442	9632653	+	2100.5	1702	https://www.orthodb.org/v10?query=6055at32523	protein transport protein Sec16A isoform X1
6290at32523	Complete	HiC_scaffold_4	162679561	162721044	+	3295.9	1765	https://www.orthodb.org/v10?query=6290at32523	Nucleoporin 205
6412at32523	Complete	HiC_scaffold_4	168051182	168117523	+	3084.1	2132	https://www.orthodb.org/v10?query=6412at32523	centrosomal protein 290 
6438at32523	Complete	HiC_scaffold_2	170573995	170679951	+	3844.5	2511	https://www.orthodb.org/v10?query=6438at32523	nucleosome-remodeling factor subunit BPTF
6451at32523	Complete	HiC_scaffold_4	215581369	215732830	-	4584.2	2827	https://www.orthodb.org/v10?query=6451at32523	protein piccolo
6566at32523	Complete	HiC_scaffold_3	99298784	99366710	+	3952.1	2101	https://www.orthodb.org/v10?query=6566at32523	chromodomain-helicase-DNA-binding protein 6
6641at32523	Complete	HiC_scaffold_3	205290999	205381662	+	2076.6	1562	https://www.orthodb.org/v10?query=6641at32523	structural maintenance of chromosomes flexible hinge domain-containing protein 1
6711at32523	Complete	HiC_scaffold_1	349357942	349399316	-	2625.9	1817	https://www.orthodb.org/v10?query=6711at32523	HEAT repeat-containing protein 1
6878at32523	Complete	HiC_scaffold_1	164735089	164779194	-	2745.3	1549	https://www.orthodb.org/v10?query=6878at32523	lactase-phlorizin hydrolase
6879at32523	Complete	HiC_scaffold_1	219235405	219362086	+	3593.9	1728	https://www.orthodb.org/v10?query=6879at32523	Phosphoinositide kinase, FYVE-type zinc finger containing
6895at32523	Complete	HiC_scaffold_4	162733026	162805455	-	4037.9	2422	https://www.orthodb.org/v10?query=6895at32523	small subunit processome component 20 homolog
6923at32523	Complete	HiC_scaffold_1	228799761	228808077	-	2005.0	1638	https://www.orthodb.org/v10?query=6923at32523	tudor domain-containing protein 6
7001at32523	Complete	HiC_scaffold_6	67026217	67123393	+	1788.8	1500	https://www.orthodb.org/v10?query=7001at32523	Tetratricopeptide repeat domain 3
7033at32523	Complete	HiC_scaffold_6	13292886	13323587	+	482.4	862	https://www.orthodb.org/v10?query=7033at32523	centrosomal protein 295 
7066at32523	Complete	HiC_scaffold_4	83152456	83241472	-	3589.2	1895	https://www.orthodb.org/v10?query=7066at32523	Thyroid hormone receptor interactor 12
7335at32523	Complete	HiC_scaffold_13	17439655	17473599	+	3300.3	1817	https://www.orthodb.org/v10?query=7335at32523	integrator complex subunit 1
7416at32523	Complete	HiC_scaffold_1	258190667	258336772	+	3394.6	1919	https://www.orthodb.org/v10?query=7416at32523	neuroblastoma-amplified sequence
7454at32523	Complete	HiC_scaffold_16	2807856	2833172	-	2404.7	1663	https://www.orthodb.org/v10?query=7454at32523	protein PRRC2B isoform X1
7640at32523	Complete	HiC_scaffold_12	21638814	21676492	+	2449.8	1982	https://www.orthodb.org/v10?query=7640at32523	microtubule-associated protein 1A
7650at32523	Complete	HiC_scaffold_3	214650826	214754789	-	2696.7	1806	https://www.orthodb.org/v10?query=7650at32523	rotatin
7668at32523	Complete	HiC_scaffold_1	47602140	47643205	+	2981.9	1420	https://www.orthodb.org/v10?query=7668at32523	Dicer 1, ribonuclease III
7708at32523	Complete	HiC_scaffold_13	15749240	15812621	+	2659.6	2121	https://www.orthodb.org/v10?query=7708at32523	trinucleotide repeat-containing gene 18 protein
7794at32523	Complete	HiC_scaffold_4	208781946	208891320	-	2707.0	1869	https://www.orthodb.org/v10?query=7794at32523	Protein tyrosine phosphatase, receptor type Z1
7966at32523	Complete	HiC_scaffold_1	89028999	89076652	+	2990.3	1515	https://www.orthodb.org/v10?query=7966at32523	low-density lipoprotein receptor-related protein 4
8095at32523	Complete	HiC_scaffold_14	12845549	12878244	+	2307.1	1869	https://www.orthodb.org/v10?query=8095at32523	kinetochore-associated protein 1
8118at32523	Complete	HiC_scaffold_3	14758888	14821863	-	3345.6	2067	https://www.orthodb.org/v10?query=8118at32523	nucleoprotein TPR
8142at32523	Complete	HiC_scaffold_7	70151406	70229286	-	3037.3	1517	https://www.orthodb.org/v10?query=8142at32523	NACHT and WD repeat domain-containing protein 2
8240at32523	Complete	HiC_scaffold_2	170093777	170211847	-	2806.2	1581	https://www.orthodb.org/v10?query=8240at32523	Helicase with zinc finger
8316at32523	Complete	HiC_scaffold_2	98792691	98823014	-	3519.1	2319	https://www.orthodb.org/v10?query=8316at32523	protein bassoon
8402at32523	Complete	HiC_scaffold_1	89116948	89167998	+	3329.5	1703	https://www.orthodb.org/v10?query=8402at32523	cytoskeleton-associated protein 5
8417at32523	Complete	HiC_scaffold_3	5173406	5249831	+	3297.5	2148	https://www.orthodb.org/v10?query=8417at32523	protein PRRC2C isoform X1
8558at32523	Complete	HiC_scaffold_4	54724911	54792186	+	2723.3	1571	https://www.orthodb.org/v10?query=8558at32523	nebulin-related-anchoring protein
8575at32523	Complete	HiC_scaffold_1	410785746	410815436	-	2837.5	1549	https://www.orthodb.org/v10?query=8575at32523	Intraflagellar transport 172
8792at32523	Complete	HiC_scaffold_1	189598397	189700588	+	2757.8	1457	https://www.orthodb.org/v10?query=8792at32523	E3 ubiquitin-protein ligase UBR3
9015at32523	Complete	HiC_scaffold_5	12632208	12690101	+	1661.9	1293	https://www.orthodb.org/v10?query=9015at32523	deleted in lung and esophageal cancer protein 1
9028at32523	Complete	HiC_scaffold_14	10362834	10461394	+	3027.9	1740	https://www.orthodb.org/v10?query=9028at32523	citron Rho-interacting kinase isoform X1
9072at32523	Complete	HiC_scaffold_1	389249539	389316369	+	3134.7	1652	https://www.orthodb.org/v10?query=9072at32523	anaphase-promoting complex subunit 1
9283at32523	Complete	HiC_scaffold_4	34700374	34749560	-	3070.7	1573	https://www.orthodb.org/v10?query=9283at32523	B-TFIID TATA-box binding protein associated factor 1
9339at32523	Complete	HiC_scaffold_1	396749026	396846464	-	3174.1	1565	https://www.orthodb.org/v10?query=9339at32523	proteasome activator complex subunit 4
9406at32523	Complete	HiC_scaffold_1	430615789	430833910	-	2725.7	1349	https://www.orthodb.org/v10?query=9406at32523	ubiquitin carboxyl-terminal hydrolase 32
9751at32523	Complete	HiC_scaffold_6	63166313	63197007	-	2185.4	1440	https://www.orthodb.org/v10?query=9751at32523	E3 ubiquitin-protein ligase listerin
10041at32523	Complete	HiC_scaffold_6	115487811	115703156	-	3344.7	1571	https://www.orthodb.org/v10?query=10041at32523	sodium leak channel non-selective protein
10130at32523	Complete	HiC_scaffold_3	156218743	156386661	-	2966.0	2269	https://www.orthodb.org/v10?query=10130at32523	thyroglobulin
10244at32523	Complete	HiC_scaffold_1	23567110	23614649	+	1731.8	1354	https://www.orthodb.org/v10?query=10244at32523	Fanconi anemia group M protein
10325at32523	Complete	HiC_scaffold_3	197678257	197807673	-	2736.7	1822	https://www.orthodb.org/v10?query=10325at32523	putative Polycomb group protein ASXL3
10341at32523	Complete	HiC_scaffold_1	309018346	309165548	-	2515.5	1604	https://www.orthodb.org/v10?query=10341at32523	Laminin subunit alpha 4
10430at32523	Complete	HiC_scaffold_5	116876975	116920367	+	2401.9	1383	https://www.orthodb.org/v10?query=10430at32523	DNA-directed RNA polymerase I subunit RPA1
10459at32523	Complete	HiC_scaffold_7	17246589	17387523	+	3016.6	1926	https://www.orthodb.org/v10?query=10459at32523	tyrosine-protein phosphatase non-receptor type 13
10578at32523	Complete	HiC_scaffold_1	226456933	226511353	-	2110.7	1569	https://www.orthodb.org/v10?query=10578at32523	Minichromosome maintenance complex component 3 associated protein
10583at32523	Complete	HiC_scaffold_16	6649092	6711436	-	926.6	1069	https://www.orthodb.org/v10?query=10583at32523	CDK5 regulatory subunit-associated protein 2
10722at32523	Complete	HiC_scaffold_2	159953241	160024510	-	2262.4	1459	https://www.orthodb.org/v10?query=10722at32523	Integrin beta
10881at32523	Complete	HiC_scaffold_1	225739945	225830678	-	2876.7	2140	https://www.orthodb.org/v10?query=10881at32523	collagen alpha-3(VI) chain
10949at32523	Complete	HiC_scaffold_4	171775267	171886068	-	3245.9	2260	https://www.orthodb.org/v10?query=10949at32523	phosphatidylinositol phosphatase PTPRQ
11031at32523	Complete	HiC_scaffold_14	1279803	1342244	+	2389.1	1307	https://www.orthodb.org/v10?query=11031at32523	DEP domain-containing protein 5
11088at32523	Complete	HiC_scaffold_11	23801831	23820148	+	2974.3	1587	https://www.orthodb.org/v10?query=11088at32523	Transcription initiation factor TFIID subunit
11195at32523	Complete	HiC_scaffold_1	397589700	397684526	-	2960.7	1622	https://www.orthodb.org/v10?query=11195at32523	Coiled-coil domain containing 88A
11278at32523	Complete	HiC_scaffold_7	28416192	28435917	+	2107.5	1628	https://www.orthodb.org/v10?query=11278at32523	Tet methylcytosine dioxygenase 2
11302at32523	Complete	HiC_scaffold_2	248524480	248595242	+	3037.7	1626	https://www.orthodb.org/v10?query=11302at32523	proteasome-associated protein ECM29 homolog
11337at32523	Complete	HiC_scaffold_6	141779036	141891261	-	2793.6	1552	https://www.orthodb.org/v10?query=11337at32523	von Willebrand factor A domain-containing protein 8
11446at32523	Complete	HiC_scaffold_12	21612608	21635524	-	1398.4	1263	https://www.orthodb.org/v10?query=11446at32523	tumor suppressor p53-binding protein 1
