# BUSCO version is: 5.3.2 
# The lineage dataset is: tetrapoda_odb10 (Creation date: 2021-02-19, number of genomes: 38, number of BUSCOs: 5310)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
66at32523	Complete	HiC_scaffold_1	243271538	243583500	+	54360.2	28935	https://www.orthodb.org/v10?query=66at32523	titin
136at32523	Complete	HiC_scaffold_2	311374903	311682298	-	8270.1	5344	https://www.orthodb.org/v10?query=136at32523	G-protein coupled receptor 98
223at32523	Complete	HiC_scaffold_1	143845987	143969231	+	6750.0	4209	https://www.orthodb.org/v10?query=223at32523	midasin
419at32523	Complete	HiC_scaffold_11	24636621	24941358	-	6333.5	4224	https://www.orthodb.org/v10?query=419at32523	hydrocephalus-inducing protein homolog
608at32523	Complete	HiC_scaffold_6	16076984	16215100	-	7693.6	3830	https://www.orthodb.org/v10?query=608at32523	E3 ubiquitin-protein ligase MYCBP2 isoform X1
663at32523	Complete	HiC_scaffold_7	48142880	48267785	-	7798.6	4089	https://www.orthodb.org/v10?query=663at32523	uncharacterized protein KIAA1109 homolog
675at32523	Complete	HiC_scaffold_6	121166658	121196711	+	7679.5	3901	https://www.orthodb.org/v10?query=675at32523	sacsin
738at32523	Complete	HiC_scaffold_6	45496466	45624020	-	8308.1	4142	https://www.orthodb.org/v10?query=738at32523	E3 ubiquitin-protein ligase HERC2
771at32523	Complete	HiC_scaffold_16	1340314	1418169	-	6823.9	3727	https://www.orthodb.org/v10?query=771at32523	Vacuolar protein sorting 13 homolog D
953at32523	Complete	HiC_scaffold_13	603962	645921	+	7824.9	4120	https://www.orthodb.org/v10?query=953at32523	probable E3 ubiquitin-protein ligase HERC1
1000at32523	Complete	HiC_scaffold_10	13039003	13103278	-	7530.7	3947	https://www.orthodb.org/v10?query=1000at32523	dynein heavy chain 10, axonemal
1093at32523	Complete	HiC_scaffold_10	14400632	14447074	-	7219.2	3671	https://www.orthodb.org/v10?query=1093at32523	probable E3 ubiquitin-protein ligase HECTD4
1174at32523	Missing
1240at32523	Complete	HiC_scaffold_14	5039732	5149010	-	7215.9	3443	https://www.orthodb.org/v10?query=1240at32523	transformation/transcription domain-associated protein
1247at32523	Complete	HiC_scaffold_4	30498135	30932034	-	6192.9	2997	https://www.orthodb.org/v10?query=1247at32523	reelin
1469at32523	Complete	HiC_scaffold_1	36331124	36480519	+	5662.9	2851	https://www.orthodb.org/v10?query=1469at32523	ubiquitin carboxyl-terminal hydrolase 34
1528at32523	Complete	HiC_scaffold_14	7077580	7135457	-	6229.2	3083	https://www.orthodb.org/v10?query=1528at32523	serine/threonine-protein kinase SMG1
1696at32523	Complete	HiC_scaffold_1	185737689	185795504	-	5275.4	4044	https://www.orthodb.org/v10?query=1696at32523	apolipoprotein B-100
1855at32523	Complete	HiC_scaffold_1	89450808	89531491	+	5507.5	3132	https://www.orthodb.org/v10?query=1855at32523	lysosomal-trafficking regulator
1959at32523	Complete	HiC_scaffold_8	29880984	29915515	-	4871.6	2900	https://www.orthodb.org/v10?query=1959at32523	Histone-lysine N-methyltransferase
1978at32523	Complete	HiC_scaffold_3	56879069	56957896	-	5519.2	3382	https://www.orthodb.org/v10?query=1978at32523	DNA-dependent protein kinase catalytic subunit
2109at32523	Complete	HiC_scaffold_4	54686749	54816272	+	2450.6	1996	https://www.orthodb.org/v10?query=2109at32523	cilia- and flagella-associated protein 54
2312at32523	Missing
2516at32523	Complete	HiC_scaffold_3	181172653	181251568	+	4809.4	2841	https://www.orthodb.org/v10?query=2516at32523	protein SZT2
2599at32523	Complete	HiC_scaffold_1	11910311	12109347	-	4588.5	2339	https://www.orthodb.org/v10?query=2599at32523	neurofibromin
2694at32523	Complete	HiC_scaffold_2	105170384	105234222	-	2492.3	1851	https://www.orthodb.org/v10?query=2694at32523	Nuclear receptor binding SET domain protein 1
2762at32523	Complete	HiC_scaffold_3	117692744	117745306	-	3083.1	2166	https://www.orthodb.org/v10?query=2762at32523	helicase with zinc finger domain 2
2833at32523	Complete	HiC_scaffold_6	37808679	37850368	-	4238.2	2528	https://www.orthodb.org/v10?query=2833at32523	E3 SUMO-protein ligase RanBP2
3059at32523	Complete	HiC_scaffold_1	215486970	215590916	+	3801.5	2108	https://www.orthodb.org/v10?query=3059at32523	fibronectin
3129at32523	Complete	HiC_scaffold_7	67467974	67574237	-	4154.1	2498	https://www.orthodb.org/v10?query=3129at32523	huntingtin
3264at32523	Complete	HiC_scaffold_3	23024082	23072239	+	4365.8	2474	https://www.orthodb.org/v10?query=3264at32523	desmoplakin isoform X1
3280at32523	Complete	HiC_scaffold_10	11437084	11494557	-	3862.8	2251	https://www.orthodb.org/v10?query=3280at32523	translational activator GCN1
3318at32523	Complete	HiC_scaffold_2	336961530	337053456	-	4351.1	2431	https://www.orthodb.org/v10?query=3318at32523	nipped-B-like protein
3344at32523	Complete	HiC_scaffold_1	175119	191307	-	4741.7	2132	https://www.orthodb.org/v10?query=3344at32523	pre-mRNA-processing-splicing factor 8
3357at32523	Complete	HiC_scaffold_16	5860210	5922020	+	4290.1	2175	https://www.orthodb.org/v10?query=3357at32523	serine/threonine-protein kinase mTOR
3491at32523	Complete	HiC_scaffold_3	62249265	62392673	+	4737.8	2484	https://www.orthodb.org/v10?query=3491at32523	chromodomain-helicase-DNA-binding protein 7
3576at32523	Complete	HiC_scaffold_1	294415424	294496977	+	3417.9	2342	https://www.orthodb.org/v10?query=3576at32523	SPEG complex locus
3627at32523	Complete	HiC_scaffold_13	19675684	19719734	-	2785.4	1903	https://www.orthodb.org/v10?query=3627at32523	spatacsin
3704at32523	Complete	HiC_scaffold_2	350406431	350500911	+	3489.2	2049	https://www.orthodb.org/v10?query=3704at32523	ectopic P granules protein 5 homolog
3725at32523	Complete	HiC_scaffold_1	353413573	353463076	+	2865.7	2034	https://www.orthodb.org/v10?query=3725at32523	Zinc finger FYVE-type containing 26
3766at32523	Complete	HiC_scaffold_10	19706863	19740301	+	3288.9	1761	https://www.orthodb.org/v10?query=3766at32523	ATP-binding cassette sub-family A member 2
3768at32523	Complete	HiC_scaffold_3	192906466	192986435	-	4389.5	2184	https://www.orthodb.org/v10?query=3768at32523	ubiquitin carboxyl-terminal hydrolase 24
3982at32523	Complete	HiC_scaffold_11	4955568	4993621	-	4410.5	2316	https://www.orthodb.org/v10?query=3982at32523	chromodomain-helicase-DNA-binding protein 9
4025at32523	Complete	HiC_scaffold_8	25859386	25926522	-	3322.6	1813	https://www.orthodb.org/v10?query=4025at32523	sortilin-related receptor
4058at32523	Complete	HiC_scaffold_6	124171097	124230173	-	4260.8	2666	https://www.orthodb.org/v10?query=4058at32523	serine-protein kinase ATM
4126at32523	Complete	HiC_scaffold_4	32570164	32675289	-	3364.8	2111	https://www.orthodb.org/v10?query=4126at32523	leucine-rich repeat serine/threonine-protein kinase 2
4177at32523	Complete	HiC_scaffold_16	6331317	6379044	-	3803.8	2654	https://www.orthodb.org/v10?query=4177at32523	Spen family transcriptional repressor
4188at32523	Complete	HiC_scaffold_3	80349194	80431571	-	5629.4	2523	https://www.orthodb.org/v10?query=4188at32523	Ubiquitin protein ligase E3 component n-recognin 5
4202at32523	Complete	HiC_scaffold_1	371852248	371915502	-	4924.0	2260	https://www.orthodb.org/v10?query=4202at32523	HECT domain E3 ubiquitin protein ligase 1
4307at32523	Complete	HiC_scaffold_10	12981961	13023133	-	3315.0	1737	https://www.orthodb.org/v10?query=4307at32523	DNA polymerase epsilon catalytic subunit A
4408at32523	Complete	HiC_scaffold_5	71134483	71252292	+	4119.9	2031	https://www.orthodb.org/v10?query=4408at32523	dnaJ homolog subfamily C member 13
4413at32523	Complete	HiC_scaffold_2	316041316	316138074	-	2019.9	2806	https://www.orthodb.org/v10?query=4413at32523	Versican
4513at32523	Complete	HiC_scaffold_1	147502852	147554724	-	4171.5	2055	https://www.orthodb.org/v10?query=4513at32523	Dopey family member 1
4841at32523	Complete	HiC_scaffold_2	349725728	349983298	+	2984.8	1896	https://www.orthodb.org/v10?query=4841at32523	lipoxygenase homology domain-containing protein 1
4862at32523	Complete	HiC_scaffold_4	42681685	42765088	-	3092.8	1863	https://www.orthodb.org/v10?query=4862at32523	Protein tyrosine phosphatase, receptor type B
4898at32523	Complete	HiC_scaffold_1	21476354	21544682	-	4037.6	2303	https://www.orthodb.org/v10?query=4898at32523	zinc finger ZZ-type and EF-hand domain containing 1 
4917at32523	Complete	HiC_scaffold_4	135920721	135976680	+	3917.8	2178	https://www.orthodb.org/v10?query=4917at32523	serine/threonine-protein kinase ATR
5204at32523	Missing
5220at32523	Complete	HiC_scaffold_6	81006880	81063713	+	2365.1	1779	https://www.orthodb.org/v10?query=5220at32523	nucleolar pre-ribosomal-associated protein 1
5343at32523	Complete	HiC_scaffold_4	28727302	28951103	+	3497.0	2423	https://www.orthodb.org/v10?query=5343at32523	von Willebrand factor
5527at32523	Complete	HiC_scaffold_15	9304259	9375612	+	3800.1	2323	https://www.orthodb.org/v10?query=5527at32523	ASH1 like histone lysine methyltransferase
5875at32523	Complete	HiC_scaffold_1	112861103	112941381	-	3579.6	1869	https://www.orthodb.org/v10?query=5875at32523	ARFGEF family member 3
6055at32523	Complete	HiC_scaffold_10	24840973	24903105	+	2327.2	1699	https://www.orthodb.org/v10?query=6055at32523	protein transport protein Sec16A isoform X1
6290at32523	Complete	HiC_scaffold_4	56967288	57008802	-	3295.7	1734	https://www.orthodb.org/v10?query=6290at32523	Nucleoporin 205
