Orthogroups,Gene,Model,AIC-c,Lnl,Estimated parameters,Proportion reference 0,Omega Reference 0,Omega Test 0,Proportion reference 1,Omega Reference 1,Omega Test 1,Proportion reference 2,Omega Reference 2,Omega Test 2
OG0005292,LIN28B,RELAX alternative,3800.287007389864,-1860.697279438639,39,1.280970379894619,0,0,96.8042439796451,0.008328445335836562,0.1230538182315759,1.914785640460282,226.7759664220429,10.73360146235353
OG0005293,BVES,RELAX alternative,5971.250094312764,-2944.259907207273,41,81.81519404737338,0.03798273964272299,0.002599629789587716,16.026619088490772,1,1,2.158186864135843,50.22922015370234,1246.417440259196
OG0005294,PREP,RELAX alternative,8995.407483543742,-4457.525267509166,40,89.12567963053395,0,0,10.74400710122635,1,1,0.1303132682397026,18.79870411823767,9602.977743018895
OG0005295,PRDM1,RELAX alternative,10152.33759089235,-5036.004713405155,40,69.4965715684696,0.05031140357138431,0.01218372530007129,30.503428431530388,0.537660319166814,0.4005621615272297,0,1.621194814666807,2.038797350029187
OG0005296,ATG5,RELAX alternative,3179.184614668815,-1550.151006061423,39,83.80089337091218,0.08355591072419542,1.101775048160797e-45,16.19910662908782,0.2166528026131948,1.989244588755352e-28,0,12.94712191965317,2410556632684072e31
OG0005297,CRYBG1,RELAX alternative,28626.32181025206,-14272.09110657713,41,51.87024561001539,1.35845974166714e-5,5.795895028885782e-10,48.04283139927699,1,1,0.08692299070762444,121.9385222572458,9104.14718536569
OG0005298,RTN4IP1,RELAX alternative,6573.730838254253,-3246.551483445657,40,97.62270674897987,0.2437513203296979,0.4668698827998341,1.1465772947698258,0.249089550356519,0.4723595650369744,1.230715956250314,88.5946324072715,11.241476489786841
OG0005299,QRSL1,RELAX alternative,7681.364030765232,-3800.44165190614,40,53.18428023317922,0.10912010968647021,0.2337070537347603,45.839372149698434,0.1677542729877413,0.309905838788809,0.9763476171223352,9.114368834240153,4.263574897486012
OG0005300,MTRES1 CUNH6ORF203,RELAX alternative,3285.282891523402,-1604.139243118529,38,0,0.04309330672988267,1,100,0.3388161110075568,1,0,1.233728461321423,1
OG0005301,PDSS2,RELAX alternative,5475.441020175054,-2699.434077926723,38,68.92863427499506,0,0,30.90457551582854,1,1,0.1667902091763994,200.1942657528843,1.001223756657375
OG0005302,SOBP,RELAX alternative,10121.55617291844,-5021.635724714378,39,92.55004029861918,0.1478638009511699,0.3082017652437776,7.449959701380826,0.1994633458665634,0.370582176992873,0,2.462530786437941,1.741793696940031
OG0005303,SCML4,RELAX alternative,5398.450097959814,-2660.95232170718,38,81.26248572819236,0.02807505211317577,0.4439521996928814,15.51571259869057,0.171582183445793,0.6699027846026127,3.2218016731170738,1.365734977238075,1.073410689362835
OG0005304,SEC63,RELAX alternative,8909.243726395453,-4415.462906605104,39,0.9063397047702957,0.08899934025434092,0.04971766640097375,99.06823991805405,0.09161537806487549,0.05153717834781789,0.02542037717565809,50.28776876244806,129.1200698301481
OG0005305,OSTM1,RELAX alternative,6147.807012728087,-3032.510176076241,41,42.77785549735175,0,0,56.88437330117813,0.7774688455004437,0.4444872636446739,0.3377712014701246,563.8995173776879,728435360.0068386
OG0005306,NR2E1,RELAX alternative,4624.204797863592,-2271.786892967964,40,0,5.468416189006067e-10,1.021496810248041e-4,100,0.00726066377603854,0.1197739141708723,0,88.90804185837204,6.914123858257478
OG0005307,SNX3,RELAX alternative,1925.355409516237,-924.9978208122772,37,0,0.03031212899491175,0.7435208104687935,100,0.101232403485672,0.8235409481815875,0,1.002605998185175,1.000220636309382
OG0005308,AFG1L,RELAX alternative,6122.279886936803,-3019.858570919382,41,99.15142323288066,0.2099762356581056,0.3524594658344666,0.6782820501521751,1,1,0.1702947169671605,242.6172172093627,39.21761428525656
OG0005309,FOXO3,RELAX alternative,7947.550365065867,-3932.571636433643,41,95.81157371955476,0.04926735623580179,1.696783590127583e-4,3.979901830618996,0.8361679337403555,0.5969135684200021,0.2085244498262496,42.19497824868116,48629.19531594339
OG0005310,SESN1,RELAX alternative,9052.684642357737,-4487.123312334281,39,65.99123330233074,1.102456582428904e-18,1.662466819149375e-145,26.844243052917026,1.102456582428904e-18,1.662466819149375e-145,7.164523644752233,1.9755023287003881,242.0086220762498
OG0005311,CEP57L1,RELAX alternative,7435.167349174005,-3678.341212665958,39,33.675746159167744,0.2489931388050041,0.04417384660801944,64.63033803169255,0.2524101533731706,0.04554568731096557,1.6939158091397128,8.649247295420851,126.5878371655204
OG0005312,PPIL6,RELAX alternative,4480.910330074917,-2202.072614701888,38,68.74090348768965,1.284426041595727e-5,0.03466733320070437,31.069417734723633,1,1,0.1896787775867202,165.6657293944195,4.596785271349955
OG0005313,ZBTB24,RELAX alternative,10261.38219396772,-5090.523081411683,40,98.34334659457822,0.09448841367100697,0.2695540513057361,0.5872740597733266,0.9721738847042183,0.9844408987187808,1.069379345648455,15.2503614324629,4.544817383870188
OG0005314,FIG4,RELAX alternative,10514.73130077767,-5217.21025906801,40,17.125713513590572,1.196898694334583e-11,3.44222547477178e-69,80.68417321753032,0.002378529689596538,3.577991583207908e-17,2.1901132688791067,2.897571633886698,787.4398999703908
OG0005315,GPR6,RELAX alternative,4149.50490405956,-2034.366478859622,40,0,0.00432588549357734,8.944756357397922e-4,100,0.06556429336229255,0.02978635729213603,0,15.24421157951449,33.54973079435395
OG0005316,WASF1,RELAX alternative,7330.493046221613,-3625.014982803028,40,4.643740768706164,0,0,94.92716911110286,0.06016027044713724,0.2453332296354883,0.42909012019097587,983.3717399907138,31.34079814671762
