accession,GO
Q60495,GO:0030424; GO:0009986; GO:0005905; GO:0005737; GO:0005769; GO:0005783; GO:0005576; GO:0005794; GO:0005798; GO:0030426; GO:0016021; GO:0005634; GO:0043204; GO:0055037; GO:0003677; GO:0008201; GO:0004867; GO:0046914; GO:0008344; GO:0006915; GO:0008088; GO:0016199; GO:0007409; GO:0007155; GO:0006878; GO:0050890; GO:0048669; GO:0016358; GO:0006897; GO:0030198; GO:0035235; GO:0007626; GO:0007617; GO:0006378; GO:0031175; GO:0016322; GO:0007219; GO:0045931; GO:0006468; GO:0032268; GO:0007176; GO:0040014; GO:0050803; GO:0006417; GO:0008542
P79307,GO:0030424; GO:0009986; GO:0005905; GO:0005737; GO:0005769; GO:0005783; GO:0005576; GO:0005794; GO:0005798; GO:0030426; GO:0016021; GO:0045121; GO:0005634; GO:0043204; GO:0005886; GO:0055037; GO:0003677; GO:0008201; GO:0004867; GO:0030546; GO:0005102; GO:0046914; GO:0008344; GO:0006915; GO:0008088; GO:0016199; GO:0007409; GO:0007155; GO:0006878; GO:0007417; GO:0050890; GO:0048669; GO:0016358; GO:0006897; GO:0030198; GO:0035235; GO:0007626; GO:0007617; GO:0006378; GO:0031175; GO:0016322; GO:0007219; GO:0045931; GO:0006468; GO:0032268; GO:0007176; GO:0040014; GO:0050803; GO:0006417; GO:0008542
P63116,GO:0097440; GO:0016021; GO:0043025; GO:0015179; GO:0015175; GO:0042941; GO:0042942; GO:0015804
Q5ZLG0,GO:0005829; GO:0030729; GO:0005524; GO:0006631; GO:0032024
Q5BIS9,GO:0005737; GO:0031588; GO:0005634; GO:0004672; GO:0019901; GO:0031669; GO:0006633; GO:0010628; GO:0006468; GO:0050790; GO:0007165
Q9Y478,GO:0005737; GO:0005829; GO:0005654; GO:0031588; GO:0005634; GO:0004672; GO:0019901; GO:0031669; GO:0006633; GO:0035878; GO:0120162; GO:0010628; GO:0006468; GO:0050790; GO:0007165
O43741,GO:0005737; GO:0005829; GO:0005654; GO:0031588; GO:0005634; GO:0019901; GO:0031669; GO:0006633; GO:0120162; GO:0050790; GO:0007165
P58108,GO:0005737; GO:0031588; GO:0005634; GO:0043531; GO:0016208; GO:0005524; GO:0019901; GO:0019887; GO:0042149; GO:0006633; GO:0006468; GO:0050790; GO:0071900
P54619,GO:0005737; GO:0005829; GO:0016020; GO:0005654; GO:0031588; GO:0005634; GO:0043531; GO:0016208; GO:0005524; GO:0004691; GO:0008603; GO:0004672; GO:0019901; GO:0019887; GO:0042149; GO:0031669; GO:0006633; GO:0051170; GO:0010628; GO:0045860; GO:0006468; GO:0050790; GO:0006110; GO:0071900; GO:0007165; GO:0007283
Q09138,GO:0005737; GO:0031588; GO:0005634; GO:0043531; GO:0016208; GO:0005524; GO:0019901; GO:0019887; GO:0042149; GO:0006633; GO:0006468; GO:0050790; GO:0071900
Q9UGJ0,GO:0005737; GO:0005829; GO:0005615; GO:0005654; GO:0031588; GO:0005634; GO:0043531; GO:0016208; GO:0004679; GO:0005524; GO:0004862; GO:0008603; GO:0008607; GO:0030295; GO:0019901; GO:0019887; GO:0006754; GO:0042149; GO:0006633; GO:0005977; GO:0035556; GO:0006469; GO:0010800; GO:0045860; GO:0006468; GO:0050790; GO:0019217; GO:0046320; GO:0046324; GO:0006110; GO:0016126
Q5R4S0,GO:0005524; GO:0006633; GO:0071900
Q9H7C9,GO:0005737; GO:0045600
Q3SZK1,GO:0009986; GO:0005829; GO:0045171; GO:0015630; GO:0005886; GO:0008201; GO:0001525; GO:0030154; GO:0045766; GO:0010595; GO:0014909
