orthogroup,symbol,lrt,pval,adj_pval,k,signif,grouping
OG0005081,CA5A,255.9310593100454,0,0,11.46574060031274,Significant,Intensification
OG0005084,JPH3,70.58988088843034,0,0,4.462955662484338,Significant,Intensification
OG0005166,FBXO3,165.4833740503882,0,0,6.771744166189361,Significant,Intensification
OG0005178,CUNH4ORF54 C9H4ORF54,189.0889784511564,0,0,4.191303545493084,Significant,Intensification
OG0005198,CHAF1A,76.10604575791149,0,0,3.191242861571192,Significant,Intensification
OG0005314,CDH13,86.91248461960095,0,0,3.685551617818501,Significant,Intensification
OG0005322,NEGR1,73.07451656530793,0,0,4.188031813255657,Significant,Intensification
OG0005372,OFD1,223.3285274462251,0,0,11.37159586454086,Significant,Intensification
OG0005464,,74.56880778152299,0,0,10.68343097311124,Significant,Intensification
OG0005491,UPF3B,140.3772456442402,0,0,13.2259224384738,Significant,Intensification
OG0005492,SOWAHD,133.1773601092755,0,0,7.571712704831371,Significant,Intensification
OG0005514,TNS4,117.5666404406675,0,0,5.838319769312416,Significant,Intensification
OG0005537,EGR3,81.12375940982565,0,0,7.547708397215821e-7,Significant,Relaxation
OG0005557,CARNS1,98.93130609633226,0,0,6.9939343043492,Significant,Intensification
OG0005580,LPXN,77.26808089980295,0,0,4.88086412027918,Significant,Intensification
OG0005594,PACSIN2,117.1160038490561,0,0,6.281305288691939,Significant,Intensification
OG0005615,,227.8637867008038,0,0,8.66960956198958,Significant,Intensification
OG0005624,DHX37,82.35301359537334,0,0,3.908273493229047,Significant,Intensification
OG0005674,VAPA,103.7161001870727,0,0,4.006982533659298,Significant,Intensification
OG0005705,PRELID2,138.0355820012542,0,0,11.59068390623632,Significant,Intensification
OG0005719,CPEB4,78.67369743989548,0,0,8.208329841920206,Significant,Intensification
OG0005760,FAM126B,269.7216138088625,0,0,7.886415313991291,Significant,Intensification
OG0005811,SIX2,71.97611756309016,0,0,18.45739852320833,Significant,Intensification
OG0005819,ASB14,149.0316966125083,0,0,5.161352638642542,Significant,Intensification
OG0005832,ADA2,257.9433265454136,0,0,5.430841516690017,Significant,Intensification
OG0005835,BID,71.83218459242198,0,0,3.71452384789837,Significant,Intensification
OG0005842,,221.2474906045218,0,0,23.99749966552137,Significant,Intensification
OG0005845,CAMK1,89.77275289366116,0,0,8.66832999603394,Significant,Intensification
OG0005862,SLC41A2,170.1256773236346,0,0,44.59247761037517,Significant,Intensification
OG0005877,CKLF,98.23651515486472,0,0,22.96089477353304,Significant,Intensification
OG0005932,STPG3,87.31733804040687,0,0,7.617447840145959,Significant,Intensification
OG0005946,INSIG1,95.15055974029019,0,0,18.97785654165274,Significant,Intensification
OG0005994,,155.0213084549869,0,0,6.83033697525782,Significant,Intensification
OG0006002,AIP,85.57845224131052,0,0,10.92371392329329,Significant,Intensification
OG0006026,BRD4,173.4886370964414,0,0,3.818450107491043,Significant,Intensification
OG0006062,MEOX2,76.38513713791963,0,0,19.1152135471903,Significant,Intensification
OG0006079,VWA3B,192.8608378908139,0,0,4.171719316378947,Significant,Intensification
OG0006125,SLC23A3,87.40407441636853,0,0,6.393174319894381,Significant,Intensification
OG0006244,HCRTR2,394.8070207920537,0,0,15.85461404131094,Significant,Intensification
OG0006261,BCAS1,133.0178795875527,0,0,11.81670948098235,Significant,Intensification
OG0006333,ALPK1,272.4424835594873,0,0,5.770311895445064,Significant,Intensification
OG0006337,PITX2,161.0520803277386,0,0,12.93283309456771,Significant,Intensification
OG0006344,CLCN4,119.9076276688374,0,0,10.44256903509978,Significant,Intensification
OG0006350,UPF1,94.51505761672524,0,0,5.894084129610319,Significant,Intensification
OG0006353,HOMER3,97.4032692169194,0,0,8.162287882663076,Significant,Intensification
OG0006380,CFAP410 CUNH21ORF2,74.96504459080825,0,0,5.67290567630408,Significant,Intensification
OG0006384,UBE2G2,73.82165053123344,0,0,33.31902093606493,Significant,Intensification
OG0006409,ATG101,80.58573054659928,0,0,6.409789544795976,Significant,Intensification
OG0006473,,101.57742396325921,0,0,12.04273722053161,Significant,Intensification
OG0006477,HEBP1,101.7880179505096,0,0,6.841300810682098,Significant,Intensification
OG0006513,ZNF207,75.859900364022,0,0,8.494794753827572,Significant,Intensification
OG0006515,FAM120B,140.0101628516695,0,0,4.518636083168245,Significant,Intensification
OG0006526,IBTK,96.32226576889661,0,0,3.222055700604783,Significant,Intensification
OG0006541,PRDM10,88.74647830570757,0,0,7.749243727134751,Significant,Intensification
OG0006562,ABRAXAS1,301.2014519231525,0,0,8.394335645564444,Significant,Intensification
OG0006611,INCENP,267.9968454290029,0,0,6.700753857794979,Significant,Intensification
OG0006638,SYT9,282.1891647476295,0,0,17.70167256488151,Significant,Intensification
OG0006699,EEF1AKMT2,105.9735839429809,0,0,9.514257511747806,Significant,Intensification
OG0006726,HPGD,71.0487364572773,0,0,5.476874147274725,Significant,Intensification
OG0006753,DET1,83.95536611776606,0,0,15.2851181176217,Significant,Intensification
OG0006760,PLIN1,75.13068097772248,0,0,5.806213123991064,Significant,Intensification
OG0006900,CDK20,261.2974114982499,0,0,19.20195661266244,Significant,Intensification
OG0006902,HDAC6,72.81250491238825,0,0,2.360279543529052,Significant,Intensification
OG0006947,TMEM65,73.2706505727756,0,0,18.13147471572644,Significant,Intensification
OG0006960,RPAP1,71.58619315438773,0,0,3.342436231118691,Significant,Intensification
OG0006965,CHP1,85.61762912679387,0,0,10.40589446803952,Significant,Intensification
OG0006968,DLL4,72.40664398203808,0,0,4.833060348353457,Significant,Intensification
OG0006975,PLXND1,202.3515837771083,0,0,3.463536126775083,Significant,Intensification
OG0007046,MCM7,115.0991790061416,0,0,7.763455698006571,Significant,Intensification
