species,qaccver,saccver
python_bivittatus,rna-NC_021479.1:15192..16305,O48106
python_bivittatus,rna-NC_021479.1:2589..3555,O79546
python_bivittatus,rna-NC_021479.1:6397..7998,O79548
python_bivittatus,rna-NM_001293087.1,P62198
python_bivittatus,rna-NM_001305094.1,O42148
python_bivittatus,rna-NM_001319649.1,Q11204
python_bivittatus,rna-XM_007419790.3,Q66KG5
python_bivittatus,rna-XM_007419792.3,P02542
python_bivittatus,rna-XM_007419797.3,Q28IX8
python_bivittatus,rna-XM_007419822.3,Q98938
python_bivittatus,rna-XM_007419845.2,P18545
python_bivittatus,rna-XM_007419849.2,P60670
python_bivittatus,rna-XM_007419853.3,A2BDB0
python_bivittatus,rna-XM_007419865.2,Q6GMN2
python_bivittatus,rna-XM_007419884.3,Q8TEL6
python_bivittatus,rna-XM_007419885.2,Q9BV94
python_bivittatus,rna-XM_007419893.2,Q5ZLN1
python_bivittatus,rna-XM_007419898.3,Q9DAA6
python_bivittatus,rna-XM_007419904.3,Q9BTU6
python_bivittatus,rna-XM_007419916.3,P00504
python_bivittatus,rna-XM_007419924.2,Q2TAP0
python_bivittatus,rna-XM_007419929.1,Q4KLL5
python_bivittatus,rna-XM_007419937.2,Q9D3B1
python_bivittatus,rna-XM_007419939.2,P18254
python_bivittatus,rna-XM_007419955.3,Q9H2X6
python_bivittatus,rna-XM_007419961.2,Q9NPF5
python_bivittatus,rna-XM_007419967.3,Q99437
python_bivittatus,rna-XM_007419971.3,O94953
python_bivittatus,rna-XM_007419980.3,Q2KHP9
python_bivittatus,rna-XM_007419981.3,Q8NFB2
python_bivittatus,rna-XM_007419986.3,Q52KU6
python_bivittatus,rna-XM_007419989.3,Q9Z2C4
python_bivittatus,rna-XM_007419995.3,P39023
python_bivittatus,rna-XM_007419996.2,Q8CF89
python_bivittatus,rna-XM_007420000.3,Q5XIS8
python_bivittatus,rna-XM_007420010.3,P21265
python_bivittatus,rna-XM_007420012.3,A6H8I2
python_bivittatus,rna-XM_007420030.3,F1SSF9
python_bivittatus,rna-XM_007420032.2,Q32N70
python_bivittatus,rna-XM_007420037.3,P15259
python_bivittatus,rna-XM_007420038.2,Q0ZQK6
python_bivittatus,rna-XM_007420041.3,Q02218
python_bivittatus,rna-XM_007420057.3,Q9Y597
python_bivittatus,rna-XM_007420060.1,Q9ULC3
python_bivittatus,rna-XM_007420074.3,D3Z8D9
python_bivittatus,rna-XM_007420075.3,Q5ZKS8
python_bivittatus,rna-XM_007420081.3,Q5ZLN5
python_bivittatus,rna-XM_007420101.2,Q5ZKW2
python_bivittatus,rna-XM_007420115.3,O94985
python_bivittatus,rna-XM_007420123.3,Q6MZT1
python_bivittatus,rna-XM_007420124.2,Q96BP3
python_bivittatus,rna-XM_007420156.3,Q9Y2U5
python_bivittatus,rna-XM_007420164.2,Q28985
python_bivittatus,rna-XM_007420181.2,Q01196
python_bivittatus,rna-XM_007420193.3,P12234
python_bivittatus,rna-XM_007420205.3,P0CB50
python_bivittatus,rna-XM_007420221.3,Q80TC6
python_bivittatus,rna-XM_007420229.3,P62243
python_bivittatus,rna-XM_007420233.3,Q9Y573
python_bivittatus,rna-XM_007420241.3,P21453
python_bivittatus,rna-XM_007420248.3,Q5MNV6
python_bivittatus,rna-XM_007420250.3,Q9ES89
python_bivittatus,rna-XM_007420254.3,P70187
python_bivittatus,rna-XM_007420275.3,Q9Y3A6
python_bivittatus,rna-XM_007420279.2,Q2HJ88
python_bivittatus,rna-XM_007420292.2,Q9UJD0
python_bivittatus,rna-XM_007420301.2,P31749
python_bivittatus,rna-XM_007420308.2,Q679P3
python_bivittatus,rna-XM_007420321.3,P49256
python_bivittatus,rna-XM_007420322.3,Q9BVK6
python_bivittatus,rna-XM_007420335.3,A1A4R8
python_bivittatus,rna-XM_007420339.3,Q9W758
python_bivittatus,rna-XM_007420369.3,Q9JHZ2
python_bivittatus,rna-XM_007420371.3,O75962
python_bivittatus,rna-XM_007420372.1,Q8TE73
python_bivittatus,rna-XM_007420379.3,P21359
python_bivittatus,rna-XM_007420380.2,Q9Y6I7
python_bivittatus,rna-XM_007420385.2,Q13506
python_bivittatus,rna-XM_007420399.2,O60476
python_bivittatus,rna-XM_007420401.3,Q5ZMQ9
python_bivittatus,rna-XM_007420404.3,Q99JH7
python_bivittatus,rna-XM_007420410.2,Q5XIH7
python_bivittatus,rna-XM_007420411.2,O35130
python_bivittatus,rna-XM_007420415.3,Q32KM2
python_bivittatus,rna-XM_007420419.3,O57391
python_bivittatus,rna-XM_007420422.2,P00940
python_bivittatus,rna-XM_007420423.2,P56399
python_bivittatus,rna-XM_007420428.1,P52287
python_bivittatus,rna-XM_007420433.3,Q5R762
python_bivittatus,rna-XM_007420436.1,P41180
python_bivittatus,rna-XM_007420439.2,Q0P593
python_bivittatus,rna-XM_007420448.3,Q2TA45
python_bivittatus,rna-XM_007420450.2,Q6PCP5
python_bivittatus,rna-XM_007420459.1,Q9P242
python_bivittatus,rna-XM_007420465.3,Q6PDV7
python_bivittatus,rna-XM_007420466.3,P70404
python_bivittatus,rna-XM_007420476.3,O18875
python_bivittatus,rna-XM_007420487.3,P21810
python_bivittatus,rna-XM_007420488.2,Q9WUT3
python_bivittatus,rna-XM_007420489.2,Q3ZCG2
python_bivittatus,rna-XM_007420494.2,Q8BTM8
python_bivittatus,rna-XM_007420498.3,Q07984
python_bivittatus,rna-XM_007420507.3,Q2KI14
python_bivittatus,rna-XM_007420519.1,P41592
python_bivittatus,rna-XM_007420533.2,O15442
python_bivittatus,rna-XM_007420539.2,Q6NZL8
python_bivittatus,rna-XM_007420541.1,Q9UBJ2
python_bivittatus,rna-XM_007420556.2,A6QPM3
python_bivittatus,rna-XM_007420559.3,O60749
python_bivittatus,rna-XM_007420574.3,A7YY49
python_bivittatus,rna-XM_007420579.3,O43172
python_bivittatus,rna-XM_007420590.3,P30050
python_bivittatus,rna-XM_007420601.3,Q69CJ9
python_bivittatus,rna-XM_007420605.3,O00743
python_bivittatus,rna-XM_007420610.3,Q9W6S3
python_bivittatus,rna-XM_007420620.2,Q7TSV3
python_bivittatus,rna-XM_007420623.2,Q8WVM7
python_bivittatus,rna-XM_007420625.2,P05166
python_bivittatus,rna-XM_007420637.2,Q9CXC9
python_bivittatus,rna-XM_007420638.3,Q6GQU0
python_bivittatus,rna-XM_007420642.3,Q5ZJD7
python_bivittatus,rna-XM_007420668.2,Q5E9U9
python_bivittatus,rna-XM_007420678.2,Q5F3M0
python_bivittatus,rna-XM_007420682.3,P04625
python_bivittatus,rna-XM_007420692.2,Q90966
python_bivittatus,rna-XM_007420697.3,Q9P2G9
python_bivittatus,rna-XM_007420706.2,P53779
python_bivittatus,rna-XM_007420714.3,Q91447
python_bivittatus,rna-XM_007420719.2,Q28346
python_bivittatus,rna-XM_007420725.3,Q7T2U9
python_bivittatus,rna-XM_007420729.3,Q5R526
python_bivittatus,rna-XM_007420745.2,Q8N6G5
python_bivittatus,rna-XM_007420749.2,Q5T2R2
python_bivittatus,rna-XM_007420755.3,Q8IZP0
python_bivittatus,rna-XM_007420763.3,O88967
python_bivittatus,rna-XM_007420765.3,Q5EB77
python_bivittatus,rna-XM_007420770.3,Q924H7
python_bivittatus,rna-XM_007420775.2,Q8IYA7
python_bivittatus,rna-XM_007420787.3,Q9WVA3
python_bivittatus,rna-XM_007420802.3,Q8R323
python_bivittatus,rna-XM_007420807.2,Q8UVJ7
python_bivittatus,rna-XM_007420811.3,Q5R6X7
python_bivittatus,rna-XM_007420820.3,P68519
python_bivittatus,rna-XM_007420832.3,P41235
python_bivittatus,rna-XM_007420860.3,Q5RID7
python_bivittatus,rna-XM_007420870.3,Q4R8X0
python_bivittatus,rna-XM_007420871.3,Q6VH22
python_bivittatus,rna-XM_007420883.3,Q5ZM19
python_bivittatus,rna-XM_007420887.2,A0JNN3
python_bivittatus,rna-XM_007420901.3,P97865
python_bivittatus,rna-XM_007420902.3,Q99683
python_bivittatus,rna-XM_007420907.3,Q9NYF8
