chrom	length	bases	mean	min	max
scaffold_1	433800706	13828160319	31.88	0	108
scaffold_2	372385389	11721628984	31.48	0	569
scaffold_3	264689646	8326950413	31.46	0	631
scaffold_4	215138630	6671993280	31.01	0	310
scaffold_5	171393982	2790370613	16.28	0	76
scaffold_6	142371158	4399770710	30.90	0	71
scaffold_7	104019224	3101954668	29.82	0	156
scaffold_8	37500610	945614350	25.22	0	87
scaffold_9	30326030	886018374	29.22	0	137
scaffold_10	26971905	717834681	26.61	0	62
scaffold_11	26340354	729618534	27.70	0	58
scaffold_12	24591610	655757589	26.67	0	68
scaffold_13	19305126	531431127	27.53	0	64
scaffold_14	17114789	437016067	25.53	0	155
scaffold_15	14768194	330979383	22.41	0	68
scaffold_16	13544800	301884720	22.29	0	88
scaffold_17	5039522	75164465	14.91	0	60
scaffold_18	4885571	123396785	25.26	0	70
scaffold_19	4512117	66730507	14.79	0	61
scaffold_20	3167289	39271291	12.40	0	37
scaffold_21	3096389	47458906	15.33	0	50
scaffold_22	2939847	44212038	15.04	0	96
scaffold_23	2743813	42858394	15.62	0	45
scaffold_24	2653721	63564472	23.95	1	94
scaffold_25	2583581	40928156	15.84	0	61
scaffold_26	2384952	30783452	12.91	0	54
scaffold_27	2201614	32498772	14.76	0	32
scaffold_28	2159389	37507198	17.37	0	61
scaffold_29	2137873	43294261	20.25	0	86
scaffold_30	1941140	30017219	15.46	0	65
scaffold_31	1899126	51506877	27.12	0	53
scaffold_32	1835837	30468600	16.60	0	59
scaffold_33	1625828	27852583	17.13	0	44
scaffold_34	1595397	16777012	10.52	0	28
scaffold_35	1534484	30226884	19.70	0	94
scaffold_36	1505925	22541006	14.97	1	29
scaffold_37	1368285	17343400	12.68	0	41
scaffold_38	1297315	12680195	9.77	0	32
scaffold_39	1290845	22934535	17.77	0	71
scaffold_40	1282042	18457255	14.40	0	58
scaffold_41	1227656	29719500	24.21	0	67
scaffold_42	1185661	23010237	19.41	1	65
scaffold_43	1148605	17449657	15.19	0	61
scaffold_44	1096612	18252023	16.64	0	81
scaffold_45	1086189	14999974	13.81	0	29
scaffold_46	1052786	12600712	11.97	0	83
scaffold_47	998428	13022168	13.04	0	33
scaffold_48	972048	9512978	9.79	0	45
scaffold_49	952601	15100266	15.85	2	63
scaffold_50	951511	13505861	14.19	0	56
scaffold_51	940024	13454295	14.31	1	27
scaffold_52	924215	19335341	20.92	0	76
scaffold_53	922701	16682550	18.08	0	47
scaffold_54	920507	12709564	13.81	0	65
scaffold_55	920275	13606685	14.79	0	37
scaffold_56	909147	19253901	21.18	0	56
scaffold_57	908900	27432123	30.18	0	74
scaffold_58	904647	9279453	10.26	1	24
scaffold_59	891937	15062519	16.89	0	44
scaffold_60	859641	12724782	14.80	1	44
scaffold_61	829793	7533981	9.08	0	65
scaffold_62	820244	10129276	12.35	0	65
scaffold_63	814126	19311313	23.72	0	69
scaffold_64	767762	15066718	19.62	0	58
scaffold_65	765046	12425042	16.24	3	35
scaffold_66	764407	11639414	15.23	0	106
scaffold_67	764358	22106885	28.92	0	52
scaffold_68	759841	5818077	7.66	0	47
scaffold_69	752378	9961966	13.24	0	39
scaffold_70	736157	18509594	25.14	0	84
scaffold_71	733700	10972092	14.95	0	31
scaffold_72	714907	13889166	19.43	0	59
scaffold_73	706596	14646792	20.73	1	52
scaffold_74	704558	22145559	31.43	3	80
scaffold_75	703091	21871528	31.11	0	67
scaffold_76	699443	4307844	6.16	0	24
scaffold_77	695658	8909415	12.81	0	40
scaffold_78	687983	5313155	7.72	0	35
scaffold_79	674829	7570912	11.22	0	63
scaffold_80	636408	9255739	14.54	0	41
scaffold_81	632156	7210652	11.41	1	22
scaffold_82	630655	9489708	15.05	0	62
scaffold_83	630424	7687734	12.19	0	42
scaffold_84	618935	6153017	9.94	1	20
scaffold_85	601475	6863698	11.41	0	75
scaffold_86	600646	10016749	16.68	0	55
scaffold_87	597950	4435607	7.42	1	16
scaffold_88	590229	6327736	10.72	0	29
scaffold_89	587799	9152597	15.57	0	41
scaffold_90	582812	11668325	20.02	1	44
scaffold_91	576821	7517192	13.03	0	57
scaffold_92	574623	11418941	19.87	0	64
scaffold_93	566767	5458437	9.63	0	25
scaffold_94	557161	15991518	28.70	1	49
scaffold_95	552680	5627409	10.18	0	45
scaffold_96	552607	5558199	10.06	1	23
scaffold_97	541341	7112174	13.14	0	40
scaffold_98	541244	11775804	21.76	0	83
scaffold_99	536175	14054284	26.21	0	64
scaffold_100	532119	5945551	11.17	0	31
scaffold_101	529623	16220050	30.63	0	56
scaffold_102	528440	9045306	17.12	0	60
scaffold_103	525782	7851779	14.93	0	58
scaffold_104	524994	8382589	15.97	1	30
scaffold_105	522632	4233678	8.10	0	24
scaffold_106	517738	7819776	15.10	0	51
scaffold_107	515765	16076263	31.17	0	88
scaffold_108	510983	3830514	7.50	0	24
scaffold_109	509040	10099639	19.84	0	48
scaffold_110	506428	7559390	14.93	0	69
scaffold_111	504216	12046119	23.89	0	44
scaffold_112	499388	5537169	11.09	1	28
scaffold_113	482817	3659154	7.58	0	70
scaffold_114	482808	7472747	15.48	0	44
scaffold_115	482492	6777866	14.05	1	29
scaffold_116	481922	7622431	15.82	0	40
scaffold_117	479433	6956464	14.51	1	35
scaffold_118	477548	6389360	13.38	2	26
scaffold_119	472568	6836938	14.47	0	44
scaffold_120	460115	3133578	6.81	0	18
scaffold_121	443437	1290938	2.91	0	31
scaffold_122	443272	10275029	23.18	0	53
scaffold_123	431548	3449577	7.99	0	19
scaffold_124	430674	3894188	9.04	0	24
scaffold_125	430278	10384513	24.13	0	63
scaffold_126	429473	2763570	6.43	0	72
scaffold_127	427873	10286843	24.04	0	63
scaffold_128	426824	5672558	13.29	0	50
scaffold_129	424034	22539787	53.16	0	97
scaffold_130	420253	4978599	11.85	1	26
scaffold_131	417582	6147099	14.72	0	36
scaffold_132	413933	5728573	13.84	0	48
scaffold_133	413842	4756815	11.49	0	51
scaffold_134	412764	5023181	12.17	1	30
scaffold_135	412054	3655452	8.87	1	17
scaffold_136	411527	5904262	14.35	1	28
scaffold_137	409052	332560	0.81	0	23
scaffold_138	408673	5558456	13.60	1	30
scaffold_139	403702	3364137	8.33	0	49
