# BUSCO version is: 5.3.2 
# The lineage dataset is: tetrapoda_odb10 (Creation date: 2021-02-19, number of genomes: 38, number of BUSCOs: 5310)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
66at32523	Complete	chr1	193566044	193882384	-	54345.0	28989	https://www.orthodb.org/v10?query=66at32523	titin
136at32523	Complete	chr2	328435860	328725016	-	8427.0	5374	https://www.orthodb.org/v10?query=136at32523	G-protein coupled receptor 98
223at32523	Complete	chr1	291932121	292056246	-	6751.7	4220	https://www.orthodb.org/v10?query=223at32523	midasin
419at32523	Complete	chr11	968074	1276017	+	6340.5	4227	https://www.orthodb.org/v10?query=419at32523	hydrocephalus-inducing protein homolog
608at32523	Complete	chr5	17481177	17623790	-	7526.4	3830	https://www.orthodb.org/v10?query=608at32523	E3 ubiquitin-protein ligase MYCBP2 isoform X1
663at32523	Complete	chr6	46919543	47044558	-	7798.0	4093	https://www.orthodb.org/v10?query=663at32523	uncharacterized protein KIAA1109 homolog
675at32523	Complete	chr5	121294443	121319352	+	7671.2	3901	https://www.orthodb.org/v10?query=675at32523	sacsin
738at32523	Complete	chr5	46558124	46678375	-	8029.6	4115	https://www.orthodb.org/v10?query=738at32523	E3 ubiquitin-protein ligase HERC2
771at32523	Complete	chr15	15178233	15255048	+	6571.4	3716	https://www.orthodb.org/v10?query=771at32523	Vacuolar protein sorting 13 homolog D
953at32523	Complete	chr10	641918	683888	+	7815.4	4018	https://www.orthodb.org/v10?query=953at32523	probable E3 ubiquitin-protein ligase HERC1
1000at32523	Complete	chr12	2261839	2328169	+	7400.8	3864	https://www.orthodb.org/v10?query=1000at32523	dynein heavy chain 10, axonemal
1093at32523	Complete	chr12	912274	958517	+	7293.0	3702	https://www.orthodb.org/v10?query=1093at32523	probable E3 ubiquitin-protein ligase HECTD4
1174at32523	Missing
1240at32523	Complete	chr13	14392642	14501030	+	7128.5	3404	https://www.orthodb.org/v10?query=1240at32523	transformation/transcription domain-associated protein
1247at32523	Complete	chr4	150590121	151010080	-	6208.4	2997	https://www.orthodb.org/v10?query=1247at32523	reelin
1469at32523	Complete	chr1	398511830	398655926	-	5662.0	2860	https://www.orthodb.org/v10?query=1469at32523	ubiquitin carboxyl-terminal hydrolase 34
1528at32523	Complete	chr13	12426008	12483810	+	6246.6	3055	https://www.orthodb.org/v10?query=1528at32523	serine/threonine-protein kinase SMG1
1696at32523	Complete	chr1	250691378	250749225	+	5288.0	4042	https://www.orthodb.org/v10?query=1696at32523	apolipoprotein B-100
1855at32523	Complete	chr1	345972616	346053582	-	5508.2	3138	https://www.orthodb.org/v10?query=1855at32523	lysosomal-trafficking regulator
1959at32523	Complete	chr7	42009265	42044386	-	4750.4	2897	https://www.orthodb.org/v10?query=1959at32523	Histone-lysine N-methyltransferase
1978at32523	Complete	chr3	50131124	50209575	+	5580.5	3390	https://www.orthodb.org/v10?query=1978at32523	DNA-dependent protein kinase catalytic subunit
2109at32523	Complete	chr4	173706334	173844145	+	2460.6	1960	https://www.orthodb.org/v10?query=2109at32523	cilia- and flagella-associated protein 54
2312at32523	Missing
2516at32523	Complete	chr3	195492233	195569337	-	4809.2	2840	https://www.orthodb.org/v10?query=2516at32523	protein SZT2
2599at32523	Complete	chr1	423612849	423816464	+	4499.0	2290	https://www.orthodb.org/v10?query=2599at32523	neurofibromin
2694at32523	Complete	chr2	121836112	121898770	-	2487.3	1854	https://www.orthodb.org/v10?query=2694at32523	Nuclear receptor binding SET domain protein 1
2762at32523	Complete	chr3	260283557	260332901	+	3085.3	2166	https://www.orthodb.org/v10?query=2762at32523	helicase with zinc finger domain 2
2833at32523	Complete	chr5	38921429	38958561	-	4238.7	2527	https://www.orthodb.org/v10?query=2833at32523	E3 SUMO-protein ligase RanBP2
3059at32523	Complete	chr1	221030731	221135594	-	3801.1	2112	https://www.orthodb.org/v10?query=3059at32523	fibronectin
3129at32523	Complete	chr6	65989858	66096538	-	4210.1	2531	https://www.orthodb.org/v10?query=3129at32523	huntingtin
3264at32523	Complete	chr3	83695082	83746705	-	4358.4	2474	https://www.orthodb.org/v10?query=3264at32523	desmoplakin isoform X1
3280at32523	Complete	chr12	3835436	3894778	+	4194.9	2332	https://www.orthodb.org/v10?query=3280at32523	translational activator GCN1
3318at32523	Complete	chr2	357120185	357218732	-	4469.2	2440	https://www.orthodb.org/v10?query=3318at32523	nipped-B-like protein
3344at32523	Complete	chr1	434312794	434329007	+	4810.5	2198	https://www.orthodb.org/v10?query=3344at32523	pre-mRNA-processing-splicing factor 8
3357at32523	Complete	chr15	10747724	10810469	-	4290.0	2195	https://www.orthodb.org/v10?query=3357at32523	serine/threonine-protein kinase mTOR
3491at32523	Complete	chr3	44816380	44960550	-	4697.5	2469	https://www.orthodb.org/v10?query=3491at32523	chromodomain-helicase-DNA-binding protein 7
3576at32523	Complete	chr1	143309260	143384101	-	3518.7	2380	https://www.orthodb.org/v10?query=3576at32523	SPEG complex locus
