HOG	OG	Gene Tree Parent Clade	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
N2.HOG0000000	OG0000001	n0	rna-XM_039331519.1												
N2.HOG0000001	OG0000002	n1	rna-XM_039349420.1, rna-XM_039338904.1, rna-XM_039365756.1												
N2.HOG0000002	OG0000002	n4	rna-XM_039333112.1												
N2.HOG0000003	OG0000003	n4	rna-XM_039348305.1, rna-XM_039333435.1												
N2.HOG0000004	OG0000003	n7										rna-XM_015831046.1			
N2.HOG0000005	OG0000003	n9										rna-XM_029284654.1			
N2.HOG0000006	OG0000003	n13	rna-XM_039326659.1									rna-XM_029287127.1, rna-XM_015831106.1			
N2.HOG0000007	OG0000003	n21										rna-XM_029286982.1			
N2.HOG0000008	OG0000003	n28										rna-XM_029285564.1			
N2.HOG0000009	OG0000003	n31										rna-XM_029284644.1			
N2.HOG0000010	OG0000003	n154										rna-XM_015831104.2			
N2.HOG0000011	OG0000003	n157										rna-XM_029286138.1			
N2.HOG0000012	OG0000003	n170										rna-XM_015830875.2			
N2.HOG0000013	OG0000003	n174	rna-XM_039329048.1												
N2.HOG0000014	OG0000003	n204										rna-XM_029286563.1, rna-XM_029287032.1			
N2.HOG0000015	OG0000003	n248	rna-XM_039369594.1									rna-XM_029286699.1, rna-XM_029286700.1, rna-XM_029286841.1, rna-XM_029286777.1, rna-XM_029286964.1, rna-XM_029287086.1			
N2.HOG0000016	OG0000003	n257										rna-XM_029283986.1			
N2.HOG0000017	OG0000003	n273	rna-XM_039364214.1, rna-XM_039364246.1, rna-XM_039364224.1, rna-XM_039364184.1, rna-XM_039364188.1, rna-XM_039364195.1, rna-XM_039364215.1, rna-XM_039357552.1, rna-XM_039364170.1, rna-XM_039364163.1, rna-XM_039366316.1, rna-XM_039364235.1, rna-XM_039364230.1, rna-XM_039364226.1, rna-XM_039364243.1, rna-XM_039364244.1									rna-XM_029286816.1			
N2.HOG0000018	OG0000003	n291	rna-XM_039364182.1, rna-XM_039364179.1												
N2.HOG0000019	OG0000003	n296										rna-XM_029286898.1			
N2.HOG0000020	OG0000003	n298										rna-XM_029287036.1			
N2.HOG0000021	OG0000003	n307										rna-XM_029286843.1, rna-XM_029286844.1			
N2.HOG0000022	OG0000003	n310										rna-XM_029287191.1			
N2.HOG0000023	OG0000003	n316	rna-XM_039364210.1									rna-XM_015831416.2			
N2.HOG0000024	OG0000003	n319	rna-XM_039366317.1												
N2.HOG0000025	OG0000003	n321	rna-XM_039364212.1												
N2.HOG0000026	OG0000003	n331	rna-XM_039364229.1									rna-XM_029286896.1, rna-XM_029286527.1			
N2.HOG0000027	OG0000003	n334	rna-XM_039364216.1												
N2.HOG0000028	OG0000003	n347	rna-XM_039364227.1									rna-XM_029287181.1, rna-XM_029286526.1, rna-XM_029287131.1			
N2.HOG0000029	OG0000003	n361	rna-XM_039366422.1									rna-XM_015829582.2			
N2.HOG0000030	OG0000003	n379										rna-XM_015830329.1			
N2.HOG0000031	OG0000003	n406										rna-XM_029284157.1			
N2.HOG0000032	OG0000003	n422										rna-XM_029286511.1			
N2.HOG0000033	OG0000003	n431										rna-XM_015823809.2			
N2.HOG0000034	OG0000004	n6	rna-XM_039326698.1												
N2.HOG0000035	OG0000004	n9	rna-XM_039326696.1, rna-XM_039326697.1, rna-XM_039326708.1												
N2.HOG0000036	OG0000004	n15	rna-XM_039326702.1												
N2.HOG0000037	OG0000004	n59	rna-XM_039348299.1, rna-XM_039348297.1, rna-XM_039348268.1, rna-XM_039329007.1, rna-XM_039329041.1, rna-XM_039328999.1, rna-XM_039329033.1									rna-XM_015827925.1			
N2.HOG0000038	OG0000004	n77	rna-XM_039328982.1												
N2.HOG0000039	OG0000004	n84	rna-XM_039348254.1, rna-XM_039348302.1												
N2.HOG0000040	OG0000004	n91	rna-XM_039329032.1												
N2.HOG0000041	OG0000004	n105	rna-XM_039328998.1												
N2.HOG0000042	OG0000004	n112	rna-XM_039329044.1, rna-XM_039329046.1, rna-XM_039329040.1, rna-XM_039348310.1												
N2.HOG0000043	OG0000006	n7	rna-XM_039336338.1, rna-XM_039336528.1												
N2.HOG0000044	OG0000006	n15	rna-XM_039336529.1, rna-XM_039336535.1												
N2.HOG0000045	OG0000006	n35	rna-XM_039336552.1												
N2.HOG0000046	OG0000006	n66	rna-XM_039332805.1												
N2.HOG0000047	OG0000006	n68	rna-XM_039332813.1									rna-XM_029287034.1, rna-XM_029287184.1, rna-XM_029286866.1			
N2.HOG0000048	OG0000006	n86	rna-XM_039332808.1												
N2.HOG0000049	OG0000006	n90										rna-XM_029287074.1			
N2.HOG0000050	OG0000006	n100	rna-XM_039365645.1									rna-XM_029286968.1			
N2.HOG0000051	OG0000006	n107										rna-XM_029286894.1			
N2.HOG0000052	OG0000006	n115	rna-XM_039336537.1									rna-XM_029285798.1			
N2.HOG0000053	OG0000006	n127	rna-XM_039336547.1												
N2.HOG0000054	OG0000006	n178	rna-XM_039321739.1									rna-XM_029285340.1			
N2.HOG0000055	OG0000006	n189	rna-XM_039321743.1, rna-XM_039321754.1									rna-XM_029287031.1, rna-XM_029286974.1			
N2.HOG0000056	OG0000006	n192	rna-XM_039321744.1, rna-XM_039332814.1									rna-XM_029286895.1			
N2.HOG0000057	OG0000006	n195	rna-XM_039332816.1									rna-XM_015829011.1			
N2.HOG0000058	OG0000006	n201	rna-XM_039332797.1												
N2.HOG0000059	OG0000006	n222										rna-XM_029287139.1			
N2.HOG0000060	OG0000006	n227										rna-XM_015829217.2			
N2.HOG0000061	OG0000006	n228										rna-XM_015830621.2, rna-XM_029287014.1			
N2.HOG0000062	OG0000006	n259	rna-XM_039321746.1, rna-XM_039321747.1									rna-XM_029287207.1, rna-XM_015831304.1, rna-XM_015830385.2, rna-XM_029287029.1			
N2.HOG0000063	OG0000006	n341	rna-XM_039365658.1									rna-XM_015823409.1, rna-XM_029286277.1			
N2.HOG0000064	OG0000006	n343	rna-XM_039332802.1									rna-XM_029286807.1, rna-XM_015825297.2			
N2.HOG0000065	OG0000006	n346	rna-XM_039365655.1									rna-XM_029285557.1			
N2.HOG0000066	OG0000006	n350										rna-XM_029286797.1			
N2.HOG0000067	OG0000007	n4										id-LOC107295554			
N2.HOG0000068	OG0000007	n9	id-LOC120303643									id-LOC114923314			
N2.HOG0000069	OG0000007	n18	id-LOC120303635												
N2.HOG0000070	OG0000007	n22	id-LOC120300322												
N2.HOG0000071	OG0000007	n35	id-LOC120300329, id-LOC120300867, id-LOC120300379, id-LOC120303618, id-LOC120303622, id-LOC120303607, id-LOC120303593, id-LOC120300385, id-LOC120303623												
N2.HOG0000072	OG0000007	n54	id-LOC120303625												
N2.HOG0000073	OG0000007	n55	id-LOC120303677, id-LOC120303678												
N2.HOG0000074	OG0000007	n57	id-LOC120303592									id-LOC107296535			
N2.HOG0000075	OG0000007	n72										id-LOC114923316			
N2.HOG0000076	OG0000007	n84	id-LOC120303600, id-LOC120303598									id-LOC107296544, id-LOC114923315			
