Orthogroup,Gene,Model,Tree length,Lnl,Df,Kappa,Proportion 0,Background 0,Foreground 0,Proportion 1,Background 1,Foreground 1,Proportion 2a,Background 2a,Foreground 2a,Proportion 2b,Background 2b,Foreground 2b
OG0007017,GLB1L2,bsA,1.1163,-5486.029992,29,2.53371,0.87427,0.04941,0.04941,0.12573,1,1,0,0.04941,1,0,1,1
OG0005250,RGS16,bsA,0.73776,-1379.316357,29,4.1474,0.83974,0.05229,0.05229,0.14385,1,1,0.01401,0.05229,19.51839,0.0024,1,19.51839
OG0005132,NCDN,bsA,0.73419,-5364.489588,29,3.57858,0.9554,0.04935,0.04935,0.04307,1,1,0.00146,0.04935,21.36717,7e-5,1,21.36717
OG0008345,HEMGN,bsA,0.81524,-1377.686593,29,4.58831,0.54467,0.17755,0.17755,0.42958,1,1,0.0144,0.17755,70.50931,0.01136,1,70.50931
OG0005398,KANSL2,bsA,0.52558,-3471.829935,29,4.19029,0.78254,0.0196,0.0196,0.21746,1,1,0,0.0196,1,0,1,1
OG0009960,SEC14L1,bsA,0.36978,-4259.517162,29,3.94214,0.92205,0.03737,0.03737,0.04705,1,1,0.02939,0.03737,1.46141,0.0015,1,1.46141
OG0005276,SMIM30,bsA,0.55014,-412.177047,29,12.1869,0,0,0,0,1,1,0.61552,0,999,0.38448,1,999
OG0005488,ZBTB33,bsA,1.56816,-6627.666255,29,2.8309,0.87908,0.05215,0.05215,0.10015,1,1,0.01865,0.05215,14.75314,0.00212,1,14.75314
OG0011994,PUM1,bsA,0.40829,-7345.407893,29,3.14879,0.95398,0.0055,0.0055,0.02256,1,1,0.02292,0.0055,13.18508,5.4e-4,1,13.18508
OG0011428,PLA2G4F,bsA,0.67379,-6261.276414,29,2.85543,0.79964,0.067,0.067,0.18632,1,1,0.01139,0.067,11.39908,0.00265,1,11.39908
OG0011737,,bsA,1.33331,-3874.804733,29,2.84481,0.8058,0.04101,0.04101,0.1942,1,1,0,0.04101,1,0,1,1
OG0013112,,bsA,0.62336,-1172.560809,29,1.78854,0,0,0,0,1,1,0.60948,0,999,0.39052,1,999
