Orthogroup,Gene,LRT P-value (Test),LRT Adj. p-value (Test),LRT P-value (Background),LRT Adj. p-value (Background),LRT Distributions,LRT Adj. p-value (Distributions),Signal
OG0005292,LIN28B,0.2568606293298488,0.5,0,0,0.04612906096358205,0.14878900245204585,No evidence of episodic diversifying selection on test branches
OG0005293,BVES,1.942890293094024e-15,9.607870055106104e-15,0,0,2.619036248119322e-5,1.7502038371602015e-4,Selection acting on branches with phenotype. Also acting on background. Significant difference between FG-BG dist
OG0005294,PREP,0.5,0.5,0.0064502788888251,0.01413182620351706,0.245844971226712,0.6004917812576815,No significant signals
OG0005295,PRDM1,0.5,0.5,0.5,0.5,0.9748144602916337,1,No significant signals
OG0005296,ATG5,0.5,0.5,0.5,0.5,0.7186355238495219,1,No significant signals
OG0005297,CRYBG1,3.0562996577998547e-10,1.1307916733048287e-9,6.646802068432933e-5,1.899023608458851e-4,0.02742839640130912,0.0939688608301382,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005298,RTN4IP1,0.5,0.5,1.110223024625157e-16,9.734417482377009e-16,0.5858714211260768,1,No evidence of episodic diversifying selection on test branches
OG0005299,QRSL1,0.5,0.5,0.1632563727969688,0.27300212245195693,0.9814854862844332,1,No significant signals
OG0005300,MTRES1 CUNH6ORF203,0.5,0.5,0.5,0.5,0.7736517781376979,1,No significant signals
OG0005301,PDSS2,0.5,0.5,0.00449251569602388,0.01007991465734785,0.973583564499836,1,No significant signals
OG0005302,SOBP,0.5,0.5,0.5,0.5,0.7489701095736148,1,No significant signals
OG0005303,SCML4,0.5,0.5,0.5,0.5,0.24356614711042,0.595598032521496,No significant signals
OG0005304,SEC63,0.5,0.5,0.5,0.5,0.9818000631272108,1,No significant signals
OG0005305,OSTM1,7.035036549513096e-5,1.976020976938862e-4,1.637814023291995e-8,6.920723905062951e-8,0.5102417695121346,1,Selection acting on branches with phenotype. Also acting on background. No significant difference between FG-BG dist
OG0005306,NR2E1,0.5,0.5,0.5,0.5,0.16364586001121811,0.43176563187106143,No significant signals
OG0005307,SNX3,0.5,0.5,0.5,0.5,0.7413430766673976,1,No significant signals
