accession,idtype,id
A4K2U9,Gene_Name,YWHAB
P62262,Gene_Name,YWHAE
P61983,Gene_Name,Ywhag
O70456,Gene_Name,Sfn
O77642,Gene_Name,SFN
Q5ZMD1,Gene_Name,YWHAQ
Q52M98,Gene_Name,ywhaq
Q5ZKC9,Gene_Name,YWHAZ
P63102,Gene_Name,Ywhaz
Q5ZLQ6,Gene_Name,YWHAB
Q6PD03,Gene_Name,Ppp2r5a
Q28647,Gene_Name,PPP2R5B
Q80W83,Gene_Name,Ppp2r5b
Q14738,Gene_Name,PPP2R5D
Q28653,Gene_Name,PPP2R5D
Q16537,Gene_Name,PPP2R5E
Q13362,Gene_Name,PPP2R5C
Q60996,Gene_Name,Ppp2r5c
P54612,Gene_Name,PPP2R1A
P63150,Gene_Name,PPP2R2A
P36876,Gene_Name,Ppp2r2a
Q5R4A2,Gene_Name,PPP2R2B
Q00006,Gene_Name,PPP2R2B
Q5ZIY5,Gene_Name,PPP2R2D
Q95LP0,Gene_Name,PPP2R2C
P50410,Gene_Name,PPP2R2C
P31937,Gene_Name,HIBADH
O60239,Gene_Name,SH3BP5
Q13542,Gene_Name,EIF4EBP2
P60020,Gene_Name,HTR1B
Q6VB83,Gene_Name,5HT1E
Q9N2B7,Gene_Name,HTR1B
O70528,Gene_Name,HTR4
P34969,Gene_Name,HTR7
P32304,Gene_Name,Htr7
P32305,Gene_Name,Htr7
Q5ZL42,Gene_Name,BZW2
Q5ZIZ4,Gene_Name,NT5C2
Q5ZLT7,Gene_Name,BZW1
Q6P7P5,Gene_Name,Bzw1
Q9BXI3,Gene_Name,NT5C1A
A3KFX0,Gene_Name,Nt5c1a
Q5ZID6,Gene_Name,NT5C3A
P52209,Gene_Name,PGD
P05408,Gene_Name,SCG5
Q676U5,Gene_Name,ATG16L1
Q8C0J2,Gene_Name,Atg16l1
Q9NQ94,Gene_Name,A1CF
Q5R9H4,Gene_Name,A1CF
Q60495,Gene_Name,APP
P79307,Gene_Name,APP
Q5ZLG0,Gene_Name,AACS
P63116,Gene_Name,Slc7a10
Q5BIS9,Gene_Name,PRKAB1
Q9Y478,Gene_Name,PRKAB1
O43741,Gene_Name,PRKAB2
P58108,Gene_Name,PRKAG1
P54619,Gene_Name,PRKAG1
Q09138,Gene_Name,PRKAG1
Q9UGJ0,Gene_Name,PRKAG2
Q5R4S0,Gene_Name,PRKAG2
P54646,Gene_Name,PRKAA2
Q9H7C9,Gene_Name,AAMDC
Q3SZK1,Gene_Name,AAMP
Q13131,Gene_Name,PRKAA1
Q5EG47,Gene_Name,Prkaa1
P54645,Gene_Name,Prkaa1
Q4R559,Gene_Name,GOT2
P00504,Gene_Name,GOT1
P00508,Gene_Name,GOT2
P08907,Gene_Name,GOT2
Q2HJ19,Gene_Name,ABHD17A
Q5VST6,Gene_Name,ABHD17B
Q6AY17,Gene_Name,Abhd17b
Q5ZJX1,Gene_Name,ABHD17C
Q9BZC7,Gene_Name,ABCA2
Q9ESR9,Gene_Name,Abca2
P28288,Gene_Name,ABCD3
P61222,Gene_Name,Abce1
Q8NE71,Gene_Name,ABCF1
Q7YR37,Gene_Name,ABCF1
Q767L0,Gene_Name,ABCF1
Q9UG63,Gene_Name,ABCF2
Q99LE6,Gene_Name,Abcf2
O60706,Gene_Name,ABCC9
Q9UBJ2,Gene_Name,ABCD2
O95477,Gene_Name,ABCA1
Q09428,Gene_Name,ABCC8
Q9NUQ8,Gene_Name,ABCF3
Q64343,Gene_Name,Abcg1
O75027,Gene_Name,ABCB7
Q704E8,Gene_Name,Abcb7
Q91WA9,Gene_Name,Abcg4
Q5ZIN0,Gene_Name,ABHD12
Q5ZJL8,Gene_Name,ABHD13
Q4R2Y9,Gene_Name,ABHD2
Q9QXM0,Gene_Name,Abhd2
P42684,Gene_Name,ABL2
O14639,Gene_Name,ABLIM1
Q8K4G5,Gene_Name,Ablim1
Q5ZHW7,Gene_Name,ABITRAM
Q6GR35,Gene_Name,abitram
Q8WTS1,Gene_Name,ABHD5
Q9DBL9,Gene_Name,Abhd5
Q5EE05,Gene_Name,ABHD5
Q6QA69,Gene_Name,Abhd5
Q8R2Y0,Gene_Name,Abhd6
Q8IZP0,Gene_Name,ABI1
Q9QZM5,Gene_Name,Abi1
Q9NYB9,Gene_Name,ABI2
P62484,Gene_Name,Abi2
O94929,Gene_Name,ABLIM3
P10447,Gene_Name,ABL
A6QNS3,Gene_Name,ABR
Q8N961,Gene_Name,ABTB2
Q7TQI7,Gene_Name,Abtb2
Q5SWU9,Gene_Name,Acaca
Q28559,Gene_Name,ACACA
O00763,Gene_Name,ACACB
P11029,Gene_Name,ACAC
