file,model,model-long,codon model,description,tree-length,Lnl,np,kappa,siteClassModel,p0,w,p,q,proportion_0,omega_0,proportion_1,omega_1,proportion_2,omega_2
OG0007017,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.51743,-3178.613125,15,3.42081,NearlyNeutral,,,,,0.77318,0.01445,0.22682,1.00000,,
OG0007017,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.53651,-3173.92783,17,3.55478,PositiveSelection,,,,,0.77139,0.01731,0.22634,1.00000,0.00228,20.89145
OG0008345,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.15634,-2568.414345,15,3.81524,NearlyNeutral,,,,,0.86708,0.08411,0.13292,1.00000,,
OG0008345,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.15634,-2568.414345,17,3.81524,PositiveSelection,,,,,0.86708,0.08411,0.04176,1.00000,0.09117,1.00000
OG0005398,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.68382,-3224.047513,15,2.59482,NearlyNeutral,,,,,0.91396,0.07871,0.08604,1.00000,,
OG0005398,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.69125,-3223.051859,17,2.61661,PositiveSelection,,,,,0.96163,0.10055,0.0,1.00000,0.03837,1.95189
OG0009960,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.68826,-1942.681986,15,3.77678,NearlyNeutral,,,,,0.84714,0.10239,0.15286,1.00000,,
OG0009960,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.68826,-1942.681986,17,3.77678,PositiveSelection,,,,,0.84714,0.10240,0.06013,1.00000,0.09273,1.00000
OG0005488,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.51297,-3458.280297,15,2.89153,NearlyNeutral,,,,,0.87297,0.07836,0.12703,1.00000,,
OG0005488,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.51297,-3458.280297,17,2.89157,PositiveSelection,,,,,0.87297,0.07835,0.031,1.00000,0.09603,1.00000
OG0011994,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.92879,-1245.133258,15,2.53157,NearlyNeutral,,,,,0.91599,0.04538,0.08401,1.00000,,
OG0011994,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.92879,-1245.133258,17,2.53157,PositiveSelection,,,,,0.91599,0.04538,0.03041,1.00000,0.0536,1.00000
OG0011428,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.73287,-1204.035491,15,2.40886,NearlyNeutral,,,,,0.93956,0.05848,0.06044,1.00000,,
OG0011428,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.73597,-1203.951868,17,2.41575,PositiveSelection,,,,,0.96506,0.06883,0.0,1.00000,0.03494,1.52751
OG0011737,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.4565,-3630.720255,15,4.70707,NearlyNeutral,,,,,0.78543,0.09515,0.21457,1.00000,,
OG0011737,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.58376,-3625.762893,17,4.89421,PositiveSelection,,,,,0.80085,0.10944,0.17569,1.00000,0.02346,4.84728
OG0013112,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.50688,-2890.976781,15,1.76202,NearlyNeutral,,,,,0.62639,0.09578,0.37361,1.00000,,
OG0013112,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,116.25936,-2840.020653,17,2.20964,PositiveSelection,,,,,0.61573,0.11871,0.31278,1.00000,0.07149,998.74443
OG0012824,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.24604,-4006.162188,15,2.60106,NearlyNeutral,,,,,0.98746,0.00000,0.01254,1.00000,,
OG0012824,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.24688,-4005.889956,17,2.63746,PositiveSelection,,,,,0.99056,0.00000,0.0,1.00000,0.00944,1.68016
OG0007678,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.57458,-4370.514978,15,3.7265,NearlyNeutral,,,,,0.73505,0.05279,0.26495,1.00000,,
OG0007678,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,2.51105,-4363.903114,17,3.98052,PositiveSelection,,,,,0.73447,0.05537,0.25537,1.00000,0.01016,43.22134
OG0014260,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.04936,-3922.480476,15,3.37338,NearlyNeutral,,,,,0.8038,0.03990,0.1962,1.00000,,
OG0014260,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.04936,-3922.480476,17,3.37338,PositiveSelection,,,,,0.8038,0.03990,0.06556,1.00000,0.13064,1.00000
OG0008417,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.02309,-6361.823845,15,2.74287,NearlyNeutral,,,,,0.54552,0.01203,0.45448,1.00000,,
OG0008417,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.04271,-6354.418607,17,2.91798,PositiveSelection,,,,,0.63383,0.08375,0.26077,1.00000,0.10539,2.45756
OG0009781,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.67957,-1716.887558,15,2.13419,NearlyNeutral,,,,,0.64282,0.00000,0.35718,1.00000,,
OG0009781,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.70507,-1714.896614,17,2.33058,PositiveSelection,,,,,0.77728,0.06291,0.0,1.00000,0.22272,2.05692
OG0012396,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.71843,-1688.195584,15,3.01172,NearlyNeutral,,,,,0.66353,0.00000,0.33647,1.00000,,
OG0012396,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.74037,-1685.866186,17,3.19705,PositiveSelection,,,,,0.80752,0.08104,0.04603,1.00000,0.14646,2.29541
OG0011341,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.93599,-697.86152,15,3.10474,NearlyNeutral,,,,,0.6259,0.00000,0.3741,1.00000,,
OG0011341,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.93839,-697.659143,17,3.22972,PositiveSelection,,,,,0.64495,0.00000,0.0,1.00000,0.35505,1.22419
OG0008490,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.53681,-3576.5009,15,2.72516,NearlyNeutral,,,,,0.77232,0.00174,0.22768,1.00000,,
OG0008490,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.53681,-3576.5009,17,2.72517,PositiveSelection,,,,,0.77232,0.00174,0.09758,1.00000,0.1301,1.00000
OG0006116,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.486,-4346.187158,15,3.45053,NearlyNeutral,,,,,0.83461,0.01897,0.16539,1.00000,,
OG0006116,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.49984,-4339.602212,17,3.67458,PositiveSelection,,,,,0.85497,0.03687,0.13933,1.00000,0.0057,9.72097
OG0007514,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.36252,-6748.639041,15,2.92744,NearlyNeutral,,,,,0.94815,0.01754,0.05185,1.00000,,
OG0007514,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.3636,-6748.39148,17,2.93963,PositiveSelection,,,,,0.97019,0.02712,0.0,1.00000,0.02981,1.51560
OG0006834,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.42089,-4478.142177,15,1.98124,NearlyNeutral,,,,,0.9254,0.00000,0.0746,1.00000,,
OG0006834,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.65335,-4446.859947,17,2.75031,PositiveSelection,,,,,0.97261,0.02385,0.0,1.00000,0.02739,14.64940
OG0013805,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.27953,-7104.006738,15,3.42047,NearlyNeutral,,,,,0.7639,0.15405,0.2361,1.00000,,
OG0013805,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.27953,-7104.006738,17,3.42047,PositiveSelection,,,,,0.7639,0.15405,0.08495,1.00000,0.15114,1.00000
OG0005438,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.6965,-19609.744713,15,4.23912,NearlyNeutral,,,,,0.76767,0.09106,0.23233,1.00000,,
OG0005438,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.69965,-19608.909161,17,4.27175,PositiveSelection,,,,,0.7811,0.10113,0.21525,1.00000,0.00366,4.56021
OG0009606,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.70892,-2648.545689,15,4.60022,NearlyNeutral,,,,,0.65139,0.05777,0.34861,1.00000,,
OG0009606,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.72231,-2646.583947,17,4.76604,PositiveSelection,,,,,0.89489,0.20734,0.0,1.00000,0.10511,2.39340
OG0012310,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.70074,-7480.03847,15,2.97352,NearlyNeutral,,,,,0.6003,0.00000,0.3997,1.00000,,
OG0012310,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.72089,-7473.254126,17,3.15946,PositiveSelection,,,,,0.76079,0.12031,0.15406,1.00000,0.08515,2.89838
OG0009440,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.51647,-7923.320888,15,1.59407,NearlyNeutral,,,,,0.851,0.00000,0.149,1.00000,,
OG0009440,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.58541,-7886.084138,17,1.90991,PositiveSelection,,,,,0.88179,0.01794,0.08536,1.00000,0.03284,6.52051
