Orthogroup,Gene,Model,Tree length,Lnl,Df,Kappa,Site class model,Proportion 0,Omega 0,Proportion 1,Omega 1,Proportion 2,Omega 2
OG0007017,GLB1L2,M2,1.04247,-5183.190466,17,2.54089,PositiveSelection,0.87623,0.05189,0.05226,1,0.0715,1
OG0005250,RGS16,M2,0.67992,-1324.347433,17,3.85181,PositiveSelection,0.86043,0.05971,0.03127,1,0.1083,1
OG0005132,NCDN,M2,0.66751,-4994.111934,17,3.14653,PositiveSelection,0.953,0.04981,0.02269,1,0.02431,1
OG0008345,HEMGN,M2,0.7734,-1295.55896,17,4.05115,PositiveSelection,0.76612,0.37983,0.21863,1,0.01525,13.55221
OG0005398,KANSL2,M2,0.50132,-3355.836058,17,4.24785,PositiveSelection,0.9169,0.09648,0,1,0.0831,2.04386
OG0009960,SEC14L1,M2,0.35634,-4142.726664,17,3.8981,PositiveSelection,0.96594,0.04716,0.03253,1,0.00153,16.13066
OG0005276,SMIM30,M2,0.5782,-401.128064,17,12.89227,PositiveSelection,0.90678,0.20197,0,1,0.09322,6.00536
OG0005488,ZBTB33,M2,1.41079,-6076.617108,17,2.80535,PositiveSelection,0.89961,0.05359,0.0527,1,0.04769,1
OG0011994,PUM1,M2,0.35903,-6875.557374,17,3.44457,PositiveSelection,0.97332,0.00337,0.0143,1,0.01239,1
OG0011428,PLA2G4F,M2,0.74601,-5896.533065,17,2.99108,PositiveSelection,0.78438,0.0666,0.2077,1,0.00792,26.89823
OG0011737,,M2,1.5329,-3667.762597,17,3.08263,PositiveSelection,0.82077,0.05581,0.12505,1,0.05417,5.447
OG0013112,,M2,0.35728,-1010.595444,17,2.25958,PositiveSelection,0.82775,0.1464,0,1,0.17225,1.36023
OG0012824,FHL3,M2,0.84278,-1938.022209,17,4.54835,PositiveSelection,0.93005,0.03692,0.03079,1,0.03915,1
OG0007678,DNAJC12,M2,0.6806,-1349.516966,17,2.69251,PositiveSelection,0.92316,0.0832,0,1,0.07684,1.37645
OG0008417,TMEM241,M2,0.72443,-2253.453701,17,2.1692,PositiveSelection,0.66275,0.03891,0,1,0.33725,1.84526
OG0009781,WNT2B,M2,0.39194,-2230.579292,17,4.31779,PositiveSelection,0.94448,0.02279,0.00177,1,0.05375,1.01349
