Orthogroup,Gene,Model,Log likelihood,Estimated parameters,Proportion 0,Omega 0,Proportion 1,Omega 1,Proportion 2,Omega 2
OG0005080,BANP,Shared distribution model,-3592.455816115099,39,98.81766577947047,0.02520980694588833,0.6350345743701001,0.08303445688656053,0.5472996461594237,11.84052967960546
OG0005081,CA5A,Shared distribution model,-4859.014238118677,38,17.008523204714272,0.03241512565769866,72.5423323683813,0.05290495044030833,10.44914442690443,38.39735891605751
OG0005082,SLC7A5,Shared distribution model,-3797.70129167607,38,1.04553858188281,0,95.75696400116583,0.03686429028723293,3.197497416951367,4.857011097722848
OG0005083,KLHDC4,Shared distribution model,-5675.750880670846,38,5.051208281821708,0.1501622631189575,93.91936114791002,0.1678781389612616,1.029430570268273,1187.698666418066
OG0005084,JPH3,Shared distribution model,-5414.552758867847,39,98.25243534712008,0.05143706563686139,1.40871831308702,1,0.3388463397928987,975.327619406963
OG0005088,PPP2R1A,Shared distribution model,-3712.2336884841952,39,97.19862392689691,0.01942973077280882,2.801376073103079,0.1200083524853539,0,1.060459218604992
OG0005089,IGLON5,Shared distribution model,-2645.69960713554,38,98.44637267682278,0.0947284170218689,0.07479674719958786,1,1.478830575977633,449.3260087926125
OG0005090,ETFB,Shared distribution model,-1794.777162467745,38,0,0.006382213016716379,100,0.04982170160667477,0,4.553144395189701
OG0005091,,Shared distribution model,-1849.800918086658,40,60.0374051938086,0.2392444700978383,34.29039441753671,0.4715092042869674,5.672200388654689,6.474625587306156
OG0005093,,Shared distribution model,-5099.33882767818,39,96.07665632032523,0.3751022233899892,0.46366555513918095,0.433907363787974,3.4596781245355923,8.604132076063877
OG0005094,,Shared distribution model,-676.5301703619689,38,78.86612158725816,0,5.8873502804554345,0,15.2465281322864,2.783031237746341
OG0005095,USF2,Shared distribution model,-2618.06062609764,38,94.77225327159906,0.007598384477037365,2.287696362564233,1,2.940050365836706,79.45957567397737
OG0005096,PRL,Shared distribution model,-1494.88131210881,38,0,0.09878864073676162,100,0.1798643710969249,0,1.122200745854396
OG0005097,SOX4,Shared distribution model,-3435.683531234964,39,97.87877428020806,0.04205710838901531,0.7500376366997779,1,1.371188083092164,508.2877308782844
OG0005098,E2F3,Shared distribution model,-2794.004025763558,38,97.5462443048774,0,0.11708821551555629,0,2.336667479607038,12.85814007156825
OG0005099,MBOAT1,Shared distribution model,-3638.850463195816,39,98.80203206462618,0.2256601203288628,0.8902200192730938,0.2508514133703583,0.30774791610072877,11.72712607300772
