Orthogroups,Gene,LRT P-value (Test),LRT Adj. p-value (Test),LRT P-value (Background),LRT Adj. p-value (Background),LRT Distributions,LRT Adj. p-value (Distributions),Branch-Site (null/alt),LRT (BS),P-value (BS),Adj. P-value (BS),Site (null/alt),LRT (Site),P-value (Site),Adj. P-value (Site),Signal (BUSTED-PH),Signal (PAML)
OG0005310,SESN1,0,0,0.5,0.5,0,0,bsA1/bsA,401.9461080000001,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005311,CEP57L1,4.0412118096355704e-14,1.8484485729696733e-13,0.05448819084277917,0.10193272882693707,1.415416486516552e-5,9.918230181630964e-5,bsA1/bsA,40.275376000000506,2.2057167203826104e-10,9.718304184276551e-10,M1/M2,2.6529600000003484,0.2654098616732696,0.7852622353638885,Selection associated with trait,PS_fg
OG0005314,FIG4,0,0,0.5,0.5,0,0,bsA1/bsA,413.7263519999997,0,0,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005326,TUBE1,0,0,0.5,0.5,8.332038701985844e-6,6.033929952048995e-5,bsA1/bsA,88.08206799999971,0,0,M1/M2,3.619999997681e-4,0.9998190163796276,1,Selection associated with trait,PS_fg
OG0005334,ARFGEF2,0,0,0.5,0.5,4.934182035549739e-4,0.00263420180972532,bsA1/bsA,41.07190199999968,1.467306276481395e-10,6.589907580948762e-10,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005337,NCOA3,1.9902148096218042e-8,6.717363089885761e-8,0.5,0.5,0.317506227462488,0.7317440459281949,bsA1/bsA,13.685900000000402,2.160706875126e-4,6.130675807294679e-4,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005338,NA,3.915473500981648e-11,1.51135181433966e-10,0.5,0.5,1.6078691585375e-5,1.1149438860563724e-4,bsA1/bsA,31.61670000000049,1.878075495120868e-8,7.266480580598544e-8,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005340,EYA2,3.219646771412954e-15,1.5670879167495896e-14,0.5,0.5,0.02259980316431354,0.0793100959383493,bsA1/bsA,31.363524000000325,2.1396309501930943e-8,8.236504183319526e-8,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005345,HNF4A,0,0,0.5,0.5,1.225810954219586e-5,8.688098278309826e-5,bsA1/bsA,68.29494400000021,1.1102230246251563e-16,6.979894019472463e-16,M1/M2,0.0016500000001542,0.9991753402188563,1,Selection associated with trait,PS_fg
OG0005363,GHRH,1.445199732108549e-8,4.9200466096252496e-8,0.1444472858499315,0.24472333824301237,0.0551142511265883,0.1739455613601368,bsA1/bsA,33.47481599999992,7.219274067438164e-9,2.8669017535029234e-8,M1/M2,0.3229160000000775,0.8509022686101367,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005364,EMILIN3,6.373468280118644e-5,1.791942641200349e-4,0.5,0.5,0.5016171823558525,1,bsA1/bsA,14.221472000001086,1.625056171601e-4,4.656355875553235e-4,M1/M2,0,1,1,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005366,ZHX3,0,0,0.3879389670059141,0.5,0.1985032993309415,0.5054561795911606,bsA1/bsA,65.56993599999987,5.551115123125786e-16,3.387763876568281e-15,M1/M2,2.6804840000004333,0.2617823095952192,0.7769373416380392,Selection associated with trait. No difference between FG-BG dist,PS_fg
OG0005373,SOX17,1.0769163338864022e-14,5.081588851391997e-14,0.0053257927555943,0.01182993082826312,3.962052907979796e-12,6.506187071282194e-11,bsA1/bsA,31.303963999999723,2.2062870197459012e-8,8.479861552489092e-8,M1/M2,0,1,1,Selection associated with trait,PS_fg
OG0005382,SDR16C5,1.665334536937735e-16,8.798415801379218e-16,0.011315399570535071,0.02398321525432537,3.918414682368976e-5,2.538170708175233e-4,bsA1/bsA,119.4475220000004,0,0,M1/M2,10.392149999999674,0.0055382594848242,0.0323046337363269,Selection associated with trait,PS_fg
