# BUSCO version is: 5.3.2 
# The lineage dataset is: tetrapoda_odb10 (Creation date: 2021-02-19, number of genomes: 38, number of BUSCOs: 5310)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
66at32523	Complete	contig_2	19045358	19355090	+	54379.1	29094	https://www.orthodb.org/v10?query=66at32523	titin
136at32523	Complete	contig_4	27724516	28010810	+	8429.6	5374	https://www.orthodb.org/v10?query=136at32523	G-protein coupled receptor 98
223at32523	Complete	contig_3	45075726	45204566	-	6726.0	4233	https://www.orthodb.org/v10?query=223at32523	midasin
419at32523	Complete	contig_49	11934494	12219173	-	6335.6	4227	https://www.orthodb.org/v10?query=419at32523	hydrocephalus-inducing protein homolog
608at32523	Complete	contig_28	16233811	16369928	-	7633.1	3824	https://www.orthodb.org/v10?query=608at32523	E3 ubiquitin-protein ligase MYCBP2 isoform X1
663at32523	Complete	contig_32	5394159	5524502	-	7796.5	4089	https://www.orthodb.org/v10?query=663at32523	uncharacterized protein KIAA1109 homolog
675at32523	Complete	contig_76	6044955	6068342	+	7668.9	3901	https://www.orthodb.org/v10?query=675at32523	sacsin
738at32523	Complete	contig_68	2806154	2928978	+	8151.4	4123	https://www.orthodb.org/v10?query=738at32523	E3 ubiquitin-protein ligase HERC2
771at32523	Complete	contig_128	551599	625741	-	6737.1	3728	https://www.orthodb.org/v10?query=771at32523	Vacuolar protein sorting 13 homolog D
953at32523	Complete	contig_74	585694	627691	+	7861.4	4074	https://www.orthodb.org/v10?query=953at32523	probable E3 ubiquitin-protein ligase HERC1
1000at32523	Complete	contig_119	2281849	2346969	+	7433.9	3896	https://www.orthodb.org/v10?query=1000at32523	dynein heavy chain 10, axonemal
1093at32523	Complete	contig_119	954446	1000685	+	7124.4	3723	https://www.orthodb.org/v10?query=1093at32523	probable E3 ubiquitin-protein ligase HECTD4
1174at32523	Missing
1240at32523	Complete	contig_29	5085352	5193245	-	7155.3	3377	https://www.orthodb.org/v10?query=1240at32523	transformation/transcription domain-associated protein
1247at32523	Complete	contig_13	17945900	18380827	+	6202.0	2997	https://www.orthodb.org/v10?query=1247at32523	reelin
1469at32523	Complete	contig_118	2648130	2796429	-	5661.0	2852	https://www.orthodb.org/v10?query=1469at32523	ubiquitin carboxyl-terminal hydrolase 34
1528at32523	Complete	contig_29	7130407	7188154	-	6526.2	3200	https://www.orthodb.org/v10?query=1528at32523	serine/threonine-protein kinase SMG1
1696at32523	Complete	contig_3	4085217	4144734	+	5282.0	4044	https://www.orthodb.org/v10?query=1696at32523	apolipoprotein B-100
1855at32523	Complete	contig_11	25379147	25459296	-	5503.9	3147	https://www.orthodb.org/v10?query=1855at32523	lysosomal-trafficking regulator
1959at32523	Complete	contig_69	334364	368701	+	4753.9	2901	https://www.orthodb.org/v10?query=1959at32523	Histone-lysine N-methyltransferase
1978at32523	Complete	contig_77	1755523	1836229	+	5611.2	3384	https://www.orthodb.org/v10?query=1978at32523	DNA-dependent protein kinase catalytic subunit
2109at32523	Complete	contig_72	1796080	1937181	-	2458.2	1959	https://www.orthodb.org/v10?query=2109at32523	cilia- and flagella-associated protein 54
2312at32523	Missing
2516at32523	Complete	contig_1	51593033	51674576	-	4778.5	2840	https://www.orthodb.org/v10?query=2516at32523	protein SZT2
2599at32523	Complete	contig_40	3327492	3528295	-	4494.5	2290	https://www.orthodb.org/v10?query=2599at32523	neurofibromin
2694at32523	Complete	contig_8	26204674	26268734	+	2492.8	1878	https://www.orthodb.org/v10?query=2694at32523	Nuclear receptor binding SET domain protein 1
2762at32523	Complete	contig_59	909876	952032	-	3081.6	2166	https://www.orthodb.org/v10?query=2762at32523	helicase with zinc finger domain 2
2833at32523	Complete	contig_89	3669522	3712281	-	4234.1	2527	https://www.orthodb.org/v10?query=2833at32523	E3 SUMO-protein ligase RanBP2
3059at32523	Complete	contig_12	22352371	22464076	+	3800.3	2112	https://www.orthodb.org/v10?query=3059at32523	fibronectin
3129at32523	Complete	contig_51	5565053	5674808	-	4287.9	2556	https://www.orthodb.org/v10?query=3129at32523	huntingtin
