Orthogroup,Gene,Model,Tree length,Lnl,Df,Kappa,Proportion 0,Background 0,Foreground 0,Proportion 1,Background 1,Foreground 1,Proportion 2a,Background 2a,Foreground 2a,Proportion 2b,Background 2b,Foreground 2b
OG0007017,PHACTR4,bsA1,0.99501,-6064.415993,28,2.84742,0.66376,0.0306,0.0306,0.18249,1,1,0.1206,0.0306,1,0.03316,1,1
OG0008345,RIN2,bsA1,0.47711,-5882.504765,28,2.82688,0.73302,0.02229,0.02229,0.15785,1,1,0.0898,0.02229,1,0.01934,1,1
OG0005398,CENPJ,bsA1,0.79052,-10414.857179,28,2.93795,0.60505,0.09865,0.09865,0.28448,1,1,0.07514,0.09865,1,0.03533,1,1
OG0009960,UBE2W,bsA1,1.00068,-1212.279046,28,0.85157,0.80997,0,0,0.19003,1,1,0,0,1,0,1,1
OG0011994,GREB1L,bsA1,0.4108,-11941.306557,28,3.55045,0.862,0.05279,0.05279,0.09331,1,1,0.04032,0.05279,1,0.00436,1,1
OG0011428,FRRS1L,bsA1,0.66971,-1978.050859,28,2.84593,0.75841,0,0,0.24159,1,1,0,0,1,0,1,1
OG0011737,TTYH2,bsA1,0.43491,-3469.442244,28,5.16791,0.89674,0.1099,0.1099,0.10189,1,1,0.00123,0.1099,1,1.4e-4,1,1
OG0013112,,bsA1,0.91545,-4060.083701,28,4.07083,0.57608,0.13828,0.13828,0.22571,1,1,0.14242,0.13828,1,0.0558,1,1
OG0012824,SLAMF8,bsA1,2.56387,-3638.06716,28,2.08241,0.52149,0.09165,0.09165,0.44951,1,1,0.01558,0.09165,1,0.01343,1,1
OG0007678,MRTFB MKL2,bsA1,1.12701,-10133.44139,28,2.24176,0.79407,0.07552,0.07552,0.11513,1,1,0.0793,0.07552,1,0.0115,1,1
OG0014260,LRRC42,bsA1,0.77729,-3292.333776,28,3.10788,0.57559,0.11438,0.11438,0.24198,1,1,0.12844,0.11438,1,0.054,1,1
OG0008417,LONRF2,bsA1,0.48592,-5007.270015,28,3.47818,0.66301,0.04972,0.04972,0.12152,1,1,0.1821,0.04972,1,0.03338,1,1
OG0009781,DUSP16,bsA1,1.06681,-5561.400562,28,3.08658,0.91353,0.05184,0.05184,0.08647,1,1,0,0.05184,1,0,1,1
OG0012396,ADD3,bsA1,0.70555,-4508.865077,28,2.28366,0.69656,0,0,0.17211,1,1,0.1053,0,1,0.02602,1,1
OG0011341,KRCC1,bsA1,1.04235,-4602.077619,28,3.47329,0.39562,0.03879,0.03879,0.31771,1,1,0.15899,0.03879,1,0.12768,1,1
OG0008490,ASIC1,bsA1,4.27663,-7506.157666,28,0.99792,0.75089,0.0053,0.0053,0.24911,1,1,0,0.0053,1,0,1,1
OG0006116,RNF26,bsA1,0.92373,-3942.780066,28,3.94658,0.77289,0.0999,0.0999,0.18134,1,1,0.03708,0.0999,1,0.0087,1,1
OG0007514,SPPL2B,bsA1,2.80795,-6438.819226,28,2.91808,0.70158,0.02712,0.02712,0.29842,1,1,0,0.02712,1,0,1,1
OG0006834,TSTD2,bsA1,0.78672,-3941.320025,28,4.10203,0.71181,0.16104,0.16104,0.15883,1,1,0.10576,0.16104,1,0.0236,1,1
OG0013805,POLE3,bsA1,1.56144,-1474.064524,28,1.49992,0.68861000000000006,0.03705,0.03705,0.1431,1,1,0.13933,0.03705,1,0.02896,1,1
OG0005438,YLPM1,bsA1,0.96212,-19847.261344,28,3.2313,0.5077,0.04806,0.04806,0.4923,1,1,0,0.04806,1,0,1,1
OG0009606,PTPN12,bsA1,1.27834,-7147.761643,28,2.91064,0.80636,0.08858,0.08858,0.12463,1,1,0.05977,0.08858,1,0.00924,1,1
OG0012310,GAD2,bsA1,0.32929,-1864.499854,28,6.99835,0.98216,0.0305,0.0305,0.01784,1,1,0,0.0305,1,0,1,1
OG0009440,SRD5A1,bsA1,1.3715,-2860.226254,28,3.30226,0.4971,0,0,0.5029,1,1,0,0,1,0,1,1
OG0013931,ANKFY1,bsA1,0.46216,-7303.852908,28,4.02444,0.86297,0.0358,0.0358,0.05781,1,1,0.07425,0.0358,1,0.00497,1,1
OG0010354,,bsA1,1.04988,-8477.717568,28,3.85546,0.43863,0,0,0.53725,1,1,0.01084,0,1,0.01328,1,1
OG0007816,F2RL1,bsA1,1.01354,-3113.35329,28,2.54975,0.54878,0.05142,0.05142,0.22675,1,1,0.15884,0.05142,1,0.06563,1,1
OG0009995,KANK2,bsA1,0.95173,-7775.469568,28,2.96238,0.69163,0.09242,0.09242,0.20545,1,1,0.07935,0.09242,1,0.02357,1,1
OG0008511,ARHGEF7,bsA1,0.37248,-4993.630663,28,1.78541,0.83009,0.01843,0.01843,0.01983,1,1,0.14657,0.01843,1,0.0035,1,1
OG0007586,ZBTB6,bsA1,1.81368,-4061.577113,28,2.44138,0.75223,0.03792,0.03792,0.01645,1,1,0.22636,0.03792,1,0.00495,1,1
OG0010664,ATRX,bsA1,0.72261,-17531.500354,28,2.36252,0.82145,0.0446,0.0446,0.17855,1,1,0,0.0446,1,0,1,1
OG0010015,EGFR,bsA1,0.52991,-8274.039283,28,4.28599,0.7868,0.08422,0.08422,0.14218,1,1,0.06015,0.08422,1,0.01087,1,1
OG0006994,RPS6KA1,bsA1,0.70355,-5405.530835,28,2.36361,0.85496,0.00342,0.00342,0.14504,1,1,0,0.00342,1,0,1,1
OG0011051,,bsA1,1.58768,-6404.222136,28,2.90056,0.81771,0.10836,0.10836,0.16769,1,1,0.01211,0.10836,1,0.00248,1,1
OG0009117,TGFBR3,bsA1,0.75456,-6366.404677,28,3.14341,0.83367,0.09906,0.09906,0.16633,1,1,0,0.09906,1,0,1,1
OG0010150,TARBP1,bsA1,0.70214,-11950.886429,28,3.38232,0.68529,0.02838,0.02838,0.31471,1,1,0,0.02838,1,0,1,1
OG0011114,MCMBP,bsA1,0.43481,-3848.744368,28,3.81225,0.95606,0.06561,0.06561,0.04394,1,1,0,0.06561,1,0,1,1
OG0009850,DUS2,bsA1,1.30318,-4753.695878,28,2.63347,0.6755,0.04555,0.04555,0.18114,1,1,0.11305,0.04555,1,0.03031,1,1
