Orthogroup	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
OG0028149	rna-XM_039342947.1												
OG0028150	rna-XM_039339116.1												
OG0028151	rna-XM_039368667.1												
OG0028152	rna-XM_039368650.1												
OG0028153	rna-XM_039357569.1												
OG0028154	rna-XM_039334671.1												
OG0028155	rna-XM_039328962.1												
OG0028156	rna-XM_039354648.1												
OG0028157	rna-XM_039325857.1												
OG0028158	rna-XM_039325917.1												
OG0028159	rna-XM_039325789.1												
OG0028160	rna-XM_039343899.1												
OG0028161	rna-XM_039367996.1												
OG0028162	rna-XM_039347012.1												
OG0028163	rna-XM_039323415.1												
OG0028164	rna-XM_039343493.1												
OG0028165	rna-XM_039330457.1												
OG0028166	rna-XM_039357063.1												
OG0028167	rna-XM_039348868.1												
OG0028168	rna-XM_039367059.1												
OG0028169	rna-XM_039355272.1												
OG0028170	rna-XM_039357703.1												
OG0028171	rna-XM_039369081.1												
OG0028172	rna-XM_039369016.1												
OG0028173	rna-XM_039339608.1												
OG0028174	rna-XM_039364761.1												
OG0028175	rna-XM_039362472.1												
OG0028176	rna-XM_039354187.1												
OG0028177	rna-XM_039324433.1												
OG0028178	rna-XM_039332838.1												
OG0028179	rna-XM_039328455.1												
OG0028180	rna-XM_039364154.1												
OG0028181	rna-XM_039334683.1												
OG0028182	rna-XM_039351060.1												
OG0028183	rna-XM_039330064.1												
OG0028184	rna-XM_039325328.1												
OG0028185	rna-XM_039351944.1												
OG0028186	rna-XM_039322466.1												
OG0028187	rna-XM_039363473.1												
OG0028188	rna-XM_039363158.1												
OG0028189	id-LOC120302036												
OG0028190	id-LOC120302003												
OG0028191	rna-XM_039350715.1												
OG0028192	rna-XM_039333710.1												
OG0028193	rna-XM_039333644.1												
OG0028194	rna-XM_039335689.1												
OG0028195	rna-XM_039347662.1												
OG0028196	rna-XM_039343440.1												
OG0028197	rna-XM_039360058.1												
OG0028198	rna-XM_039319733.1												
OG0028199	rna-XM_039361352.1												
OG0028200	rna-XM_039361377.1												
OG0028201	rna-XM_039346331.1												
OG0028202	rna-XM_039331218.1												
OG0028203	rna-XM_039368621.1												
OG0028204	rna-XM_039341421.1												
OG0028205	rna-XM_039332818.1												
OG0028206	rna-XM_039332817.1												
OG0028207	rna-XM_039332767.1												
OG0028208	rna-XM_039332772.1												
OG0028209	rna-XM_039338382.1												
OG0028210	rna-XM_039318908.1												
OG0028211	rna-XM_039365384.1												
OG0028212	rna-XM_039361570.1												
OG0028213	rna-XM_039357208.1												
OG0028214	rna-XM_039365306.1												
OG0028215	rna-XM_039365149.1												
OG0028216	rna-XM_039339429.1												
OG0028217	rna-XM_039346787.1												
OG0028218	rna-XM_039361068.1												
OG0028219	rna-XM_039352357.1												
OG0028220	rna-XM_039342370.1												
OG0028221	rna-XM_039344546.1												
OG0028222	rna-XM_039342477.1												
OG0028223	rna-XM_039320205.1												
OG0028224	rna-XM_039357861.1												
OG0028225	rna-XM_039346541.1												
OG0028226	rna-XM_039324879.1												
OG0028227	rna-XM_039354560.1												
OG0028228	rna-XM_039354561.1												
OG0028229	rna-XM_039350153.1												
OG0028230	rna-XM_039319560.1												
OG0028231	rna-XM_039347285.1												
OG0028232	rna-XM_039347265.1												
OG0028233	rna-XM_039341959.1												
OG0028234	rna-XM_039342058.1												
OG0028235	rna-XM_039350901.1												
OG0028236	rna-XM_039337872.1												
OG0028237	rna-XM_039354555.1												
OG0028238	rna-XM_039369729.1												
OG0028239	rna-XM_039366809.1												
OG0028240	rna-XM_039352545.1												
OG0028241	rna-XM_039335802.1												
OG0028242	rna-XM_039365672.1												
OG0028243	rna-XM_039366638.1												
OG0028244	rna-XM_039366525.1												
OG0028245	rna-XM_039364687.1												
OG0028246	rna-XM_039358705.1												
OG0028247	rna-XM_039329049.1												
OG0028248	rna-XM_039322727.1												
OG0028249	rna-XM_039321643.1												
OG0028250	rna-XM_039340574.1												
OG0028251	rna-XM_039340717.1												
OG0028252	rna-XM_039364866.1												
OG0028253	rna-XM_039327090.1												
OG0028254	rna-XM_039357536.1												
OG0028255	rna-XM_039327799.1												
OG0028256	rna-XM_039328613.1												
OG0028257	rna-XM_039327896.1												
OG0028258	rna-XM_039327902.1												
OG0028259	rna-XM_039342985.1												
OG0028260	rna-XM_039366817.1												
OG0028261	rna-XM_039348898.1												
OG0028262	rna-XM_039330203.1												
OG0028263	rna-XM_039365292.1												
OG0028264	rna-XM_039326302.1												
OG0028265	rna-XM_039366780.1												
OG0028266	rna-XM_039365715.1												
OG0028267	rna-XM_039360128.1												
OG0028268	rna-XM_039359568.1												
OG0028269	rna-XM_039344822.1												
OG0028270	rna-XM_039346511.1												
OG0028271	rna-XM_039348446.1												
OG0028272	rna-XM_039328886.1												
OG0028273	rna-XM_039331582.1												
OG0028274	rna-XM_039331531.1												
OG0028275	rna-XM_039352144.1												
OG0028276	rna-XM_039352222.1												
OG0028277	rna-XM_039365550.1												
OG0028278	rna-XM_039320887.1												
OG0028279	rna-XM_039346982.1												
OG0028280	rna-XM_039335269.1												
OG0028281	rna-XM_039357434.1												
OG0028282	rna-XM_039341188.1												
OG0028283	rna-XM_039341281.1												
OG0028284	rna-XM_039360869.1												
OG0028285	rna-XM_039360828.1												
OG0028286	rna-XM_039355558.1												
OG0028287	rna-XM_039337205.1												
OG0028288	rna-XM_039333977.1												
OG0028289	rna-XM_039319434.1												
OG0028290	rna-XM_039322335.1												
OG0028291	rna-XM_039322188.1												
OG0028292	rna-XM_039357746.1												
OG0028293	rna-XM_039369733.1												
OG0028294	rna-XM_039369125.1												
OG0028295	rna-XM_039355017.1												
OG0028296	rna-XM_039331964.1												
